role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format,task_wording,prompt_text
cowboy,masculine,masculine,False,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences."
cowboy,masculine,masculine,False,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences."
cowboy,masculine,masculine,False,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences."
cowboy,masculine,masculine,False,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences."
cowboy,masculine,masculine,False,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences."
cowboy,masculine,masculine,False,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",pronoun usage their,"My friend is writing their 'About Me' page. Please revise the following sentence if needed and explain the changes made: I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences."
cowboy,masculine,masculine,False,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",pronoun usage her,"My friend is writing her 'About Me' page. Please revise the following sentence if needed and explain the changes made: I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences."
cowboy,masculine,masculine,False,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",pronoun usage his,"My friend is writing his 'About Me' page. Please revise the following sentence if needed and explain the changes made: I worked as a cowboy from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences."
cow herder,neutral,masculine,True,"['cow herder', 'cowgirl', 'cowboy']",I am a web-marketing cow herder and love to explore all that the internet has to offer.,I am a web-marketing [ROLE NOUN] and love to explore all that the internet has to offer.,unknown gender,My friend is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I am a web-marketing cow herder and love to explore all that the internet has to offer.
cow herder,neutral,masculine,True,"['cow herder', 'cowgirl', 'cowboy']",I am a web-marketing cow herder and love to explore all that the internet has to offer.,I am a web-marketing [ROLE NOUN] and love to explore all that the internet has to offer.,gender declaration nonbinary,My friend who is a nonbinary person is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I am a web-marketing cow herder and love to explore all that the internet has to offer.
