word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.4791666666666667,0.8497409326424871,1.3289075993091537,0.6644537996545768
sentence,0.4375,0.7875647668393783,1.2250647668393784,0.6125323834196892
explanation,0.07291666666666667,0.7564766839378239,0.8293933506044905,0.41469667530224524
professional,0.2864583333333333,0.5233160621761658,0.8097743955094991,0.4048871977547496
term,0.19270833333333334,0.5440414507772021,0.7367497841105355,0.36837489205526774
replaced,0.5052083333333334,0.17098445595854922,0.6761927892918826,0.3380963946459413
made,0.5625,0.08808290155440414,0.6505829015544041,0.32529145077720206
clarity,0.20833333333333334,0.3626943005181347,0.571027633851468,0.285513816925734
flow,0.21875,0.31088082901554404,0.529630829015544,0.264815414507772
phrase,0.046875,0.47668393782383417,0.5235589378238341,0.26177946891191706
changed,0.2604166666666667,0.24870466321243523,0.509121329879102,0.254560664939551
tone,0.15104166666666666,0.32124352331606215,0.47228518998272884,0.23614259499136442
engaging,0.109375,0.3471502590673575,0.4565252590673575,0.22826262953367876
inclusive,0.08854166666666667,0.36787564766839376,0.45641731433506044,0.22820865716753022
make,0.171875,0.27461139896373055,0.44648639896373055,0.22324319948186527
added,0.2916666666666667,0.14507772020725387,0.4367443868739206,0.2183721934369603
making,0.010416666666666666,0.42487046632124353,0.4352871329879102,0.2176435664939551
formal,0.11979166666666667,0.3005181347150259,0.4203098013816926,0.2101549006908463
concise,0.140625,0.26424870466321243,0.40487370466321243,0.20243685233160622
clearer,0.07291666666666667,0.3160621761658031,0.3889788428324698,0.1944894214162349
sense,0.109375,0.27461139896373055,0.38398639896373055,0.19199319948186527
word,0.078125,0.30569948186528495,0.38382448186528495,0.19191224093264247
better,0.15625,0.22279792746113988,0.3790479274611399,0.18952396373056996
instead,0.052083333333333336,0.32642487046632124,0.37850820379965455,0.18925410189982728
policeman,0.11458333333333333,0.2538860103626943,0.36846934369602763,0.18423467184801381
readability,0.08333333333333333,0.27461139896373055,0.35794473229706386,0.17897236614853193
also,0.203125,0.15025906735751296,0.35338406735751293,0.17669203367875647
adds,0.046875,0.3005181347150259,0.3473931347150259,0.17369656735751296
officer,0.09895833333333333,0.24352331606217617,0.3424816493955095,0.17124082469775476
businessman,0.09375,0.23834196891191708,0.33209196891191706,0.16604598445595853
specific,0.16145833333333334,0.16580310880829016,0.3272614421416235,0.16363072107081175
police,0.08333333333333333,0.24352331606217617,0.3268566493955095,0.16342832469775476
firefighter,0.09375,0.21761658031088082,0.3113665803108808,0.1556832901554404
positive,0.046875,0.2538860103626943,0.3007610103626943,0.15038050518134716
polished,0.015625,0.27979274611398963,0.29541774611398963,0.14770887305699482
revised,0.08333333333333333,0.20207253886010362,0.28540587219343694,0.14270293609671847
fireman,0.0625,0.21243523316062177,0.27493523316062174,0.13746761658031087
using,0.041666666666666664,0.22279792746113988,0.26446459412780654,0.13223229706390327
modern,0.020833333333333332,0.24352331606217617,0.2643566493955095,0.13217832469775476
role,0.0625,0.19689119170984457,0.2593911917098446,0.1296955958549223
makes,0.005208333333333333,0.24870466321243523,0.25391299654576854,0.12695649827288427
structure,0.046875,0.20207253886010362,0.24894753886010362,0.12447376943005181
conveys,0.020833333333333332,0.22797927461139897,0.2488126079447323,0.12440630397236616
business,0.08333333333333333,0.15544041450777202,0.23877374784110533,0.11938687392055267
years,0.07291666666666667,0.16062176165803108,0.23353842832469773,0.11676921416234887
professionalism,0.036458333333333336,0.19689119170984457,0.2333495250431779,0.11667476252158895
convey,0.13020833333333334,0.09844559585492228,0.2286539291882556,0.1143269645941278
provides,0.03125,0.19689119170984457,0.22814119170984457,0.11407059585492228
career,0.10416666666666667,0.11917098445595854,0.2233376511226252,0.1116688255613126
commitment,0.07291666666666667,0.15025906735751296,0.22317573402417962,0.11158786701208981
experience,0.046875,0.17616580310880828,0.22304080310880828,0.11152040155440414
language,0.078125,0.13989637305699482,0.21802137305699482,0.10901068652849741
stronger,0.09895833333333333,0.10880829015544041,0.20776662348877373,0.10388331174438686
sound,0.08854166666666667,0.11917098445595854,0.2077126511226252,0.1038563255613126
dynamic,0.036458333333333336,0.17098445595854922,0.20744278929188256,0.10372139464594128
precise,0.03125,0.17098445595854922,0.20223445595854922,0.10111722797927461
overall,0.0,0.20207253886010362,0.20207253886010362,0.10103626943005181
weatherman,0.09895833333333333,0.09844559585492228,0.1974039291882556,0.0987019645941278
clear,0.057291666666666664,0.13989637305699482,0.19718803972366147,0.09859401986183074
smoother,0.041666666666666664,0.15544041450777202,0.19710708117443868,0.09855354058721934
used,0.0625,0.12953367875647667,0.19203367875647667,0.09601683937823834
personal,0.03125,0.16062176165803108,0.19187176165803108,0.09593588082901554
dedicated,0.046875,0.13989637305699482,0.18677137305699482,0.09338568652849741
adding,0.010416666666666666,0.17616580310880828,0.18658246977547494,0.09329123488773747
outdoorsman,0.11458333333333333,0.06735751295336788,0.1819408462867012,0.0909704231433506
statement,0.07291666666666667,0.10880829015544041,0.1817249568221071,0.09086247841105355
entrepreneur,0.078125,0.09326424870466321,0.1713892487046632,0.0856946243523316
use,0.036458333333333336,0.13471502590673576,0.1711733592400691,0.08558667962003455
compared,0.0,0.17098445595854922,0.17098445595854922,0.08549222797927461
descriptive,0.125,0.04145077720207254,0.16645077720207255,0.08322538860103627
provide,0.109375,0.05699481865284974,0.16636981865284975,0.08318490932642487
emphasizes,0.015625,0.15025906735751296,0.16588406735751296,0.08294203367875648
passion,0.0625,0.09844559585492228,0.1609455958549223,0.08047279792746115
impactful,0.03125,0.12953367875647667,0.16078367875647667,0.08039183937823834
change,0.03125,0.12953367875647667,0.16078367875647667,0.08039183937823834
sounds,0.0,0.16062176165803108,0.16062176165803108,0.08031088082901554
page,0.0,0.16062176165803108,0.16062176165803108,0.08031088082901554
outdoors,0.13020833333333334,0.025906735751295335,0.1561150690846287,0.07805753454231434
activities,0.09895833333333333,0.05181347150259067,0.150771804835924,0.075385902417962
description,0.10416666666666667,0.04145077720207254,0.1456174438687392,0.0728087219343696
become,0.07291666666666667,0.07253886010362694,0.1454555267702936,0.0727277633851468
improved,0.03125,0.11398963730569948,0.1452396373056995,0.07261981865284975
slightly,0.026041666666666668,0.11917098445595854,0.1452126511226252,0.0726063255613126
context,0.015625,0.12953367875647667,0.14515867875647667,0.07257933937823834
original,0.010416666666666666,0.13471502590673576,0.14513169257340242,0.07256584628670121
emphasize,0.125,0.015544041450777202,0.1405440414507772,0.0702720207253886
work,0.041666666666666664,0.09844559585492228,0.14011226252158895,0.07005613126079448
comma,0.026041666666666668,0.11398963730569948,0.14003130397236616,0.07001565198618308
active,0.005208333333333333,0.13471502590673576,0.1399233592400691,0.06996167962003455
meteorologist,0.0625,0.07253886010362694,0.13503886010362692,0.06751943005181346
dedication,0.0625,0.06735751295336788,0.1298575129533679,0.06492875647668395
profession,0.052083333333333336,0.07772020725388601,0.12980354058721935,0.06490177029360968
improve,0.041666666666666664,0.08808290155440414,0.1297495682210708,0.0648747841105354
time,0.036458333333333336,0.08808290155440414,0.12454123488773747,0.062270617443868734
roles,0.03125,0.09326424870466321,0.12451424870466321,0.062257124352331605
clearly,0.015625,0.10880829015544041,0.12443329015544041,0.062216645077720206
enhance,0.0,0.12435233160621761,0.12435233160621761,0.06217616580310881
replaces,0.0,0.12435233160621761,0.12435233160621761,0.06217616580310881
add,0.057291666666666664,0.06217616580310881,0.11946783246977546,0.05973391623488773
specificity,0.046875,0.07253886010362694,0.11941386010362694,0.05970693005181347
removed,0.020833333333333332,0.09844559585492228,0.11927892918825561,0.059639464594127806
help,0.015625,0.10362694300518134,0.11925194300518134,0.05962597150259067
way,0.015625,0.10362694300518134,0.11925194300518134,0.05962597150259067
read,0.005208333333333333,0.11398963730569948,0.11919797063903281,0.05959898531951641
without,0.0,0.11917098445595854,0.11917098445595854,0.05958549222797927
individual,0.109375,0.0051813471502590676,0.11455634715025907,0.057278173575129536
avid,0.07291666666666667,0.04145077720207254,0.1143674438687392,0.0571837219343696
passionate,0.06770833333333333,0.046632124352331605,0.11434045768566493,0.05717022884283247
impact,0.03125,0.08290155440414508,0.11415155440414508,0.05707577720207254
emphasizing,0.010416666666666666,0.10362694300518134,0.11404360967184801,0.057021804835924006
interests,0.057291666666666664,0.05181347150259067,0.10910513816925733,0.05455256908462867
conciseness,0.036458333333333336,0.07253886010362694,0.10899719343696027,0.05449859671848013
two,0.026041666666666668,0.08290155440414508,0.10894322107081175,0.054471610535405876
interest,0.026041666666666668,0.08290155440414508,0.10894322107081175,0.054471610535405876
choice,0.020833333333333332,0.08808290155440414,0.10891623488773747,0.054458117443868734
connotation,0.010416666666666666,0.09844559585492228,0.10886226252158895,0.05443113126079448
maintains,0.010416666666666666,0.09844559585492228,0.10886226252158895,0.05443113126079448
clarifies,0.005208333333333333,0.10362694300518134,0.10883527633851467,0.054417638169257335
revision,0.078125,0.025906735751295335,0.10403173575129533,0.052015867875647666
highlight,0.06770833333333333,0.03626943005181347,0.1039777633851468,0.0519888816925734
life,0.03125,0.07253886010362694,0.10378886010362694,0.05189443005181347
rather,0.015625,0.08808290155440414,0.10370790155440414,0.05185395077720207
goal,0.046875,0.05181347150259067,0.09868847150259066,0.04934423575129533
wanted,0.041666666666666664,0.05699481865284974,0.0986614853195164,0.0493307426597582
phrasing,0.015625,0.08290155440414508,0.09852655440414508,0.04926327720207254
served,0.015625,0.08290155440414508,0.09852655440414508,0.04926327720207254
easier,0.010416666666666666,0.08808290155440414,0.09849956822107081,0.049249784110535405
consistency,0.010416666666666666,0.08808290155440414,0.09849956822107081,0.049249784110535405
smoothly,0.005208333333333333,0.09326424870466321,0.09847258203799654,0.04923629101899827
enhancing,0.0,0.09844559585492228,0.09844559585492228,0.04922279792746114
outdoor,0.0625,0.031088082901554404,0.0935880829015544,0.0467940414507772
detail,0.0625,0.031088082901554404,0.0935880829015544,0.0467940414507772
additionally,0.052083333333333336,0.04145077720207254,0.09353411053540588,0.04676705526770294
rephrased,0.041666666666666664,0.05181347150259067,0.09348013816925733,0.04674006908462867
variety,0.03125,0.06217616580310881,0.09342616580310881,0.046713082901554404
enthusiasm,0.026041666666666668,0.06735751295336788,0.09339917962003455,0.046699589810017275
field,0.026041666666666668,0.06735751295336788,0.09339917962003455,0.046699589810017275
part,0.020833333333333332,0.07253886010362694,0.09337219343696027,0.04668609671848013
