word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.4928571428571429,0.8392857142857143,1.3321428571428573,0.6660714285714286
sentence,0.4142857142857143,0.7767857142857143,1.1910714285714286,0.5955357142857143
explanation,0.04285714285714286,0.7946428571428571,0.8374999999999999,0.41874999999999996
professional,0.19285714285714287,0.5178571428571429,0.7107142857142857,0.35535714285714287
made,0.5571428571428572,0.08035714285714286,0.6375000000000001,0.31875000000000003
outdoorsperson,0.30714285714285716,0.33035714285714285,0.6375,0.31875
engaging,0.24285714285714285,0.39285714285714285,0.6357142857142857,0.31785714285714284
replaced,0.4642857142857143,0.16071428571428573,0.625,0.3125
clarity,0.2571428571428571,0.35714285714285715,0.6142857142857143,0.30714285714285716
outdoors,0.3,0.23214285714285715,0.5321428571428571,0.26607142857142857
added,0.38571428571428573,0.14285714285714285,0.5285714285714286,0.2642857142857143
word,0.08571428571428572,0.42857142857142855,0.5142857142857142,0.2571428571428571
term,0.10714285714285714,0.4017857142857143,0.5089285714285714,0.2544642857142857
enthusiast,0.24285714285714285,0.25892857142857145,0.5017857142857143,0.25089285714285714
changed,0.2571428571428571,0.24107142857142858,0.4982142857142857,0.24910714285714286
phrase,0.02857142857142857,0.45535714285714285,0.48392857142857143,0.24196428571428572
businessperson,0.14285714285714285,0.3392857142857143,0.48214285714285715,0.24107142857142858
business,0.16428571428571428,0.3125,0.47678571428571426,0.23839285714285713
better,0.22142857142857142,0.25,0.4714285714285714,0.2357142857142857
concise,0.15,0.30357142857142855,0.4535714285714285,0.22678571428571426
tone,0.12857142857142856,0.32142857142857145,0.45,0.225
flow,0.22142857142857142,0.22321428571428573,0.4446428571428571,0.22232142857142856
make,0.19285714285714287,0.24107142857142858,0.43392857142857144,0.21696428571428572
making,0.007142857142857143,0.38392857142857145,0.39107142857142857,0.19553571428571428
formal,0.05714285714285714,0.33035714285714285,0.3875,0.19375
also,0.21428571428571427,0.16071428571428573,0.375,0.1875
convey,0.2357142857142857,0.13392857142857142,0.36964285714285716,0.18482142857142858
sense,0.1,0.25892857142857145,0.3589285714285715,0.17946428571428574
specific,0.10714285714285714,0.23214285714285715,0.3392857142857143,0.16964285714285715
conveys,0.007142857142857143,0.33035714285714285,0.33749999999999997,0.16874999999999998
adds,0.02857142857142857,0.30357142857142855,0.33214285714285713,0.16607142857142856
clearer,0.07142857142857142,0.25892857142857145,0.3303571428571429,0.16517857142857145
readability,0.07857142857142857,0.25,0.32857142857142857,0.16428571428571428
passion,0.07857142857142857,0.25,0.32857142857142857,0.16428571428571428
descriptive,0.21428571428571427,0.10714285714285714,0.3214285714285714,0.1607142857142857
passionate,0.16428571428571428,0.15178571428571427,0.31607142857142856,0.15803571428571428
polished,0.02142857142857143,0.29464285714285715,0.31607142857142856,0.15803571428571428
commitment,0.05,0.25892857142857145,0.30892857142857144,0.15446428571428572
makes,0.0,0.2857142857142857,0.2857142857142857,0.14285714285714285
stronger,0.1357142857142857,0.14285714285714285,0.2785714285714286,0.1392857142857143
revised,0.1,0.16071428571428573,0.26071428571428573,0.13035714285714287
instead,0.0,0.25892857142857145,0.25892857142857145,0.12946428571428573
activities,0.10714285714285714,0.15178571428571427,0.2589285714285714,0.1294642857142857
avid,0.17857142857142858,0.07142857142857142,0.25,0.125
using,0.05,0.19642857142857142,0.24642857142857144,0.12321428571428572
personal,0.014285714285714285,0.22321428571428573,0.23750000000000002,0.11875000000000001
adding,0.014285714285714285,0.22321428571428573,0.23750000000000002,0.11875000000000001
original,0.014285714285714285,0.21428571428571427,0.22857142857142856,0.11428571428571428
outdoor,0.08571428571428572,0.14285714285714285,0.22857142857142856,0.11428571428571428
experience,0.09285714285714286,0.13392857142857142,0.22678571428571428,0.11339285714285714
dynamic,0.06428571428571428,0.16071428571428573,0.225,0.1125
sounds,0.007142857142857143,0.20535714285714285,0.2125,0.10625
improved,0.02142857142857143,0.1875,0.20892857142857144,0.10446428571428572
positive,0.02857142857142857,0.17857142857142858,0.20714285714285716,0.10357142857142858
provide,0.15,0.05357142857142857,0.20357142857142857,0.10178571428571428
impactful,0.05,0.15178571428571427,0.2017857142857143,0.10089285714285715
description,0.12142857142857143,0.08035714285714286,0.2017857142857143,0.10089285714285715
used,0.02142857142857143,0.17857142857142858,0.2,0.1
dedicated,0.02857142857142857,0.16964285714285715,0.19821428571428573,0.09910714285714287
provides,0.014285714285714285,0.17857142857142858,0.19285714285714287,0.09642857142857143
individual,0.19285714285714287,0.0,0.19285714285714287,0.09642857142857143
active,0.02142857142857143,0.16964285714285715,0.1910714285714286,0.0955357142857143
structure,0.06428571428571428,0.125,0.18928571428571428,0.09464285714285714
page,0.0,0.1875,0.1875,0.09375
career,0.05,0.13392857142857142,0.18392857142857144,0.09196428571428572
change,0.014285714285714285,0.16964285714285715,0.18392857142857144,0.09196428571428572
overall,0.014285714285714285,0.16964285714285715,0.18392857142857144,0.09196428571428572
bit,0.02857142857142857,0.15178571428571427,0.18035714285714285,0.09017857142857143
emphasize,0.14285714285714285,0.03571428571428571,0.17857142857142855,0.08928571428571427
sound,0.04285714285714286,0.13392857142857142,0.17678571428571427,0.08839285714285713
smoother,0.04285714285714286,0.13392857142857142,0.17678571428571427,0.08839285714285713
statement,0.07857142857142857,0.09821428571428571,0.17678571428571427,0.08839285714285713
language,0.11428571428571428,0.0625,0.17678571428571427,0.08839285714285713
professionalism,0.014285714285714285,0.15178571428571427,0.16607142857142856,0.08303571428571428
emphasizes,0.02857142857142857,0.13392857142857142,0.1625,0.08125
commonly,0.0,0.16071428571428573,0.16071428571428573,0.08035714285714286
enthusiasm,0.03571428571428571,0.125,0.1607142857142857,0.08035714285714285
field,0.04285714285714286,0.11607142857142858,0.15892857142857142,0.07946428571428571
slightly,0.007142857142857143,0.15178571428571427,0.15892857142857142,0.07946428571428571
love,0.07857142857142857,0.08035714285714286,0.15892857142857142,0.07946428571428571
choice,0.04285714285714286,0.11607142857142858,0.15892857142857142,0.07946428571428571
direct,0.014285714285714285,0.14285714285714285,0.15714285714285714,0.07857142857142857
maintains,0.014285714285714285,0.14285714285714285,0.15714285714285714,0.07857142857142857
interests,0.05,0.10714285714285714,0.15714285714285714,0.07857142857142857
clear,0.02142857142857143,0.13392857142857142,0.15535714285714286,0.07767857142857143
expertise,0.07142857142857142,0.08035714285714286,0.1517857142857143,0.07589285714285715
level,0.04285714285714286,0.10714285714285714,0.15,0.075
natural,0.02857142857142857,0.11607142857142858,0.14464285714285716,0.07232142857142858
precise,0.007142857142857143,0.13392857142857142,0.14107142857142857,0.07053571428571428
dedication,0.05,0.08928571428571429,0.1392857142857143,0.06964285714285715
list,0.05,0.08928571428571429,0.1392857142857143,0.06964285714285715
reader,0.05714285714285714,0.08035714285714286,0.1375,0.06875
context,0.02857142857142857,0.10714285714285714,0.1357142857142857,0.06785714285714285
years,0.02857142857142857,0.10714285714285714,0.1357142857142857,0.06785714285714285
often,0.0,0.13392857142857142,0.13392857142857142,0.06696428571428571
rephrased,0.04285714285714286,0.08928571428571429,0.13214285714285715,0.06607142857142857
interest,0.04285714285714286,0.08928571428571429,0.13214285714285715,0.06607142857142857
meaning,0.007142857142857143,0.125,0.13214285714285715,0.06607142857142857
