word,frequency_gpt-3.5-turbo,frequency_gpt-4-turbo,frequency_gpt-4o,total_frequency
changes,0.4941860465116279,0.841541755888651,0.8273615635179153,2.1630893659181942
sentence,0.4069767441860465,0.728051391862955,0.8143322475570033,1.9493603836060047
explanation,0.046511627906976744,0.7623126338329764,0.758957654723127,1.5677819164630802
professional,0.2877906976744186,0.69593147751606,0.5570032573289903,1.5407254325194688
term,0.21220930232558138,0.5310492505353319,0.5309446254071661,1.2742031782680794
tone,0.15988372093023256,0.5417558886509636,0.3322475570032573,1.0338871665844533
phrase,0.0377906976744186,0.4668094218415418,0.48534201954397393,0.9899421390599343
replaced,0.49709302325581395,0.28693790149892934,0.15960912052117263,0.9436400452759158
changed,0.26744186046511625,0.4089935760171306,0.25732899022801303,0.9337644267102599
clarity,0.2063953488372093,0.3554603854389722,0.3355048859934853,0.8973606202696669
inclusive,0.11627906976744186,0.3169164882226981,0.38762214983713356,0.8208177078272735
making,0.005813953488372093,0.3854389721627409,0.4169381107491857,0.8081910364002987
engaging,0.10174418604651163,0.39400428265524623,0.30618892508143325,0.8019373937831911
flow,0.18604651162790697,0.2890792291220557,0.28013029315960913,0.7552560339095717
formal,0.11337209302325581,0.31049250535331907,0.2964169381107492,0.7202815364873241
made,0.563953488372093,0.06638115631691649,0.08794788273615635,0.7182825274251659
also,0.1744186046511628,0.32762312633832974,0.1758957654723127,0.6779374964618052
instead,0.05232558139534884,0.2890792291220557,0.3289902280130293,0.6703950385304338
make,0.15988372093023256,0.20985010706638116,0.254071661237785,0.6238054892343987
adds,0.040697674418604654,0.29336188436830835,0.28013029315960913,0.6141898519465221
revised,0.07848837209302326,0.30620985010706636,0.2182410423452769,0.6029392645453665
readability,0.06686046511627906,0.2334047109207709,0.2768729641693811,0.5771381402064311
better,0.14825581395348839,0.21199143468950749,0.21172638436482086,0.5719736330078167
language,0.09011627906976744,0.3083511777301927,0.16938110749185667,0.5678485642918168
sense,0.08430232558139535,0.21627408993576017,0.2671009771986971,0.5676773927158526
