prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.11965811965811966,0.0,0.11965811965811966,0.0
gender declaration man,masculine,0.03418803418803419,0.1794871794871795,0.0,0.0
gender declaration man,feminine,0.21367521367521367,0.4188034188034188,0.358974358974359,0.0
gender declaration nonbinary,neutral,0.1282051282051282,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.4700854700854701,0.5213675213675214,0.0,0.0
gender declaration nonbinary,feminine,0.5555555555555556,0.4358974358974359,0.0,0.0
gender declaration woman,neutral,0.19658119658119658,0.0,0.0,0.09401709401709402
gender declaration woman,masculine,0.29914529914529914,0.46153846153846156,0.0,0.23076923076923078
gender declaration woman,feminine,0.06837606837606838,0.36752136752136755,0.0,0.0
pronoun declaration he/him,neutral,0.11965811965811966,0.0,0.09401709401709402,0.0
pronoun declaration he/him,masculine,0.09401709401709402,0.2564102564102564,0.0,0.0
pronoun declaration he/him,feminine,0.20512820512820512,0.4444444444444444,0.3333333333333333,0.0
pronoun declaration she/her,neutral,0.11965811965811966,0.0,0.0,0.03418803418803419
pronoun declaration she/her,masculine,0.29914529914529914,0.4444444444444444,0.0,0.23931623931623933
pronoun declaration she/her,feminine,0.042735042735042736,0.2564102564102564,0.0,0.0
pronoun declaration they/them,neutral,0.09401709401709402,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.41025641025641024,0.5641025641025641,0.0,0.0
pronoun declaration they/them,feminine,0.47863247863247865,0.5213675213675214,0.0,0.0
pronoun usage her,neutral,0.18803418803418803,0.0,0.0,0.0
pronoun usage her,masculine,0.28205128205128205,0.4444444444444444,0.0,0.05128205128205128
pronoun usage her,feminine,0.05982905982905983,0.2222222222222222,0.0,0.0
pronoun usage his,neutral,0.1794871794871795,0.0,0.0,0.0
pronoun usage his,masculine,0.08547008547008547,0.24786324786324787,0.0,0.0
pronoun usage his,feminine,0.03418803418803419,0.15384615384615385,0.0,0.0
pronoun usage their,neutral,0.27350427350427353,0.0,0.0,0.0
pronoun usage their,masculine,0.1111111111111111,0.3418803418803419,0.0,0.0
pronoun usage their,feminine,0.03418803418803419,0.15384615384615385,0.0,0.0
unknown gender,neutral,0.21367521367521367,0.0,0.0,0.0
unknown gender,masculine,0.06837606837606838,0.3162393162393162,0.0,0.0
unknown gender,feminine,0.03418803418803419,0.1794871794871795,0.0,0.0
