index,role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format,task_wording,prompt_text
0,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",unknown gender,"My friend is writing an 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
1,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
2,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
3,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
4,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
5,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
6,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
7,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",pronoun usage their,"My friend is writing their 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
8,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",pronoun usage her,"My friend is writing her 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
9,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",pronoun usage his,"My friend is writing his 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessperson or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
10,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","Becoming a businessman or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.","Becoming a [ROLE NOUN] or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change.",unknown gender,"My friend is writing an 'About Me' page. Please improve the following sentence if needed and explain the changes made: Becoming a businessman or for-profit entrepreneur would have been unimaginable to me at that time, and it took me a few years to understand that business could actually be a powerful vehicle for social change."
