prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.13675213675213677,0.0,0.1282051282051282,0.0
gender declaration man,masculine,0.15384615384615385,0.3162393162393162,0.0,0.0
gender declaration man,feminine,0.1452991452991453,0.41025641025641024,0.4358974358974359,0.0
gender declaration nonbinary,neutral,0.23931623931623933,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.5042735042735043,0.48717948717948717,0.0,0.0
gender declaration nonbinary,feminine,0.5726495726495726,0.42735042735042733,0.0,0.0
gender declaration woman,neutral,0.20512820512820512,0.0,0.0,0.1282051282051282
gender declaration woman,masculine,0.29914529914529914,0.4700854700854701,0.0,0.23076923076923078
gender declaration woman,feminine,0.06837606837606838,0.41025641025641024,0.0,0.0
pronoun declaration he/him,neutral,0.13675213675213677,0.0,0.05982905982905983,0.0
pronoun declaration he/him,masculine,0.05982905982905983,0.36752136752136755,0.0,0.0
pronoun declaration he/him,feminine,0.2222222222222222,0.4188034188034188,0.358974358974359,0.0
pronoun declaration she/her,neutral,0.18803418803418803,0.0,0.0,0.03418803418803419
pronoun declaration she/her,masculine,0.27350427350427353,0.47863247863247865,0.0,0.24786324786324787
pronoun declaration she/her,feminine,0.07692307692307693,0.38461538461538464,0.0,0.0
pronoun declaration they/them,neutral,0.10256410256410256,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.46153846153846156,0.5384615384615384,0.0,0.0
pronoun declaration they/them,feminine,0.5299145299145299,0.4700854700854701,0.0,0.0
pronoun usage her,neutral,0.23931623931623933,0.0,0.0,0.0
pronoun usage her,masculine,0.3162393162393162,0.5213675213675214,0.0,0.08547008547008547
pronoun usage her,feminine,0.07692307692307693,0.28205128205128205,0.0,0.0
pronoun usage his,neutral,0.23931623931623933,0.0,0.0,0.0
pronoun usage his,masculine,0.09401709401709402,0.36752136752136755,0.0,0.0
pronoun usage his,feminine,0.05982905982905983,0.358974358974359,0.0,0.0
pronoun usage their,neutral,0.24786324786324787,0.0,0.0,0.0
pronoun usage their,masculine,0.17094017094017094,0.41025641025641024,0.0,0.0
pronoun usage their,feminine,0.07692307692307693,0.3333333333333333,0.0,0.0
unknown gender,neutral,0.23076923076923078,0.0,0.0,0.0
unknown gender,masculine,0.1452991452991453,0.4017094017094017,0.0,0.0
unknown gender,feminine,0.03418803418803419,0.29914529914529914,0.0,0.0
