prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
pronoun declaration ae/aer,neutral,0.09108159392789374,0.0,0.0,0.0
pronoun declaration ae/aer,masculine,0.31309297912713474,0.40227703984819735,0.0,0.0
pronoun declaration ae/aer,feminine,0.3700189753320683,0.41366223908918404,0.0056925996204933585,0.0
pronoun declaration co/co,neutral,0.08538899430740038,0.0,0.0,0.0
pronoun declaration co/co,masculine,0.3092979127134725,0.38140417457305503,0.0,0.0
pronoun declaration co/co,feminine,0.3889943074003795,0.41366223908918404,0.013282732447817837,0.0
pronoun declaration e/em,neutral,0.09108159392789374,0.0,0.0018975332068311196,0.0
pronoun declaration e/em,masculine,0.30740037950664134,0.3681214421252372,0.0,0.0
pronoun declaration e/em,feminine,0.4079696394686907,0.38519924098671726,0.015180265654648957,0.0
pronoun declaration ey/em,neutral,0.07969639468690702,0.0,0.0,0.0
pronoun declaration ey/em,masculine,0.3092979127134725,0.40417457305502846,0.0,0.0
pronoun declaration ey/em,feminine,0.40227703984819735,0.4250474383301708,0.015180265654648957,0.0
pronoun declaration he/him,neutral,0.10246679316888045,0.0,0.06451612903225806,0.0
pronoun declaration he/him,masculine,0.12144212523719165,0.09297912713472485,0.0,0.0
pronoun declaration he/him,feminine,0.2637571157495256,0.2239089184060721,0.48007590132827327,0.0
pronoun declaration he/they,neutral,0.1062618595825427,0.0,0.0018975332068311196,0.0
pronoun declaration he/they,masculine,0.34535104364326374,0.34535104364326374,0.0,0.0
pronoun declaration he/they,feminine,0.48956356736242884,0.4079696394686907,0.036053130929791274,0.0
pronoun declaration she/her,neutral,0.11385199240986717,0.0,0.0,0.013282732447817837
pronoun declaration she/her,masculine,0.2884250474383302,0.29411764705882354,0.0,0.2713472485768501
pronoun declaration she/her,feminine,0.11195445920303605,0.09297912713472485,0.0018975332068311196,0.0
pronoun declaration she/they,neutral,0.1157495256166983,0.0,0.0018975332068311196,0.0
pronoun declaration she/they,masculine,0.3908918406072106,0.4364326375711575,0.0,0.007590132827324478
pronoun declaration she/they,feminine,0.3946869070208729,0.36432637571157495,0.003795066413662239,0.0
pronoun declaration they/he,neutral,0.10056925996204934,0.0,0.003795066413662239,0.0
pronoun declaration they/he,masculine,0.33586337760910817,0.3738140417457306,0.0,0.0
pronoun declaration they/he,feminine,0.48007590132827327,0.42125237191650855,0.04933586337760911,0.0
pronoun declaration they/she,neutral,0.11954459203036052,0.0,0.0018975332068311196,0.0
