word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.6129753914988815,0.8432203389830508,1.4561957304819324,0.7280978652409662
sentence,0.44742729306487694,0.7860169491525424,1.2334442422174194,0.6167221211087097
changed,0.48769574944071586,0.4046610169491525,0.8923567663898684,0.4461783831949342
explanation,0.07158836689038031,0.7860169491525424,0.8576053160429227,0.42880265802146134
professional,0.24608501118568232,0.576271186440678,0.8223561976263603,0.4111780988131801
term,0.20134228187919462,0.5953389830508474,0.7966812649300421,0.39834063246502105
made,0.6263982102908278,0.11228813559322035,0.7386863458840481,0.36934317294202407
replaced,0.5302013422818792,0.1906779661016949,0.7208793083835741,0.36043965419178703
clarity,0.2975391498881432,0.4173728813559322,0.7149120312440753,0.35745601562203766
flow,0.2348993288590604,0.2754237288135593,0.5103230576726197,0.2551615288363098
better,0.2214765100671141,0.2627118644067797,0.4841883744738938,0.2420941872369469
tone,0.14988814317673377,0.326271186440678,0.47615932961741175,0.23807966480870588
inclusive,0.14093959731543623,0.288135593220339,0.42907519053577525,0.21453759526788763
phrase,0.03355704697986577,0.3877118644067797,0.42126891138664546,0.21063445569332273
added,0.25279642058165547,0.1652542372881356,0.41805065786979106,0.20902532893489553
make,0.203579418344519,0.2076271186440678,0.4112065369885868,0.2056032684942934
concise,0.1297539149888143,0.2627118644067797,0.392465779395594,0.196232889697797
gender,0.13870246085011187,0.2457627118644068,0.38446517271451863,0.19223258635725932
making,0.0022371364653243847,0.3813559322033898,0.3835930686687142,0.1917965343343571
word,0.08501118568232663,0.2775423728813559,0.36255355856368254,0.18127677928184127
language,0.14541387024608501,0.1906779661016949,0.33609183634777995,0.16804591817388997
engaging,0.05592841163310962,0.2733050847457627,0.32923349637887234,0.16461674818943617
formal,0.0738255033557047,0.2542372881355932,0.3280627914912979,0.16403139574564896
man,0.087248322147651,0.23940677966101695,0.32665510180866797,0.16332755090433398
clearer,0.042505592841163314,0.2775423728813559,0.32004796572251926,0.16002398286125963
readability,0.07158836689038031,0.2478813559322034,0.3194697228225837,0.15973486141129184
firefighter,0.12527964205816555,0.19279661016949154,0.3180762522276571,0.15903812611382856
officer,0.09395973154362416,0.19915254237288135,0.2931122739165055,0.14655613695825276
sense,0.09172259507829977,0.20127118644067796,0.2929937815189777,0.14649689075948885
structure,0.10067114093959731,0.1906779661016949,0.29134910704129224,0.14567455352064612
police,0.09172259507829977,0.19703389830508475,0.2887564933833845,0.14437824669169225
instead,0.042505592841163314,0.2457627118644068,0.2882683047055701,0.14413415235278504
revised,0.1029082774049217,0.1843220338983051,0.2872303113032268,0.1436151556516134
convey,0.16331096196868009,0.1228813559322034,0.2861923179008835,0.14309615895044175
businesswoman,0.116331096196868,0.1652542372881356,0.2815853334850036,0.1407926667425018
outdoorswoman,0.13646532438478748,0.13559322033898305,0.27205854472377056,0.13602927236188528
also,0.11185682326621924,0.15466101694915255,0.2665178402153718,0.1332589201076859
makes,0.0022371364653243847,0.2563559322033898,0.2585930686687142,0.1292965343343571
conveys,0.011185682326621925,0.2457627118644068,0.2569483941910287,0.12847419709551436
specific,0.10738255033557047,0.1483050847457627,0.2556876350813332,0.1278438175406666
use,0.10067114093959731,0.1440677966101695,0.2447389375497668,0.1223694687748834
business,0.09843400447427293,0.13771186440677965,0.2361458688810526,0.1180729344405263
career,0.09395973154362416,0.13559322033898305,0.22955295188260721,0.11477647594130361
polished,0.015659955257270694,0.211864406779661,0.22752436203693172,0.11376218101846586
