word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5923566878980892,0.8523489932885906,1.4447056811866799,0.7223528405933399
sentence,0.4713375796178344,0.7986577181208053,1.2699952977386397,0.6349976488693199
explanation,0.044585987261146494,0.7785234899328859,0.8231094771940324,0.4115547385970162
professional,0.2611464968152866,0.5503355704697986,0.8114820672850853,0.40574103364254266
made,0.6369426751592356,0.087248322147651,0.7241909973068866,0.3620954986534433
replaced,0.5414012738853503,0.1610738255033557,0.702475099388706,0.351237549694353
term,0.19745222929936307,0.5033557046979866,0.7008079339973496,0.3504039669986748
clarity,0.2802547770700637,0.3422818791946309,0.6225366562646946,0.3112683281323473
changed,0.31210191082802546,0.28187919463087246,0.5939811054588979,0.29699055272944896
flow,0.2611464968152866,0.2483221476510067,0.5094686444662934,0.2547343222331467
tone,0.1592356687898089,0.348993288590604,0.508228957380413,0.2541144786902065
better,0.2229299363057325,0.28187919463087246,0.504809130936605,0.2524045654683025
phrase,0.05732484076433121,0.4429530201342282,0.5002778608985594,0.2501389304492797
engaging,0.08917197452229299,0.37583892617449666,0.46501090069678963,0.23250545034839482
concise,0.15286624203821655,0.30201342281879195,0.4548796648570085,0.22743983242850424
added,0.29936305732484075,0.1476510067114094,0.44701406403625016,0.22350703201812508
formal,0.10828025477707007,0.30201342281879195,0.410293677595862,0.205146838797931
inclusive,0.09554140127388536,0.30201342281879195,0.3975548240926773,0.19877741204633864
making,0.0,0.38926174496644295,0.38926174496644295,0.19463087248322147
firefighter,0.11464968152866242,0.26174496644295303,0.3763946479716155,0.18819732398580774
word,0.09554140127388536,0.2751677852348993,0.3707091865087847,0.18535459325439235
make,0.1592356687898089,0.20134228187919462,0.36057795066900356,0.18028897533450178
makes,0.0,0.3422818791946309,0.3422818791946309,0.17114093959731544
language,0.12738853503184713,0.21476510067114093,0.34215363570298807,0.17107681785149403
specific,0.1592356687898089,0.18120805369127516,0.34044372248108407,0.17022186124054203
fireman,0.08280254777070063,0.2483221476510067,0.33112469542170736,0.16556234771085368
businessman,0.10828025477707007,0.21476510067114093,0.323045355448211,0.1615226777241055
conveys,0.01910828025477707,0.30201342281879195,0.321121703073569,0.1605608515367845
readability,0.08917197452229299,0.22818791946308725,0.3173598939853802,0.1586799469926901
sense,0.10191082802547771,0.21476510067114093,0.31667592869661865,0.15833796434830932
instead,0.044585987261146494,0.2684563758389262,0.31304236310007266,0.15652118155003633
clearer,0.03184713375796178,0.2751677852348993,0.3070149189928611,0.15350745949643055
convey,0.21019108280254778,0.09395973154362416,0.30415081434617197,0.15207540717308599
revised,0.11464968152866242,0.18791946308724833,0.3025691446159108,0.1512845723079554
policeman,0.08280254777070063,0.21476510067114093,0.2975676484418416,0.1487838242209208
structure,0.10191082802547771,0.18120805369127516,0.28311888171675287,0.14155944085837643
also,0.1337579617834395,0.14093959731543623,0.2746975590988757,0.13734877954943786
adds,0.03821656050955414,0.2348993288590604,0.27311588936861453,0.13655794468430726
officer,0.06369426751592357,0.2080536912751678,0.27174795879109137,0.13587397939554569
police,0.06369426751592357,0.2080536912751678,0.27174795879109137,0.13587397939554569
career,0.10828025477707007,0.15436241610738255,0.2626426708844526,0.1313213354422263
stronger,0.15286624203821655,0.10738255033557047,0.260248792373787,0.1301243961868935
modern,0.03184713375796178,0.22818791946308725,0.26003505322104903,0.13001752661052451
personal,0.05732484076433121,0.20134228187919462,0.2586671226435258,0.1293335613217629
