word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5859375,0.7482517482517482,1.3341892482517483,0.6670946241258742
sentence,0.4375,0.7342657342657343,1.1717657342657342,0.5858828671328671
professional,0.3671875,0.46153846153846156,0.8287259615384616,0.4143629807692308
replaced,0.6875,0.13286713286713286,0.8203671328671329,0.41018356643356646
explanation,0.0546875,0.7412587412587412,0.7959462412587412,0.3979731206293706
outdoorsperson,0.3203125,0.40559440559440557,0.7259069055944056,0.3629534527972028
engaging,0.203125,0.44755244755244755,0.6506774475524475,0.32533872377622375
changed,0.3671875,0.27972027972027974,0.6469077797202798,0.3234538898601399
made,0.59375,0.04195804195804196,0.635708041958042,0.317854020979021
clarity,0.2890625,0.3076923076923077,0.5967548076923077,0.29837740384615385
tone,0.2578125,0.3146853146853147,0.5724978146853147,0.28624890734265734
businessperson,0.2265625,0.3006993006993007,0.5272618006993006,0.2636309003496503
flow,0.2734375,0.2517482517482518,0.5251857517482518,0.2625928758741259
term,0.171875,0.34265734265734266,0.5145323426573427,0.25726617132867136
specific,0.203125,0.2867132867132867,0.4898382867132867,0.24491914335664336
business,0.203125,0.2727272727272727,0.4758522727272727,0.23792613636363635
added,0.3125,0.1258741258741259,0.4383741258741259,0.21918706293706294
passion,0.1015625,0.32167832167832167,0.42324082167832167,0.21162041083916083
sense,0.1484375,0.26573426573426573,0.41417176573426573,0.20708588286713286
phrase,0.0390625,0.3706293706293706,0.4096918706293706,0.2048459353146853
better,0.1640625,0.23776223776223776,0.40182473776223776,0.20091236888111888
outdoorsman,0.140625,0.25874125874125875,0.39936625874125875,0.19968312937062938
word,0.1015625,0.2867132867132867,0.3882757867132867,0.19413789335664336
convey,0.234375,0.15384615384615385,0.38822115384615385,0.19411057692307693
making,0.0234375,0.35664335664335667,0.38008085664335667,0.19004042832167833
adds,0.0078125,0.36363636363636365,0.37144886363636365,0.18572443181818182
enthusiasm,0.0703125,0.27972027972027974,0.35003277972027974,0.17501638986013987
concise,0.125,0.22377622377622378,0.34877622377622375,0.17438811188811187
outdoors,0.171875,0.17482517482517482,0.3467001748251748,0.1733500874125874
make,0.15625,0.1888111888111888,0.3450611888111888,0.1725305944055944
formal,0.1328125,0.2097902097902098,0.3426027097902098,0.1713013548951049
conveys,0.046875,0.2867132867132867,0.3335882867132867,0.16679414335664336
stronger,0.171875,0.16083916083916083,0.33271416083916083,0.16635708041958042
readability,0.078125,0.2517482517482518,0.3298732517482518,0.1649366258741259
outdoor,0.1171875,0.1888111888111888,0.3059986888111888,0.1529993444055944
polished,0.046875,0.25874125874125875,0.30561625874125875,0.15280812937062938
avid,0.140625,0.15384615384615385,0.29447115384615385,0.14723557692307693
used,0.0625,0.23076923076923078,0.2932692307692308,0.1466346153846154
activities,0.109375,0.18181818181818182,0.2911931818181818,0.1455965909090909
commitment,0.046875,0.23776223776223776,0.28463723776223776,0.14231861888111888
revised,0.1015625,0.17482517482517482,0.2763876748251748,0.1381938374125874
passionate,0.125,0.14685314685314685,0.2718531468531469,0.13592657342657344
also,0.1328125,0.13286713286713286,0.26567963286713286,0.13283981643356643
descriptive,0.1953125,0.06293706293706294,0.2582495629370629,0.12912478146853146
sound,0.1171875,0.13986013986013987,0.2570476398601399,0.12852381993006995
clearer,0.03125,0.22377622377622378,0.25502622377622375,0.12751311188811187
enthusiast,0.109375,0.13986013986013987,0.24923513986013987,0.12461756993006994
adding,0.015625,0.23076923076923078,0.24639423076923078,0.12319711538461539
experience,0.125,0.11888111888111888,0.24388111888111888,0.12194055944055944
provide,0.1875,0.055944055944055944,0.24344405594405594,0.12172202797202797
instead,0.03125,0.2097902097902098,0.2410402097902098,0.1205201048951049
personal,0.046875,0.18181818181818182,0.22869318181818182,0.11434659090909091
emphasize,0.1796875,0.04895104895104895,0.22863854895104896,0.11431927447552448
impactful,0.0703125,0.15384615384615385,0.22415865384615385,0.11207932692307693
makes,0.0,0.22377622377622378,0.22377622377622378,0.11188811188811189
improved,0.0546875,0.16783216783216784,0.22251966783216784,0.11125983391608392
structure,0.0546875,0.16783216783216784,0.22251966783216784,0.11125983391608392
description,0.171875,0.04895104895104895,0.22082604895104896,0.11041302447552448
dynamic,0.0625,0.14685314685314685,0.20935314685314685,0.10467657342657342
expertise,0.109375,0.0979020979020979,0.20727709790209792,0.10363854895104896
smoother,0.0234375,0.18181818181818182,0.20525568181818182,0.10262784090909091
provides,0.0234375,0.18181818181818182,0.20525568181818182,0.10262784090909091
active,0.046875,0.15384615384615385,0.20072115384615385,0.10036057692307693
commonly,0.03125,0.16783216783216784,0.19908216783216784,0.09954108391608392
slightly,0.0078125,0.1888111888111888,0.1966236888111888,0.0983118444055944
using,0.046875,0.14685314685314685,0.19372814685314685,0.09686407342657342
field,0.09375,0.0979020979020979,0.19165209790209792,0.09582604895104896
original,0.0234375,0.16783216783216784,0.19126966783216784,0.09563483391608392
interests,0.0859375,0.1048951048951049,0.1908326048951049,0.09541630244755245
emphasizes,0.015625,0.16783216783216784,0.18345716783216784,0.09172858391608392
sounds,0.0,0.18181818181818182,0.18181818181818182,0.09090909090909091
natural,0.0546875,0.1258741258741259,0.1805616258741259,0.09028081293706294
statement,0.1015625,0.07692307692307693,0.17848557692307693,0.08924278846153846
