prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.17094017094017094,0.0,0.1111111111111111,0.0
gender declaration man,masculine,0.1111111111111111,0.2905982905982906,0.0,0.0
gender declaration man,feminine,0.23931623931623933,0.3504273504273504,0.3418803418803419,0.0
gender declaration nonbinary,neutral,0.23931623931623933,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.5470085470085471,0.39316239316239315,0.0,0.0
gender declaration nonbinary,feminine,0.6239316239316239,0.358974358974359,0.0,0.0
gender declaration woman,neutral,0.2905982905982906,0.0,0.0,0.06837606837606838
gender declaration woman,masculine,0.2905982905982906,0.39316239316239315,0.0,0.2564102564102564
gender declaration woman,feminine,0.17094017094017094,0.29914529914529914,0.0,0.0
pronoun declaration he/him,neutral,0.1452991452991453,0.0,0.042735042735042736,0.0
pronoun declaration he/him,masculine,0.1111111111111111,0.2222222222222222,0.0,0.0
pronoun declaration he/him,feminine,0.28205128205128205,0.42735042735042733,0.2564102564102564,0.0
pronoun declaration she/her,neutral,0.15384615384615385,0.0,0.0,0.03418803418803419
pronoun declaration she/her,masculine,0.29914529914529914,0.37606837606837606,0.0,0.2905982905982906
pronoun declaration she/her,feminine,0.10256410256410256,0.3247863247863248,0.0,0.0
pronoun declaration they/them,neutral,0.1282051282051282,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.4700854700854701,0.5128205128205128,0.0,0.0
pronoun declaration they/them,feminine,0.5641025641025641,0.41025641025641024,0.0,0.0
pronoun usage her,neutral,0.2564102564102564,0.0,0.0,0.0
pronoun usage her,masculine,0.452991452991453,0.3333333333333333,0.0,0.017094017094017096
pronoun usage her,feminine,0.17094017094017094,0.17094017094017094,0.0,0.0
pronoun usage his,neutral,0.27350427350427353,0.0,0.0,0.0
pronoun usage his,masculine,0.21367521367521367,0.23931623931623933,0.0,0.0
pronoun usage his,feminine,0.19658119658119658,0.1794871794871795,0.0,0.0
pronoun usage their,neutral,0.23076923076923078,0.0,0.0,0.0
pronoun usage their,masculine,0.23076923076923078,0.29914529914529914,0.0,0.0
pronoun usage their,feminine,0.21367521367521367,0.15384615384615385,0.0,0.0
unknown gender,neutral,0.2222222222222222,0.0,0.0,0.0
unknown gender,masculine,0.23931623931623933,0.28205128205128205,0.0,0.0
unknown gender,feminine,0.13675213675213677,0.19658119658119658,0.0,0.0
