word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.6320754716981132,0.8195718654434251,1.4516473371415382,0.7258236685707691
sentence,0.4025157232704403,0.8012232415902141,1.2037389648606545,0.6018694824303272
changed,0.46540880503144655,0.4036697247706422,0.8690785298020888,0.4345392649010444
explanation,0.050314465408805034,0.8042813455657493,0.8545958109745543,0.42729790548727714
replaced,0.5691823899371069,0.2415902140672783,0.8107726040043852,0.4053863020021926
term,0.1949685534591195,0.6146788990825688,0.8096474525416884,0.4048237262708442
made,0.6352201257861635,0.10703363914373089,0.7422537649298944,0.3711268824649472
clarity,0.2893081761006289,0.40061162079510704,0.689919796895736,0.344959898447868
professional,0.22641509433962265,0.45871559633027525,0.685130690669898,0.342565345334949
inclusive,0.18867924528301888,0.45871559633027525,0.6473948416132942,0.3236974208066471
better,0.2138364779874214,0.290519877675841,0.5043563556632624,0.2521781778316312
flow,0.22012578616352202,0.2599388379204893,0.4800646240840113,0.24003231204200565
tone,0.19811320754716982,0.2599388379204893,0.4580520454676591,0.22902602273382955
gender,0.22641509433962265,0.21712538226299694,0.4435404766026196,0.2217702383013098
added,0.27358490566037735,0.1559633027522936,0.42954820841267094,0.21477410420633547
businessman,0.1792452830188679,0.24770642201834864,0.4269517050372166,0.2134758525186083
phrase,0.03459119496855346,0.3853211009174312,0.41991229588598467,0.20995614794299233
make,0.18238993710691823,0.21406727828746178,0.39645721539438,0.19822860769719
outdoorsman,0.18553459119496854,0.20489296636085627,0.3904275575558248,0.1952137787779124
concise,0.11320754716981132,0.25076452599388377,0.36397207316369506,0.18198603658184753
making,0.015723270440251572,0.345565749235474,0.3612890196757256,0.1806445098378628
reflect,0.18553459119496854,0.16819571865443425,0.3537303098494028,0.1768651549247014
word,0.059748427672955975,0.290519877675841,0.35026830534879694,0.17513415267439847
policeman,0.12264150943396226,0.20795107033639143,0.3305925797703537,0.16529628988517686
engaging,0.08490566037735849,0.2415902140672783,0.3264958744446368,0.1632479372223184
woman,0.07547169811320754,0.24770642201834864,0.32317812013155617,0.16158906006577808
language,0.08176100628930817,0.23547400611620795,0.3172350124055161,0.15861750620275805
sense,0.10377358490566038,0.21100917431192662,0.314782759217587,0.1573913796087935
accurately,0.12264150943396226,0.18960244648318042,0.3122439559171427,0.15612197795857136
also,0.1069182389937107,0.19877675840978593,0.3056949974034966,0.1528474987017483
readability,0.05660377358490566,0.24770642201834864,0.3043101956032543,0.15215509780162714
officer,0.09748427672955975,0.19877675840978593,0.29626103513934565,0.14813051756967283
police,0.09433962264150944,0.19877675840978593,0.29311638105129534,0.14655819052564767
use,0.11006289308176101,0.16819571865443425,0.27825861173619526,0.13912930586809763
makes,0.009433962264150943,0.26605504587155965,0.2754890081357106,0.1377445040678553
businesswoman,0.10062893081761007,0.1743119266055046,0.2749408574231147,0.13747042871155735
formal,0.08490566037735849,0.18960244648318042,0.2745081068605389,0.13725405343026945
instead,0.04716981132075472,0.22324159021406728,0.270411401534822,0.135205700767411
conveys,0.009433962264150943,0.2599388379204893,0.2693728001846402,0.1346864000923201
clearer,0.0440251572327044,0.21406727828746178,0.2580924355201662,0.1290462177600831
weatherman,0.11320754716981132,0.1437308868501529,0.2569384340199642,0.1284692170099821
revised,0.08490566037735849,0.16819571865443425,0.25310137903179275,0.12655068951589638
specific,0.11320754716981132,0.13761467889908258,0.2508222260688939,0.12541111303444696
convey,0.16037735849056603,0.0856269113149847,0.24600426980555073,0.12300213490277537
fireman,0.09748427672955975,0.1437308868501529,0.24121516357971265,0.12060758178985632
structure,0.07232704402515723,0.16819571865443425,0.2405227626795915,0.12026138133979575
enthusiast,0.09119496855345911,0.14678899082568808,0.23798395937914718,0.11899197968957359
firefighter,0.0880503144654088,0.1437308868501529,0.23178120131556168,0.11589060065778084
polished,0.015723270440251572,0.21100917431192662,0.22673244475217819,0.11336622237608909
change,0.031446540880503145,0.18960244648318042,0.22104898736368356,0.11052449368184178
outdoor,0.07232704402515723,0.1437308868501529,0.2160579308753101,0.10802896543765506
passion,0.0660377358490566,0.14984709480122324,0.21588483065027986,0.10794241532513993
role,0.07232704402515723,0.1345565749235474,0.2068836189487046,0.1034418094743523
using,0.03459119496855346,0.16819571865443425,0.2027869136229877,0.10139345681149385
stronger,0.08490566037735849,0.11314984709480122,0.19805550747215972,0.09902775373607986
clear,0.018867924528301886,0.17737003058103976,0.19623795510934164,0.09811897755467082
adds,0.018867924528301886,0.1743119266055046,0.19317985113380648,0.09658992556690324
career,0.07232704402515723,0.1162079510703364,0.18853499509549362,0.09426749754774681
smoother,0.015723270440251572,0.1712538226299694,0.18697709307022098,0.09348854653511049
personal,0.059748427672955975,0.12538226299694188,0.18513069066989785,0.09256534533494892
original,0.0220125786163522,0.15902140672782875,0.18103398534418094,0.09051699267209047
modern,0.012578616352201259,0.16819571865443425,0.1807743350066355,0.09038716750331775
identity,0.012578616352201259,0.1651376146788991,0.17771623103110035,0.08885811551555017
positive,0.040880503144654086,0.1345565749235474,0.17543707806820147,0.08771853903410073
experience,0.0660377358490566,0.10397553516819572,0.17001327101725233,0.08500663550862617
activities,0.05660377358490566,0.11314984709480122,0.1697536206797069,0.08487681033985345
context,0.0220125786163522,0.14678899082568808,0.16880156944204028,0.08440078472102014
clearly,0.006289308176100629,0.1620795107033639,0.16836881887946453,0.08418440943973227
provide,0.11949685534591195,0.045871559633027525,0.16536841497893948,0.08268420748946974
accurate,0.0440251572327044,0.11926605504587157,0.16329121227857596,0.08164560613928798
years,0.040880503144654086,0.11926605504587157,0.16014655819052565,0.08007327909526282
used,0.02830188679245283,0.13149847094801223,0.15980035774046505,0.07990017887023253
page,0.0031446540880503146,0.1559633027522936,0.1591079568403439,0.07955397842017195
adding,0.015723270440251572,0.14067278287461774,0.1563960533148693,0.07819802665743465
slightly,0.012578616352201259,0.1437308868501529,0.15630950320235415,0.07815475160117707
professionalism,0.0220125786163522,0.12844036697247707,0.15045294558882927,0.07522647279441463
improved,0.018867924528301886,0.13149847094801223,0.1503663954763141,0.07518319773815706
emphasizes,0.015723270440251572,0.1345565749235474,0.15027984536379896,0.07513992268189948
emphasize,0.1069182389937107,0.04281345565749235,0.14973169465120306,0.07486584732560153
life,0.04716981132075472,0.09785932721712538,0.1450291385378801,0.07251456926894005
weather,0.07547169811320754,0.0672782874617737,0.14274998557498125,0.07137499278749063
sounds,0.0031446540880503146,0.13761467889908258,0.1407593329871329,0.07037966649356645
outdoors,0.09119496855345911,0.04892966360856269,0.1401246321620218,0.0700623160810109
business,0.04716981132075472,0.09174311926605505,0.13891293058680976,0.06945646529340488
consistency,0.012578616352201259,0.12538226299694188,0.13796087934914314,0.06898043967457157
appropriate,0.018867924528301886,0.1162079510703364,0.1350758755986383,0.06753793779931914
description,0.0880503144654088,0.045871559633027525,0.1339218740984363,0.06696093704921816
dedication,0.040880503144654086,0.09174311926605505,0.13262362241070913,0.06631181120535456
active,0.031446540880503145,0.10091743119266056,0.1323639720731637,0.06618198603658185
correct,0.025157232704402517,0.10703363914373089,0.1321908718481334,0.0660954359240667
choice,0.0220125786163522,0.11009174311926606,0.13210432173561826,0.06605216086780913
descriptive,0.10377358490566038,0.027522935779816515,0.1312965206854769,0.06564826034273845
statement,0.059748427672955975,0.07033639143730887,0.13008481911026484,0.06504240955513242
overall,0.0031446540880503146,0.12538226299694188,0.1285269170849922,0.0642634585424961
comma,0.031446540880503145,0.09480122324159021,0.12624776412209335,0.06312388206104667
direct,0.018867924528301886,0.10703363914373089,0.12590156367203278,0.06295078183601639
without,0.012578616352201259,0.11314984709480122,0.12572846344700248,0.06286423172350124
maintains,0.012578616352201259,0.11314984709480122,0.12572846344700248,0.06286423172350124
meteorologist,0.040880503144654086,0.08256880733944955,0.12344931048410362,0.06172465524205181
since,0.0031446540880503146,0.11926605504587157,0.12241070913392188,0.06120535456696094
provides,0.0,0.12232415902140673,0.12232415902140673,0.06116207951070336
sound,0.031446540880503145,0.08868501529051988,0.12013155617102303,0.060065778085511515
dynamic,0.02830188679245283,0.09174311926605505,0.12004500605850787,0.06002250302925394
precise,0.009433962264150943,0.11009174311926606,0.119525705383417,0.0597628526917085
enthusiasm,0.03459119496855346,0.08256880733944955,0.117160002308003,0.0585800011540015
natural,0.02830188679245283,0.08868501529051988,0.11698690208297272,0.05849345104148636
phrasing,0.0220125786163522,0.09480122324159021,0.1168138018579424,0.0584069009289712
commitment,0.050314465408805034,0.06422018348623854,0.11453464889504357,0.057267324447521785
time,0.031446540880503145,0.08256880733944955,0.11401534821995268,0.05700767410997634
profession,0.02830188679245283,0.0856269113149847,0.11392879810743753,0.056964399053718764
two,0.02830188679245283,0.08256880733944955,0.11087069413190237,0.055435347065951185
conciseness,0.015723270440251572,0.09480122324159021,0.11052449368184178,0.05526224684092089
become,0.06289308176100629,0.045871559633027525,0.10876464139403381,0.05438232069701691
improve,0.03773584905660377,0.07033639143730887,0.10807224049391265,0.05403612024695632
impactful,0.03773584905660377,0.0672782874617737,0.10501413651837746,0.05250706825918873
changing,0.02830188679245283,0.0764525993883792,0.10475448618083202,0.05237724309041601
passionate,0.031446540880503145,0.07033639143730887,0.10178293231781202,0.05089146615890601
often,0.0,0.10091743119266056,0.10091743119266056,0.05045871559633028
enhancing,0.0,0.10091743119266056,0.10091743119266056,0.05045871559633028
dedicated,0.0440251572327044,0.05504587155963303,0.09907102879233742,0.04953551439616871
nature,0.03459119496855346,0.06422018348623854,0.09881137845479199,0.049405689227395994
removed,0.031446540880503145,0.0672782874617737,0.09872482834227683,0.049362414171138416
rather,0.02830188679245283,0.07033639143730887,0.0986382782297617,0.04931913911488085
read,0.009433962264150943,0.08868501529051988,0.09811897755467082,0.04905948877733541
easier,0.012578616352201259,0.08256880733944955,0.0951474236916508,0.0475737118458254
compared,0.0031446540880503146,0.09174311926605505,0.09488777335410536,0.04744388667705268
emphasis,0.04716981132075472,0.045871559633027525,0.09304137095378225,0.04652068547689112
idea,0.03459119496855346,0.0581039755351682,0.09269517050372166,0.04634758525186083
smoothly,0.006289308176100629,0.0856269113149847,0.09191621949108533,0.045958109745542666
ensures,0.0031446540880503146,0.08868501529051988,0.09182966937857019,0.045914834689285096
flows,0.0031446540880503146,0.08868501529051988,0.09182966937857019,0.045914834689285096
clarified,0.08176100628930817,0.009174311926605505,0.09093531821591368,0.04546765910795684
revision,0.05345911949685535,0.03669724770642202,0.09015636720327737,0.045078183601638684
part,0.018867924528301886,0.07033639143730887,0.08920431596561075,0.044602157982805375
inclusivity,0.015723270440251572,0.07339449541284404,0.08911776585309561,0.044558882926547805
explanations,0.0,0.08868501529051988,0.08868501529051988,0.04434250764525994
outdoorswoman,0.04716981132075472,0.039755351681957186,0.08692516300271191,0.04346258150135596
additionally,0.04716981132075472,0.039755351681957186,0.08692516300271191,0.04346258150135596
love,0.03773584905660377,0.04892966360856269,0.08666551266516646,0.04333275633258323
roles,0.018867924528301886,0.0672782874617737,0.08614621199007558,0.04307310599503779
terminology,0.006289308176100629,0.07951070336391437,0.085800011540015,0.0429000057700075
wanted,0.03459119496855346,0.04892966360856269,0.08352085857711615,0.041760429288558075
field,0.018867924528301886,0.06422018348623854,0.08308810801454042,0.04154405400727021
list,0.012578616352201259,0.07033639143730887,0.08291500778951012,0.04145750389475506
way,0.009433962264150943,0.07339449541284404,0.08282845767699498,0.04141422883849749
redundancy,0.006289308176100629,0.0764525993883792,0.08274190756447983,0.041370953782239914
effectively,0.006289308176100629,0.0764525993883792,0.08274190756447983,0.041370953782239914
