word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency
changes,0.6189473684210526,0.8361344537815126,1.4550818222025652
sentence,0.4126315789473684,0.8214285714285714,1.2340601503759399
explanation,0.05263157894736842,0.7962184873949579,0.8488500663423264
term,0.22105263157894736,0.6113445378151261,0.8323971693940735
changed,0.45473684210526316,0.35714285714285715,0.8118796992481203
professional,0.2673684210526316,0.5399159663865546,0.8072843874391862
replaced,0.5810526315789474,0.20378151260504201,0.7848341441839894
made,0.6252631578947369,0.10504201680672269,0.7303051747014595
clarity,0.30105263157894735,0.39705882352941174,0.6981114551083591
inclusive,0.18105263157894738,0.4264705882352941,0.6075232198142415
flow,0.2294736842105263,0.27521008403361347,0.5046837682441397
better,0.21473684210526317,0.2815126050420168,0.49624944714728
tone,0.2,0.29411764705882354,0.49411764705882355
phrase,0.03368421052631579,0.38445378151260506,0.4181379920389209
make,0.19157894736842104,0.21218487394957983,0.40376382131800087
concise,0.13894736842105262,0.2605042016806723,0.39945157010172494
added,0.2631578947368421,0.13445378151260504,0.39761167624944715
gender,0.1831578947368421,0.19327731092436976,0.37643520566121186
making,0.01263157894736842,0.3487394957983193,0.36137107474568775
engaging,0.07368421052631578,0.2668067226890756,0.3404909332153914
word,0.05473684210526316,0.2773109243697479,0.33204776647501105
firefighter,0.13473684210526315,0.19327731092436976,0.3280141530296329
sense,0.10105263157894737,0.2184873949579832,0.3195400265369306
also,0.11578947368421053,0.1953781512605042,0.3111676249447147
language,0.08421052631578947,0.22478991596638656,0.30900044228217605
