index,role_noun,role_noun_set,sentence,sentence_format,task_wording,prompt_text
0,alderperson,"['alderperson', 'alderwoman', 'alderman']","To my surprise, after the elections in 1994, I immediately became an alderperson for Education, Employment, Social Affairs and Minority Policy.","To my surprise, after the elections in 1994, I immediately became an [ROLE NOUN] for Education, Employment, Social Affairs and Minority Policy.",simple,"To my surprise, after the elections in 1994, I immediately became an alderperson for Education, Employment, Social Affairs and Minority Policy. I am a"
1,alderperson,"['alderperson', 'alderwoman', 'alderman']",I was elected to be the alderperson of the 3rd district in Glascoff City in Comery County.,I was elected to be the [ROLE NOUN] of the 3rd district in Glascoff City in Comery County.,simple,I was elected to be the alderperson of the 3rd district in Glascoff City in Comery County. I am a
2,alderperson,"['alderperson', 'alderwoman', 'alderman']",That is why I have believe I have much to give as MAYOR and alderperson/COUNCILLOR of the City of Glenorchy.,That is why I have believe I have much to give as MAYOR and [ROLE NOUN]/COUNCILLOR of the City of Glenorchy.,simple,That is why I have believe I have much to give as MAYOR and alderperson/COUNCILLOR of the City of Glenorchy. I am a
3,alderperson,"['alderperson', 'alderwoman', 'alderman']","A few years later, I was elected alderperson in that community.","A few years later, I was elected [ROLE NOUN] in that community.",simple,"A few years later, I was elected alderperson in that community. I am a"
4,alderperson,"['alderperson', 'alderwoman', 'alderman']",I served as an alderperson in the 1980s and narrowly lost a mayoral race in 1989.,I served as an [ROLE NOUN] in the 1980s and narrowly lost a mayoral race in 1989.,simple,I served as an alderperson in the 1980s and narrowly lost a mayoral race in 1989. I am a
5,alderperson,"['alderperson', 'alderwoman', 'alderman']","I’m a graduate of the Australian Institute of Company Directors, a board member, and a former alderperson, so I understand the challenges of communicating to decision-makers.","I’m a graduate of the Australian Institute of Company Directors, a board member, and a former [ROLE NOUN], so I understand the challenges of communicating to decision-makers.",simple,"I’m a graduate of the Australian Institute of Company Directors, a board member, and a former alderperson, so I understand the challenges of communicating to decision-makers. I am a"
6,anchor,"['anchor', 'anchorwoman', 'anchorman']","I was an anchor at CNN for 18 years, now podcaster.","I was an [ROLE NOUN] at CNN for 18 years, now podcaster.",simple,"I was an anchor at CNN for 18 years, now podcaster. I am a"
7,anchor,"['anchor', 'anchorwoman', 'anchorman']",This is how I moved from working as a prime-time news anchor in the Middle East... to becoming a Meditation and Mindset coach.,This is how I moved from working as a prime-time news [ROLE NOUN] in the Middle East... to becoming a Meditation and Mindset coach.,simple,This is how I moved from working as a prime-time news anchor in the Middle East... to becoming a Meditation and Mindset coach. I am a
8,anchor,"['anchor', 'anchorwoman', 'anchorman']","With my Bachelor of Arts degree, I plan to improve the diversity in media as a news anchor and, ultimately, an executive producer.","With my Bachelor of Arts degree, I plan to improve the diversity in media as a news [ROLE NOUN] and, ultimately, an executive producer.",simple,"With my Bachelor of Arts degree, I plan to improve the diversity in media as a news anchor and, ultimately, an executive producer. I am a"
9,anchor,"['anchor', 'anchorwoman', 'anchorman']","Prior to Milwaukee, I was a weekend anchor and multi-media journalist in Des Moines, Iowa at the ABC affiliate.","Prior to Milwaukee, I was a weekend [ROLE NOUN] and multi-media journalist in Des Moines, Iowa at the ABC affiliate.",simple,"Prior to Milwaukee, I was a weekend anchor and multi-media journalist in Des Moines, Iowa at the ABC affiliate. I am a"
10,anchor,"['anchor', 'anchorwoman', 'anchorman']",And also I worked as anchor of health show in KATH FM 97.9 for six months sponsored by Kwality Biscuits Pvt.Ltd.,And also I worked as [ROLE NOUN] of health show in KATH FM 97.9 for six months sponsored by Kwality Biscuits Pvt.Ltd.,simple,And also I worked as anchor of health show in KATH FM 97.9 for six months sponsored by Kwality Biscuits Pvt.Ltd. I am a
11,anchor,"['anchor', 'anchorwoman', 'anchorman']","Currently, I work as a news writer and anchor for NBC News Radio and I’m an on-air personality and producer at Majic 102.3FM and 92.7 FM.","Currently, I work as a news writer and [ROLE NOUN] for NBC News Radio and I’m an on-air personality and producer at Majic 102.3FM and 92.7 FM.",simple,"Currently, I work as a news writer and anchor for NBC News Radio and I’m an on-air personality and producer at Majic 102.3FM and 92.7 FM. I am a"
12,anchor,"['anchor', 'anchorwoman', 'anchorman']","Shortly after graduation, I was hired as a television anchor in a small Missouri college town.","Shortly after graduation, I was hired as a television [ROLE NOUN] in a small Missouri college town.",simple,"Shortly after graduation, I was hired as a television anchor in a small Missouri college town. I am a"
13,anchor,"['anchor', 'anchorwoman', 'anchorman']","The anchor ambition faded quickly, but I did eventually get a degree in journalism at the prestigious School for Journalism in Utrecht.","The [ROLE NOUN] ambition faded quickly, but I did eventually get a degree in journalism at the prestigious School for Journalism in Utrecht.",simple,"The anchor ambition faded quickly, but I did eventually get a degree in journalism at the prestigious School for Journalism in Utrecht. I am a"
14,anchor,"['anchor', 'anchorwoman', 'anchorman']",A year later I was hired to a television channel as an anchor.,A year later I was hired to a television channel as an [ROLE NOUN].,simple,A year later I was hired to a television channel as an anchor. I am a
15,anchor,"['anchor', 'anchorwoman', 'anchorman']",What enabled my two-year climb from amateur videographer to mainstream anchor?,What enabled my two-year climb from amateur videographer to mainstream [ROLE NOUN]?,simple,What enabled my two-year climb from amateur videographer to mainstream anchor? I am a
16,anchor,"['anchor', 'anchorwoman', 'anchorman']","From there, I gradually worked my way up to anchor for their daily world news segment.","From there, I gradually worked my way up to [ROLE NOUN] for their daily world news segment.",simple,"From there, I gradually worked my way up to anchor for their daily world news segment. I am a"
17,anchor,"['anchor', 'anchorwoman', 'anchorman']","I worked as a Newsreader/News anchor, Presenter and Continuity Announcer from 1986 – 1989 and then from 2002 – 2005 while on career break from the MPS.","I worked as a Newsreader/News [ROLE NOUN], Presenter and Continuity Announcer from 1986 – 1989 and then from 2002 – 2005 while on career break from the MPS.",simple,"I worked as a Newsreader/News anchor, Presenter and Continuity Announcer from 1986 – 1989 and then from 2002 – 2005 while on career break from the MPS. I am a"
18,assemblyperson,"['assemblyperson', 'assemblywoman', 'assemblyman']","As a state assemblyperson, I introduced legislation impacting Education, Public Safety, Healthcare and Economic Development.","As a state [ROLE NOUN], I introduced legislation impacting Education, Public Safety, Healthcare and Economic Development.",simple,"As a state assemblyperson, I introduced legislation impacting Education, Public Safety, Healthcare and Economic Development. I am a"
19,assemblyperson,"['assemblyperson', 'assemblywoman', 'assemblyman']","As your assemblyperson I’ll be focused on lowering our cost of living, making our community safe again, and making sure our students get the kind of education they deserve.","As your [ROLE NOUN] I’ll be focused on lowering our cost of living, making our community safe again, and making sure our students get the kind of education they deserve.",simple,"As your assemblyperson I’ll be focused on lowering our cost of living, making our community safe again, and making sure our students get the kind of education they deserve. I am a"
20,ball person,"['ball person', 'ballgirl', 'ballboy']","I held up the tiny ad, took a big breath and squeak-asked if I could be the team’s ball person.","I held up the tiny ad, took a big breath and squeak-asked if I could be the team’s [ROLE NOUN].",simple,"I held up the tiny ad, took a big breath and squeak-asked if I could be the team’s ball person. I am a"
21,ball person,"['ball person', 'ballgirl', 'ballboy']","In 2004, my career began at Converse, where I became the lead designer for NBA superstar Dwyane Wade- a dream come true for a former Miami Heat ball person.","In 2004, my career began at Converse, where I became the lead designer for NBA superstar Dwyane Wade- a dream come true for a former Miami Heat [ROLE NOUN].",simple,"In 2004, my career began at Converse, where I became the lead designer for NBA superstar Dwyane Wade- a dream come true for a former Miami Heat ball person. I am a"
