prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.23931623931623933,0.0,0.09401709401709402,0.0
gender declaration man,masculine,0.1452991452991453,0.3504273504273504,0.0,0.0
gender declaration man,feminine,0.1623931623931624,0.42735042735042733,0.4017094017094017,0.0
gender declaration nonbinary,neutral,0.26495726495726496,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.47863247863247865,0.5042735042735043,0.0,0.0
gender declaration nonbinary,feminine,0.5555555555555556,0.4358974358974359,0.0,0.0
gender declaration woman,neutral,0.23931623931623933,0.0,0.0,0.1282051282051282
gender declaration woman,masculine,0.3076923076923077,0.4444444444444444,0.0,0.23076923076923078
gender declaration woman,feminine,0.10256410256410256,0.42735042735042733,0.0,0.0
pronoun declaration he/him,neutral,0.1452991452991453,0.0,0.09401709401709402,0.0
pronoun declaration he/him,masculine,0.11965811965811966,0.3504273504273504,0.0,0.0
pronoun declaration he/him,feminine,0.26495726495726496,0.4700854700854701,0.24786324786324787,0.0
pronoun declaration she/her,neutral,0.2222222222222222,0.0,0.0,0.06837606837606838
pronoun declaration she/her,masculine,0.29914529914529914,0.4358974358974359,0.0,0.2564102564102564
pronoun declaration she/her,feminine,0.10256410256410256,0.38461538461538464,0.0,0.0
pronoun declaration they/them,neutral,0.1452991452991453,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.4700854700854701,0.5213675213675214,0.0,0.0
pronoun declaration they/them,feminine,0.4358974358974359,0.5641025641025641,0.0,0.0
pronoun usage her,neutral,0.3247863247863248,0.0,0.0,0.0
pronoun usage her,masculine,0.3504273504273504,0.5299145299145299,0.0,0.05982905982905983
pronoun usage her,feminine,0.09401709401709402,0.3333333333333333,0.0,0.0
pronoun usage his,neutral,0.3333333333333333,0.0,0.0,0.0
pronoun usage his,masculine,0.1794871794871795,0.41025641025641024,0.0,0.0
pronoun usage his,feminine,0.1452991452991453,0.41025641025641024,0.0,0.0
pronoun usage their,neutral,0.29914529914529914,0.0,0.0,0.0
pronoun usage their,masculine,0.26495726495726496,0.4444444444444444,0.0,0.0
pronoun usage their,feminine,0.07692307692307693,0.3418803418803419,0.0,0.0
unknown gender,neutral,0.26495726495726496,0.0,0.0,0.0
unknown gender,masculine,0.23076923076923078,0.4444444444444444,0.0,0.0
unknown gender,feminine,0.07692307692307693,0.3162393162393162,0.0,0.0
