stem,word,frequency
actr,actress,15136
seamstr,seamstress,2018
waitr,waitress,1548
host,hostess,1213
priest,priestess,1208
godd,goddess,985
princ,princess,951
songstr,songstress,611
m,mess,588
steward,stewardess,246
succ,success,187
poet,poetess,163
prophet,prophetess,121
headmistr,headmistress,117
directr,directress,102
sorcer,sorceress,102
webmistr,webmistress,87
sculptr,sculptress,78
cocktail waitr,cocktail waitress,76
proprietr,proprietress,74
empr,empress,73
author,authoress,73
seductr,seductress,61
shepherd,shepherdess,60
creatr,creatress,56
adventur,adventuress,55
heir,heiress,54
wardrobe mistr,wardrobe mistress,43
enchantr,enchantress,42
huntr,huntress,41
in-progr,in-progress,39
duch,duchess,37
manager,manageress,36
concertmistr,concertmistress,36
temptr,temptress,34
pr,press,33
laundr,laundress,32
foundr,foundress,32
count,countess,30
prepr,prepress,27
paintr,paintress,22
airline steward,airline stewardess,21
,ess,20
ambassadr,ambassadress,20
restaurant host,restaurant hostess,19
party host,party hostess,18
abb,abbess,18
tigr,tigress,17
jew,jewess,17
singing waitr,singing waitress,17
tailor,tailoress,17
str,stress,16
show host,show hostess,16
costume mistr,costume mistress,16
instructr,instructress,15
wander,wanderess,15
air-host,air-hostess,15
dr,dress,12
protectr,protectress,12
postmistr,postmistress,11
expr,express,11
proc,process,11
druid,druidess,9
burg,burgess,9
airhost,airhostess,9
ch,chess,7
entrepreneur,entrepreneuress,7
mayor,mayoress,7
warrior,warrioress,7
concert-mistr,concert-mistress,7
housemistr,housemistress,6
god,godess,6
co-host,co-hostess,6
manifestr,manifestress,6
voice-actr,voice-actress,6
costume seamstr,costume seamstress,6
ringmistr,ringmistress,5
giant,giantess,5
seamtr,seamtress,5
soulstr,soulstress,5
seer,seeress,5
hot-m,hot-mess,5
conductr,conductress,5
kongr,kongress,4
funkstr,funkstress,4
demigodd,demigoddess,4
micropr,micropress,4
prior,prioress,4
editr,editress,4
wordpr,wordpress,4
blogg,bloggess,4
gu,guess,4
mattr,mattress,4
bar waitr,bar waitress,4
baketr,baketress,4
wizard,wizardess,4
chantr,chantress,4
cuckoldr,cuckoldress,4
photograph,photographess,3
hermit,hermitess,3
postmisstr,postmisstress,3
adulter,adulteress,3
connectr,connectress,3
commandr,commandress,3
schoolmistr,schoolmistress,3
mixtr,mixtress,3
industrial seamstr,industrial seamstress,3
congr,congress,3
j,jess,3
wizardr,wizardress,3
turned-songstr,turned-songstress,3
blogmistr,blogmistress,3
songtr,songtress,3
banquet waitr,banquet waitress,3
millionair,millionairess,3
archaeopr,archaeopress,3
