index,stem,words,total_frequency
0,chair,"['chairman', 'chairperson', 'chairwoman']",38597
1,sales,"['salesperson', 'salesman', 'saleswoman']",5981
2,business,"['businessman', 'businesswoman', 'businessperson']",5879
3,spokes,"['spokesperson', 'spokesman', 'spokeswoman']",4383
4,crafts,"['craftsman', 'craftsperson', 'craftswoman']",3390
5,fresh,"['freshman', 'freshwoman', 'freshperson']",2431
6,fisher,"['fisherman', 'fisherwoman', 'fisherperson']",2232
7,side,"['sideman', 'sidewoman', 'sideperson']",2075
8,camera,"['cameraman', 'camerawoman', 'cameraperson']",1969
9,outdoors,"['outdoorsman', 'outdoorswoman', 'outdoorsperson']",1639
10,fore,"['foreman', 'foreperson', 'forewoman']",1402
11,handy,"['handyman', 'handywoman', 'handyperson']",1369
12,sports,"['sportsman', 'sportswoman', 'sportsperson']",1306
13,front,"['frontman', 'frontwoman', 'frontperson']",1055
14,drafts,"['draftsman', 'draftsperson', 'draftswoman']",941
15,council,"['councilman', 'councilwoman', 'councilperson']",777
16,congress,"['congressman', 'congresswoman', 'congressperson']",758
17,horse,"['horseman', 'horsewoman', 'horseperson']",702
18,vice-chair,"['vice-chairman', 'vice-chairperson', 'vice-chairwoman']",696
19,co-chair,"['co-chairman', 'co-chairperson', 'co-chairwoman']",691
20,trades,"['tradesman', 'tradesperson', 'tradeswoman']",445
21,show,"['showman', 'showperson', 'showwoman']",388
22,draughts,"['draughtsman', 'draughtswoman', 'draughtsperson']",359
23,stunt,"['stuntman', 'stuntwoman', 'stuntperson']",357
24,base,"['baseman', 'basewoman', 'baseperson']",297
25,english,"['englishman', 'englishwoman', 'englishperson']",296
26,committee,"['committeeman', 'committeewoman', 'committeeperson']",265
27,states,"['statesman', 'statesperson', 'stateswoman']",256
28,alder,"['alderman', 'alderperson', 'alderwoman']",249
29,lay,"['layman', 'layperson', 'laywoman']",224
30,free,"['freeman', 'freeperson', 'freewoman']",210
31,front-,"['front-man', 'front-woman', 'front-person']",163
32,clergy,"['clergyman', 'clergyperson', 'clergywoman']",150
33,stunt ,"['stunt man', 'stunt woman', 'stunt person']",106
34,side-,"['side-man', 'side-woman', 'side-person']",92
35,select,"['selectman', 'selectwoman', 'selectperson']",84
36,trans,"['transwoman', 'transman', 'transperson']",83
37,news,"['newsman', 'newswoman', 'newsperson']",75
38,outdoors-,"['outdoors-man', 'outdoors-woman', 'outdoors-person']",71
39,hype-,"['hype-woman', 'hype-man', 'hype-person']",47
40,family-,"['family-man', 'family-woman', 'family-person']",45
41,bonds,"['bondsman', 'bondswoman', 'bondsperson']",45
42,business-,"['business-woman', 'business-man', 'business-person']",45
43,stock,"['stockman', 'stockperson', 'stockwoman']",39
44,craft,"['craftman', 'craftperson', 'craftwoman']",35
45,to-,"['to-person', 'to-man', 'to-woman']",30
46,handy-,"['handy-man', 'handy-woman', 'handy-person']",29
47,chair-,"['chair-person', 'chair-man', 'chair-woman']",15
48,hench,"['henchman', 'henchperson', 'henchwoman']",13
49,cat,"['catwoman', 'catperson', 'catman']",13
50,camera-,"['camera-man', 'camera-woman', 'camera-person']",11
51,middle-,"['middle-man', 'middle-person', 'middle-woman']",10
52,towns,"['townsperson', 'townsman', 'townswoman']",9
53,.,"['.man', '.woman', '.person']",8
54,idea-,"['idea-person', 'idea-man', 'idea-woman']",7
55,draft,"['draftman', 'draftperson', 'draftwoman']",7
56,words,"['wordsman', 'wordsperson', 'wordswoman']",4
57,writer,"['writerman', 'writeress', 'writerperson']",3
