index,stem,words,total_frequency
0,repair,"['repairman', 'repairperson']",367
1,car sales,"['car salesman', 'car salesperson']",152
2,maintenance ,"['maintenance man', 'maintenance person']",92
3,door,"['doorman', 'doorperson']",84
4,delivery ,"['delivery person', 'delivery man']",77
5,weather,"['weatherman', 'weatherperson']",75
6,sound,"['soundman', 'soundperson']",67
7,insurance sales,"['insurance salesman', 'insurance salesperson']",60
8,warehouse,"['warehouseman', 'warehouseperson']",46
9,shoe sales,"['shoe salesman', 'shoe salesperson']",41
10,garbage ,"['garbage man', 'garbage person']",41
11,bands,"['bandsman', 'bandsperson']",33
12,retail sales,"['retail salesperson', 'retail salesman']",32
13,signal,"['signalman', 'signalperson']",31
14,wire,"['wireman', 'wireperson']",30
15,service ,"['service person', 'service man']",29
16,herds,"['herdsman', 'herdsperson']",28
17,past-chair,"['past-chairman', 'past-chairperson']",26
18,ex-chair,"['ex-chairman', 'ex-chairperson']",23
19,key,"['keyperson', 'keyman']",17
20,flag,"['flagman', 'flagperson']",12
21,chai,"['chaiman', 'chaiperson']",12
22,sales-,"['sales-person', 'sales-man']",11
23,spoke,"['spokeperson', 'spokeman']",10
24,point-,"['point-person', 'point-man']",9
25,mer,"['merman', 'merperson']",7
26,point,"['pointman', 'pointperson']",7
27,sports-,"['sports-person', 'sports-man']",7
28,sale,"['saleman', 'saleperson']",6
29,committee-,"['committee-person', 'committee-man']",6
30,camer,"['camerman', 'camerperson']",6
31,co-spokes,"['co-spokesman', 'co-spokesperson']",5
32,parts counter,"['parts counterman', 'parts counterperson']",5
33,instrument ,"['instrument person', 'instrument man']",4
34,funny-,"['funny-man', 'funny-person']",4
35,yard,"['yardman', 'yardperson']",3
36,trades-,"['trades-person', 'trades-man']",2
37,tech-,"['tech-person', 'tech-man']",2
38,happy-,"['happy-man', 'happy-person']",2
39,ass-,"['ass-man', 'ass-person']",2
