index,stem,words,total_frequency
0,gentle,"['gentleman', 'gentlewoman']",857
1,fire,"['fireman', 'firewoman']",354
2,iron,"['ironman', 'ironwoman']",246
3,super,"['superwoman', 'superman']",238
4,police,"['policeman', 'policewoman']",226
5,air,"['airman', 'airwoman']",197
6,ombuds,"['ombudsman', 'ombudswoman']",189
7,letter,"['letterman', 'letterwoman']",181
8,assembly,"['assemblyman', 'assemblywoman']",165
9,marks,"['marksman', 'markswoman']",154
10,irish,"['irishman', 'irishwoman']",144
11,water,"['waterman', 'waterwoman']",132
12,bar,"['barman', 'barwoman']",129
13,blues,"['bluesman', 'blueswoman']",118
14,mad,"['madman', 'madwoman']",116
15,yorkshire,"['yorkshireman', 'yorkshirewoman']",110
16,post,"['postman', 'postwoman']",106
17,livery,"['liveryman', 'liverywoman']",91
18,watch,"['watchman', 'watchwoman']",90
19,dutch,"['dutchman', 'dutchwoman']",90
20,wing,"['wingman', 'wingwoman']",84
21,strong,"['strongman', 'strongwoman']",81
22,french,"['frenchman', 'frenchwoman']",78
23,yachts,"['yachtsman', 'yachtswoman']",77
24,scots,"['scotsman', 'scotswoman']",77
25,newspaper,"['newspaperman', 'newspaperwoman']",76
26,plants,"['plantsman', 'plantswoman']",68
27,swords,"['swordsman', 'swordswoman']",61
28,welsh,"['welshman', 'welshwoman']",55
29,fly-fisher,"['fly-fisherman', 'fly-fisherwoman']",51
30,cattle,"['cattleman', 'cattlewoman']",49
31,spider,"['spiderman', 'spiderwoman']",45
32,every,"['everyman', 'everywoman']",43
33,bat,"['batman', 'batwoman']",41
34,ad,"['adman', 'adwoman']",39
35,guards,"['guardsman', 'guardswoman']",34
36,cave,"['caveman', 'cavewoman']",33
37,helms,"['helmsman', 'helmswoman']",32
38,oars,"['oarsman', 'oarswoman']",31
39,pitch,"['pitchman', 'pitchwoman']",29
40,salary,"['salaryman', 'salarywoman']",29
41,church,"['churchman', 'churchwoman']",27
42,country,"['countryman', 'countrywoman']",27
43,cis-,"['cis-woman', 'cis-man']",23
44,black,"['blackwoman', 'blackman']",23
45,grooms,"['groomsman', 'groomswoman']",22
46,hit,"['hitman', 'hitwoman']",22
47,wing-,"['wing-woman', 'wing-man']",22
48,cornish,"['cornishman', 'cornishwoman']",20
49,noble,"['nobleman', 'noblewoman']",18
50,funny,"['funnyman', 'funnywoman']",18
51,pen,"['penman', 'penwoman']",18
52,wonder,"['wonderwoman', 'wonderman']",17
53,leather,"['leatherman', 'leatherwoman']",16
54,club,"['clubman', 'clubwoman']",16
55,frontiers,"['frontiersman', 'frontierswoman']",16
56,highway,"['highwayman', 'highwaywoman']",13
57,trans-,"['trans-woman', 'trans-man']",13
58,ex-service,"['ex-serviceman', 'ex-servicewoman']",13
59,lead,"['leadman', 'leadwoman']",12
60,head,"['headman', 'headwoman']",12
61,delivery,"['deliveryman', 'deliverywoman']",11
62,hype,"['hypeman', 'hypewoman']",11
63,ad-,"['ad-man', 'ad-woman']",11
64,one-,"['one-woman', 'one-man']",11
65,indoors,"['indoorsman', 'indoorswoman']",10
66,wise,"['wisewoman', 'wiseman']",9
67,working,"['workingman', 'workingwoman']",7
68,wild-,"['wild-man', 'wild-woman']",7
69,steers,"['steersman', 'steerswoman']",7
70,co-front,"['co-frontman', 'co-frontwoman']",7
71,renaissance-,"['renaissance-man', 'renaissance-woman']",7
72,wild,"['wildman', 'wildwoman']",6
73,letter-,"['letter-man', 'letter-woman']",6
74,yes-,"['yes-man', 'yes-woman']",6
75,ferry,"['ferryman', 'ferrywoman']",5
76,sport,"['sportman', 'sportwoman']",5
77,odd-,"['odd-man', 'odd-woman']",5
78,elder,"['elderwoman', 'elderman']",4
79,yorkshire-,"['yorkshire-woman', 'yorkshire-man']",4
80,laundry,"['laundryman', 'laundrywoman']",4
81,reed,"['reedman', 'reedwoman']",4
82,stunt-,"['stunt-man', 'stunt-woman']",4
83,wolf,"['wolfman', 'wolfwoman']",4
84,half-,"['half-man', 'half-woman']",4
85,straight-,"['straight-man', 'straight-woman']",3
86,boss,"['bossman', 'bosswoman']",3
87,norse,"['norseman', 'norsewoman']",3
88,washer,"['washerwoman', 'washerman']",3
89,mad-,"['mad-man', 'mad-woman']",3
90,businesss,"['businessswoman', 'businesssman']",2
91,at,"['atman', 'atwoman']",2
92,chat,"['chatwoman', 'chatman']",2
93,child-,"['child-man', 'child-woman']",2
94,english-,"['english-man', 'english-woman']",2
95,christian-,"['christian-man', 'christian-woman']",2
96,country-,"['country-woman', 'country-man']",2
97,ex-sales,"['ex-salesman', 'ex-saleswoman']",2
98,outdoor,"['outdoorwoman', 'outdoorman']",2
99,orange,"['orangewoman', 'orangeman']",2
100,hounds,"['houndsman', 'houndswoman']",2
101,iron-,"['iron-man', 'iron-woman']",2
102,market-,"['market-woman', 'market-man']",2
103,man,"['manwoman', 'manman']",2
104,½,"['½woman', '½man']",2
