index,stem,words,total_frequency
0,journey,"['journeyperson', 'journeywoman']",27
1,crafts-,"['crafts-person', 'crafts-woman']",13
2,nursery,"['nurserywoman', 'nurseryperson']",7
3,draughts-,"['draughts-woman', 'draughts-person']",5
4,horse-,"['horse-woman', 'horse-person']",5
5,water-,"['water-person', 'water-woman']",5
6,drafts-,"['drafts-person', 'drafts-woman']",3
7,human-,"['human-person', 'human-woman']",3
8,non-,"['non-person', 'non-woman']",3
9,hench-,"['hench-person', 'hench-woman']",2
10,media,"['mediawoman', 'mediaperson']",2
11,tyrs,"['tyrsperson', 'tyrswoman']",2
