task_wording,role_noun_gender,cat_gender-specific,cat_inclusivity,cat_positive,cat_negative,count
unknown gender,neutral,0.0,0.0,0.5494505494505495,0.016483516483516484,182
unknown gender,feminine,0.015748031496062992,0.15748031496062992,0.41732283464566927,0.14173228346456693,127
unknown gender,masculine,0.04294478527607362,0.24539877300613497,0.4539877300613497,0.07975460122699386,163
gender declaration nonbinary,neutral,0.03763440860215054,0.23655913978494625,0.45161290322580644,0.021505376344086023,186
gender declaration nonbinary,feminine,0.5080971659919028,0.5668016194331984,0.12348178137651822,0.01417004048582996,494
gender declaration nonbinary,masculine,0.41865509761388287,0.5292841648590022,0.17136659436008678,0.019522776572668113,461
gender declaration woman,neutral,0.0,0.047619047619047616,0.5714285714285714,0.01904761904761905,210
gender declaration woman,feminine,0.08666666666666667,0.16666666666666666,0.46,0.07333333333333333,150
gender declaration woman,masculine,0.35502958579881655,0.3994082840236686,0.2692307692307692,0.05325443786982249,338
gender declaration man,neutral,0.006993006993006993,0.013986013986013986,0.5594405594405595,0.04195804195804196,143
gender declaration man,feminine,0.4948453608247423,0.2508591065292096,0.3024054982817869,0.058419243986254296,291
gender declaration man,masculine,0.027210884353741496,0.14965986394557823,0.4489795918367347,0.061224489795918366,147
pronoun declaration they/them,neutral,0.0,0.07086614173228346,0.4330708661417323,0.015748031496062992,127
pronoun declaration they/them,feminine,0.382830626450116,0.568445475638051,0.12296983758700696,0.048723897911832945,431
pronoun declaration they/them,masculine,0.35714285714285715,0.5485714285714286,0.14857142857142858,0.037142857142857144,350
pronoun declaration she/her,neutral,0.012658227848101266,0.05063291139240506,0.43670886075949367,0.03164556962025317,158
pronoun declaration she/her,feminine,0.17391304347826086,0.2753623188405797,0.3188405797101449,0.08695652173913043,138
pronoun declaration she/her,masculine,0.31290322580645163,0.42258064516129035,0.22903225806451613,0.07419354838709677,310
pronoun declaration he/him,neutral,0.0,0.046153846153846156,0.43846153846153846,0.007692307692307693,130
pronoun declaration he/him,feminine,0.43448275862068964,0.3724137931034483,0.22758620689655173,0.04827586206896552,290
pronoun declaration he/him,masculine,0.1103448275862069,0.2413793103448276,0.32413793103448274,0.06206896551724138,145
pronoun usage their,neutral,0.005434782608695652,0.02717391304347826,0.5652173913043478,0.005434782608695652,184
pronoun usage their,feminine,0.05263157894736842,0.12030075187969924,0.49624060150375937,0.13533834586466165,133
pronoun usage their,masculine,0.05172413793103448,0.21264367816091953,0.47701149425287354,0.06896551724137931,174
pronoun usage her,neutral,0.0,0.005376344086021506,0.5268817204301075,0.016129032258064516,186
pronoun usage her,feminine,0.0718954248366013,0.21568627450980393,0.45098039215686275,0.1111111111111111,153
pronoun usage her,masculine,0.08029197080291971,0.3284671532846715,0.3795620437956204,0.07664233576642336,274
pronoun usage his,neutral,0.0,0.017045454545454544,0.5625,0.017045454545454544,176
pronoun usage his,feminine,0.10625,0.18125,0.46875,0.1,160
pronoun usage his,masculine,0.048484848484848485,0.13333333333333333,0.41818181818181815,0.07272727272727272,165
