task_wording,role_noun_gender,KW_inclusive,KW_gender-neutral,KW_formal,KW_professional,KW_gender-specific,KW_neutral,KW_accurate,KW_modern,KW_gender,KW_common,KW_engaging,KW_pronouns,KW_concise,KW_informal,KW_conversational,count
unknown gender,neutral,0.0,0.0,0.0989010989010989,0.04945054945054945,0.0,0.0,0.005494505494505495,0.02197802197802198,0.005494505494505495,0.07692307692307693,0.0989010989010989,0.0,0.08791208791208792,0.01098901098901099,0.02197802197802198,182
unknown gender,feminine,0.14960629921259844,0.007874015748031496,0.06299212598425197,0.03937007874015748,0.007874015748031496,0.031496062992125984,0.031496062992125984,0.06299212598425197,0.03937007874015748,0.015748031496062992,0.11811023622047244,0.0,0.06299212598425197,0.023622047244094488,0.007874015748031496,127
unknown gender,masculine,0.2331288343558282,0.03067484662576687,0.06134969325153374,0.09202453987730061,0.03067484662576687,0.049079754601226995,0.018404907975460124,0.13496932515337423,0.0736196319018405,0.03067484662576687,0.04294478527607362,0.0,0.07975460122699386,0.049079754601226995,0.012269938650306749,163
gender declaration nonbinary,neutral,0.17204301075268819,0.05913978494623656,0.06451612903225806,0.03763440860215054,0.005376344086021506,0.08602150537634409,0.010752688172043012,0.005376344086021506,0.0913978494623656,0.0913978494623656,0.053763440860215055,0.005376344086021506,0.03763440860215054,0.016129032258064516,0.005376344086021506,186
gender declaration nonbinary,feminine,0.3623481781376518,0.2145748987854251,0.008097165991902834,0.008097165991902834,0.23279352226720648,0.354251012145749,0.020242914979757085,0.008097165991902834,0.5161943319838057,0.0020242914979757085,0.006072874493927126,0.0,0.016194331983805668,0.0,0.0,494
gender declaration nonbinary,masculine,0.3969631236442516,0.19522776572668113,0.008676789587852495,0.03253796095444685,0.23644251626898047,0.28199566160520606,0.021691973969631236,0.028199566160520606,0.4403470715835141,0.004338394793926247,0.013015184381778741,0.0021691973969631237,0.01735357917570499,0.006507592190889371,0.004338394793926247,461
gender declaration woman,neutral,0.02857142857142857,0.01904761904761905,0.10476190476190476,0.06666666666666667,0.0,0.01904761904761905,0.004761904761904762,0.009523809523809525,0.023809523809523808,0.06666666666666667,0.09523809523809523,0.0,0.06190476190476191,0.014285714285714285,0.047619047619047616,210
gender declaration woman,feminine,0.12666666666666668,0.04,0.06,0.08,0.013333333333333334,0.04666666666666667,0.02666666666666667,0.07333333333333333,0.1,0.02,0.04,0.0,0.08666666666666667,0.013333333333333334,0.006666666666666667,150
gender declaration woman,masculine,0.2988165680473373,0.15384615384615385,0.008875739644970414,0.04437869822485207,0.11834319526627218,0.2485207100591716,0.05029585798816568,0.05621301775147929,0.28994082840236685,0.014792899408284023,0.020710059171597635,0.0,0.038461538461538464,0.023668639053254437,0.0029585798816568047,338
gender declaration man,neutral,0.006993006993006993,0.006993006993006993,0.06993006993006994,0.027972027972027972,0.0,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.07692307692307693,0.11188811188811189,0.0,0.07692307692307693,0.027972027972027972,0.03496503496503497,143
gender declaration man,feminine,0.16838487972508592,0.07903780068728522,0.037800687285223365,0.048109965635738834,0.05154639175257732,0.15807560137457044,0.10996563573883161,0.027491408934707903,0.2268041237113402,0.010309278350515464,0.006872852233676976,0.0,0.05154639175257732,0.006872852233676976,0.0,291
gender declaration man,masculine,0.1360544217687075,0.034013605442176874,0.05442176870748299,0.07482993197278912,0.013605442176870748,0.05442176870748299,0.027210884353741496,0.12244897959183673,0.047619047619047616,0.034013605442176874,0.07482993197278912,0.0,0.04081632653061224,0.013605442176870748,0.02040816326530612,147
pronoun declaration they/them,neutral,0.05511811023622047,0.0,0.03937007874015748,0.015748031496062992,0.007874015748031496,0.03937007874015748,0.0,0.0,0.031496062992125984,0.05511811023622047,0.015748031496062992,0.007874015748031496,0.07086614173228346,0.015748031496062992,0.023622047244094488,127
pronoun declaration they/them,feminine,0.29930394431554525,0.2111368909512761,0.009280742459396751,0.016241299303944315,0.21577726218097448,0.35730858468677495,0.009280742459396751,0.013921113689095127,0.4872389791183295,0.009280742459396751,0.002320185614849188,0.3480278422273782,0.0069605568445475635,0.002320185614849188,0.0,431
pronoun declaration they/them,masculine,0.35714285714285715,0.22,0.014285714285714285,0.017142857142857144,0.2,0.3171428571428571,0.02,0.014285714285714285,0.4514285714285714,0.008571428571428572,0.008571428571428572,0.32571428571428573,0.025714285714285714,0.002857142857142857,0.0,350
pronoun declaration she/her,neutral,0.03164556962025317,0.0189873417721519,0.06329113924050633,0.03164556962025317,0.0,0.0189873417721519,0.0,0.0,0.0189873417721519,0.06329113924050633,0.04430379746835443,0.0,0.06329113924050633,0.02531645569620253,0.006329113924050633,158
pronoun declaration she/her,feminine,0.2391304347826087,0.036231884057971016,0.028985507246376812,0.036231884057971016,0.0,0.08695652173913043,0.007246376811594203,0.06521739130434782,0.08695652173913043,0.014492753623188406,0.021739130434782608,0.014492753623188406,0.09420289855072464,0.021739130434782608,0.014492753623188406,138
pronoun declaration she/her,masculine,0.3096774193548387,0.14193548387096774,0.02903225806451613,0.06129032258064516,0.11290322580645161,0.25161290322580643,0.03225806451612903,0.041935483870967745,0.2870967741935484,0.00967741935483871,0.012903225806451613,0.15806451612903225,0.025806451612903226,0.01935483870967742,0.0032258064516129032,310
pronoun declaration he/him,neutral,0.038461538461538464,0.015384615384615385,0.06923076923076923,0.038461538461538464,0.0,0.03076923076923077,0.0,0.007692307692307693,0.023076923076923078,0.03076923076923077,0.046153846153846156,0.0,0.046153846153846156,0.007692307692307693,0.023076923076923078,130
pronoun declaration he/him,feminine,0.21724137931034482,0.13793103448275862,0.020689655172413793,0.06551724137931035,0.07931034482758621,0.23103448275862068,0.06206896551724138,0.020689655172413793,0.3103448275862069,0.020689655172413793,0.006896551724137931,0.2689655172413793,0.017241379310344827,0.0,0.0,290
pronoun declaration he/him,masculine,0.2206896551724138,0.027586206896551724,0.020689655172413793,0.041379310344827586,0.027586206896551724,0.10344827586206896,0.027586206896551724,0.07586206896551724,0.05517241379310345,0.020689655172413793,0.04827586206896552,0.006896551724137931,0.06206896551724138,0.0,0.0,145
pronoun usage their,neutral,0.021739130434782608,0.0,0.07065217391304347,0.03260869565217391,0.0,0.0,0.0,0.016304347826086956,0.005434782608695652,0.05434782608695652,0.09239130434782608,0.0,0.08695652173913043,0.0,0.02717391304347826,184
pronoun usage their,feminine,0.11278195488721804,0.007518796992481203,0.07518796992481203,0.06015037593984962,0.015037593984962405,0.022556390977443608,0.05263157894736842,0.07518796992481203,0.06766917293233082,0.015037593984962405,0.06015037593984962,0.0,0.10526315789473684,0.03759398496240601,0.007518796992481203,133
pronoun usage their,masculine,0.20114942528735633,0.040229885057471264,0.05747126436781609,0.07471264367816093,0.040229885057471264,0.06896551724137931,0.028735632183908046,0.1206896551724138,0.08620689655172414,0.005747126436781609,0.09195402298850575,0.0,0.06896551724137931,0.028735632183908046,0.005747126436781609,174
pronoun usage her,neutral,0.0,0.005376344086021506,0.05913978494623656,0.04838709677419355,0.0,0.005376344086021506,0.0,0.005376344086021506,0.005376344086021506,0.0913978494623656,0.04838709677419355,0.0,0.053763440860215055,0.010752688172043012,0.016129032258064516,186
pronoun usage her,feminine,0.20915032679738563,0.026143790849673203,0.06535947712418301,0.08496732026143791,0.013071895424836602,0.05228758169934641,0.032679738562091505,0.0915032679738562,0.09803921568627451,0.013071895424836602,0.0718954248366013,0.0,0.09803921568627451,0.0196078431372549,0.013071895424836602,153
