task_wording,role_noun_gender,KW_inclusive,KW_gender-neutral,KW_formal,KW_professional,KW_gender-specific,KW_neutral,KW_accurate,KW_modern,KW_gender,KW_common,KW_engaging,KW_pronouns,KW_concise,KW_informal,KW_conversational,count
unknown gender,neutral,0.0,0.0,0.0989010989010989,0.04945054945054945,0.0,0.0,0.005494505494505495,0.02197802197802198,0.005494505494505495,0.07692307692307693,0.0989010989010989,0.0,0.08791208791208792,0.01098901098901099,0.02197802197802198,182
unknown gender,feminine,0.3217665615141956,0.20504731861198738,0.09779179810725552,0.17981072555205047,0.028391167192429023,0.2586750788643533,0.07255520504731862,0.138801261829653,0.29652996845425866,0.050473186119873815,0.05362776025236593,0.0,0.05993690851735016,0.028391167192429023,0.0031545741324921135,317
unknown gender,masculine,0.2905405405405405,0.18468468468468469,0.10585585585585586,0.15765765765765766,0.03153153153153153,0.20270270270270271,0.060810810810810814,0.22522522522522523,0.240990990990991,0.033783783783783786,0.024774774774774775,0.0,0.0472972972972973,0.06306306306306306,0.0045045045045045045,444
gender declaration nonbinary,neutral,0.17204301075268819,0.05913978494623656,0.06451612903225806,0.03763440860215054,0.005376344086021506,0.08602150537634409,0.010752688172043012,0.005376344086021506,0.0913978494623656,0.0913978494623656,0.053763440860215055,0.005376344086021506,0.03763440860215054,0.016129032258064516,0.005376344086021506,186
gender declaration nonbinary,feminine,0.463785046728972,0.3142523364485981,0.018691588785046728,0.038551401869158876,0.17990654205607476,0.477803738317757,0.04789719626168224,0.015186915887850467,0.5829439252336449,0.005841121495327103,0.005841121495327103,0.002336448598130841,0.018691588785046728,0.002336448598130841,0.0,856
gender declaration nonbinary,masculine,0.47762998790810157,0.3047158403869408,0.02176541717049577,0.060459492140266025,0.18621523579201935,0.4135429262394196,0.056831922611850064,0.056831922611850064,0.5151148730350665,0.009673518742442563,0.008464328899637243,0.0012091898428053204,0.014510278113663845,0.012091898428053204,0.0024183796856106408,827
gender declaration woman,neutral,0.03861003861003861,0.03861003861003861,0.08494208494208494,0.06177606177606178,0.03088803088803089,0.03861003861003861,0.007722007722007722,0.007722007722007722,0.11583011583011583,0.05405405405405406,0.08108108108108109,0.0,0.05405405405405406,0.011583011583011582,0.03861003861003861,259
gender declaration woman,feminine,0.28095238095238095,0.3238095238095238,0.0880952380952381,0.2523809523809524,0.02619047619047619,0.3880952380952381,0.06190476190476191,0.1619047619047619,0.4142857142857143,0.0380952380952381,0.023809523809523808,0.0,0.04047619047619048,0.014285714285714285,0.004761904761904762,420
gender declaration woman,masculine,0.31887456037514655,0.268464243845252,0.04220398593200469,0.10902696365767878,0.0914419695193435,0.33177022274325907,0.0914419695193435,0.11840562719812427,0.46893317702227433,0.01406799531066823,0.01992966002344666,0.0,0.032825322391559206,0.03751465416178194,0.0035169988276670576,853
gender declaration man,neutral,0.04455445544554455,0.15346534653465346,0.054455445544554455,0.019801980198019802,0.04950495049504951,0.16336633663366337,0.009900990099009901,0.0049504950495049506,0.22277227722772278,0.0891089108910891,0.07920792079207921,0.0,0.054455445544554455,0.019801980198019802,0.0297029702970297,202
gender declaration man,feminine,0.19466975666280417,0.22363847045191193,0.02549246813441483,0.09385863267670916,0.04982618771726535,0.3047508690614137,0.09501738122827347,0.06488991888760139,0.4704519119351101,0.028968713789107765,0.002317497103128621,0.0,0.03360370799536501,0.0034762456546929316,0.002317497103128621,863
gender declaration man,masculine,0.24552429667519182,0.2020460358056266,0.12020460358056266,0.17902813299232737,0.02557544757033248,0.21739130434782608,0.04092071611253197,0.22250639386189258,0.23785166240409208,0.03324808184143223,0.03836317135549872,0.0,0.04092071611253197,0.05115089514066496,0.010230179028132993,391
pronoun declaration they/them,neutral,0.05511811023622047,0.0,0.03937007874015748,0.015748031496062992,0.007874015748031496,0.03937007874015748,0.0,0.0,0.031496062992125984,0.05511811023622047,0.015748031496062992,0.007874015748031496,0.07086614173228346,0.015748031496062992,0.023622047244094488,127
pronoun declaration they/them,feminine,0.4016393442622951,0.31381733021077285,0.0117096018735363,0.03747072599531616,0.14402810304449648,0.4894613583138173,0.03864168618266979,0.03629976580796253,0.5655737704918032,0.01053864168618267,0.00351288056206089,0.3793911007025761,0.01053864168618267,0.00117096018735363,0.00234192037470726,854
pronoun declaration they/them,masculine,0.45161290322580644,0.358560794044665,0.033498759305210915,0.05086848635235732,0.14267990074441686,0.47766749379652607,0.05459057071960298,0.07196029776674938,0.5409429280397022,0.01488833746898263,0.00620347394540943,0.3213399503722084,0.019851116625310174,0.017369727047146403,0.0024813895781637717,806
pronoun declaration she/her,neutral,0.029069767441860465,0.040697674418604654,0.05813953488372093,0.029069767441860465,0.023255813953488372,0.040697674418604654,0.0,0.0,0.0755813953488372,0.05813953488372093,0.040697674418604654,0.06395348837209303,0.06395348837209303,0.023255813953488372,0.005813953488372093,172
pronoun declaration she/her,feminine,0.4318181818181818,0.26590909090909093,0.04318181818181818,0.20227272727272727,0.025,0.35909090909090907,0.08636363636363636,0.15227272727272728,0.375,0.015909090909090907,0.00909090909090909,0.00909090909090909,0.05227272727272727,0.01818181818181818,0.004545454545454545,440
pronoun declaration she/her,masculine,0.336866902237927,0.25323910482921086,0.0447585394581861,0.09187279151943463,0.09305064782096584,0.32037691401649,0.0800942285041225,0.11778563015312132,0.4369846878680801,0.012956419316843345,0.008244994110718492,0.2673733804475854,0.023557126030624265,0.04240282685512368,0.001177856301531213,849
pronoun declaration he/him,neutral,0.043478260869565216,0.08695652173913043,0.055900621118012424,0.031055900621118012,0.037267080745341616,0.09937888198757763,0.0,0.006211180124223602,0.13664596273291926,0.043478260869565216,0.037267080745341616,0.16770186335403728,0.037267080745341616,0.006211180124223602,0.018633540372670808,161
pronoun declaration he/him,feminine,0.2633371169125993,0.23723041997729852,0.018161180476730987,0.08172531214528944,0.05561861520998865,0.33825198637911463,0.08853575482406356,0.05788876276958002,0.4676503972758229,0.02043132803632236,0.00340522133938706,0.45062429057888764,0.018161180476730987,0.0011350737797956867,0.0011350737797956867,881
pronoun declaration he/him,masculine,0.3686635944700461,0.16359447004608296,0.11290322580645161,0.1774193548387097,0.04608294930875576,0.22580645161290322,0.10138248847926268,0.23732718894009217,0.24423963133640553,0.027649769585253458,0.020737327188940093,0.013824884792626729,0.04377880184331797,0.04838709677419355,0.002304147465437788,434
pronoun usage their,neutral,0.021739130434782608,0.0,0.07065217391304347,0.03260869565217391,0.0,0.0,0.0,0.016304347826086956,0.005434782608695652,0.05434782608695652,0.09239130434782608,0.0,0.08695652173913043,0.0,0.02717391304347826,184
pronoun usage their,feminine,0.30434782608695654,0.2080745341614907,0.07142857142857142,0.20186335403726707,0.021739130434782608,0.2484472049689441,0.062111801242236024,0.11180124223602485,0.2919254658385093,0.027950310559006212,0.037267080745341616,0.0,0.09006211180124224,0.024844720496894408,0.003105590062111801,322
pronoun usage their,masculine,0.30598669623059865,0.19290465631929046,0.09534368070953436,0.13747228381374724,0.022172949002217297,0.21507760532150777,0.06430155210643015,0.24168514412416853,0.25055432372505543,0.015521064301552107,0.03991130820399113,0.0,0.04434589800443459,0.04878048780487805,0.0022172949002217295,451
pronoun usage her,neutral,0.0,0.005376344086021506,0.05913978494623656,0.04838709677419355,0.0,0.005376344086021506,0.0,0.005376344086021506,0.005376344086021506,0.0913978494623656,0.04838709677419355,0.0,0.053763440860215055,0.010752688172043012,0.016129032258064516,186
pronoun usage her,feminine,0.2668621700879765,0.22287390029325513,0.11436950146627566,0.20527859237536658,0.01466275659824047,0.25513196480938416,0.05278592375366569,0.12316715542521994,0.2991202346041056,0.04985337243401759,0.04398826979472141,0.0,0.07331378299120235,0.03812316715542522,0.005865102639296188,341
pronoun usage her,masculine,0.30923076923076925,0.24,0.11692307692307692,0.12923076923076923,0.05384615384615385,0.26461538461538464,0.06769230769230769,0.16307692307692306,0.35846153846153844,0.015384615384615385,0.03076923076923077,0.0015384615384615385,0.04461538461538461,0.047692307692307694,0.0015384615384615385,650
pronoun usage his,neutral,0.011299435028248588,0.011299435028248588,0.05084745762711865,0.05649717514124294,0.0,0.011299435028248588,0.005649717514124294,0.022598870056497175,0.011299435028248588,0.062146892655367235,0.06779661016949153,0.0,0.06779661016949153,0.011299435028248588,0.01694915254237288,177
