prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.18026565464895636,0.0,0.08918406072106262,0.0
gender declaration man,masculine,0.16698292220113853,0.11764705882352941,0.0,0.0
gender declaration man,feminine,0.2922201138519924,0.2333965844402277,0.21631878557874762,0.0
gender declaration nonbinary,neutral,0.2314990512333966,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.4174573055028463,0.3377609108159393,0.0,0.0
gender declaration nonbinary,feminine,0.44212523719165087,0.42125237191650855,0.015180265654648957,0.0
gender declaration woman,neutral,0.20683111954459202,0.0,0.0,0.04933586337760911
gender declaration woman,masculine,0.3092979127134725,0.2504743833017078,0.0,0.14231499051233396
gender declaration woman,feminine,0.222011385199241,0.16698292220113853,0.007590132827324478,0.0
pronoun declaration he/him,neutral,0.10815939278937381,0.0,0.020872865275142316,0.0
pronoun declaration he/him,masculine,0.14800759013282733,0.16129032258064516,0.0,0.0
pronoun declaration he/him,feminine,0.24667931688804554,0.3301707779886148,0.18026565464895636,0.0
pronoun declaration she/her,neutral,0.16318785578747627,0.0,0.0,0.003795066413662239
pronoun declaration she/her,masculine,0.29411764705882354,0.3111954459203036,0.0,0.0683111954459203
pronoun declaration she/her,feminine,0.22011385199240988,0.24478178368121442,0.0056925996204933585,0.0
pronoun declaration they/them,neutral,0.16129032258064516,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.2713472485768501,0.3377609108159393,0.0,0.0
pronoun declaration they/them,feminine,0.3187855787476281,0.48956356736242884,0.022770398481973434,0.0
pronoun usage her,neutral,0.2125237191650854,0.0,0.0018975332068311196,0.003795066413662239
pronoun usage her,masculine,0.2428842504743833,0.19165085388994307,0.0,0.026565464895635674
pronoun usage her,feminine,0.21062618595825428,0.15370018975332067,0.009487666034155597,0.0
pronoun usage his,neutral,0.18975332068311196,0.0,0.018975332068311195,0.0
pronoun usage his,masculine,0.20872865275142316,0.1252371916508539,0.0,0.0
pronoun usage his,feminine,0.2333965844402277,0.17836812144212524,0.017077798861480076,0.0
pronoun usage their,neutral,0.20683111954459202,0.0,0.007590132827324478,0.003795066413662239
pronoun usage their,masculine,0.22960151802656548,0.1555977229601518,0.0,0.0018975332068311196
pronoun usage their,feminine,0.22011385199240988,0.16129032258064516,0.009487666034155597,0.0
unknown gender,neutral,0.1935483870967742,0.0,0.011385199240986717,0.003795066413662239
unknown gender,masculine,0.21062618595825428,0.14800759013282733,0.0,0.0018975332068311196
unknown gender,feminine,0.1935483870967742,0.1555977229601518,0.009487666034155597,0.0
