prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.1366223908918406,0.0,0.11005692599620494,0.0
gender declaration man,masculine,0.13282732447817835,0.0777988614800759,0.0,0.0
gender declaration man,feminine,0.24667931688804554,0.18975332068311196,0.5445920303605313,0.0
gender declaration nonbinary,neutral,0.174573055028463,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.5370018975332068,0.36622390891840606,0.0,0.0
gender declaration nonbinary,feminine,0.5901328273244781,0.3719165085388994,0.013282732447817837,0.0
gender declaration woman,neutral,0.16318785578747627,0.0,0.0,0.05502846299810247
gender declaration woman,masculine,0.36242884250474383,0.31309297912713474,0.0,0.2314990512333966
gender declaration woman,feminine,0.15180265654648956,0.12903225806451613,0.0,0.0
pronoun declaration he/him,neutral,0.0967741935483871,0.0,0.051233396584440226,0.0
pronoun declaration he/him,masculine,0.12144212523719165,0.0777988614800759,0.0,0.0
pronoun declaration he/him,feminine,0.286527514231499,0.2144212523719165,0.47058823529411764,0.0
pronoun declaration she/her,neutral,0.1157495256166983,0.0,0.0,0.018975332068311195
pronoun declaration she/her,masculine,0.2732447817836812,0.3036053130929791,0.0,0.2903225806451613
pronoun declaration she/her,feminine,0.12333965844402277,0.0872865275142315,0.0018975332068311196,0.0
pronoun declaration they/them,neutral,0.1062618595825427,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.41935483870967744,0.428842504743833,0.0,0.0
pronoun declaration they/them,feminine,0.5161290322580645,0.43263757115749524,0.015180265654648957,0.0
pronoun usage her,neutral,0.127134724857685,0.0,0.003795066413662239,0.0
pronoun usage her,masculine,0.22960151802656548,0.23529411764705882,0.0,0.036053130929791274
pronoun usage her,feminine,0.127134724857685,0.07210626185958255,0.0,0.0
pronoun usage his,neutral,0.12144212523719165,0.0,0.017077798861480076,0.0
pronoun usage his,masculine,0.1252371916508539,0.10246679316888045,0.0,0.0
pronoun usage his,feminine,0.11195445920303605,0.09108159392789374,0.003795066413662239,0.0
pronoun usage their,neutral,0.1347248576850095,0.0,0.007590132827324478,0.0
pronoun usage their,masculine,0.1366223908918406,0.12903225806451613,0.0,0.0
pronoun usage their,feminine,0.127134724857685,0.06072106261859583,0.0018975332068311196,0.0
unknown gender,neutral,0.11954459203036052,0.0,0.011385199240986717,0.0
unknown gender,masculine,0.14800759013282733,0.127134724857685,0.0,0.0
unknown gender,feminine,0.11954459203036052,0.06261859582542695,0.0,0.0
