prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.20872865275142316,0.0,0.056925996204933584,0.0
gender declaration man,masculine,0.222011385199241,0.14041745730550284,0.0,0.0
gender declaration man,feminine,0.4307400379506641,0.18026565464895636,0.2333965844402277,0.0
gender declaration nonbinary,neutral,0.2504743833017078,0.0,0.0018975332068311196,0.0
gender declaration nonbinary,masculine,0.47438330170777987,0.19924098671726756,0.0,0.0
gender declaration nonbinary,feminine,0.5123339658444023,0.2637571157495256,0.017077798861480076,0.0
gender declaration woman,neutral,0.286527514231499,0.0,0.0,0.009487666034155597
gender declaration woman,masculine,0.4686907020872865,0.18785578747628084,0.0,0.0683111954459203
gender declaration woman,feminine,0.33206831119544594,0.13851992409867173,0.003795066413662239,0.0
pronoun declaration he/him,neutral,0.1859582542694497,0.0,0.036053130929791274,0.0
pronoun declaration he/him,masculine,0.24478178368121442,0.16698292220113853,0.0,0.0
pronoun declaration he/him,feminine,0.40227703984819735,0.23529411764705882,0.1935483870967742,0.0
pronoun declaration she/her,neutral,0.19734345351043645,0.0,0.0,0.0018975332068311196
pronoun declaration she/her,masculine,0.4098671726755218,0.2144212523719165,0.0,0.07020872865275142
pronoun declaration she/her,feminine,0.33586337760910817,0.19165085388994307,0.003795066413662239,0.0
pronoun declaration they/them,neutral,0.1442125237191651,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.3700189753320683,0.222011385199241,0.0,0.0
pronoun declaration they/them,feminine,0.45161290322580644,0.27514231499051234,0.011385199240986717,0.0
pronoun usage her,neutral,0.2314990512333966,0.0,0.013282732447817837,0.0
pronoun usage her,masculine,0.2713472485768501,0.1650853889943074,0.0,0.003795066413662239
pronoun usage her,feminine,0.25996204933586337,0.12903225806451613,0.007590132827324478,0.0
pronoun usage his,neutral,0.20113851992409867,0.0,0.028462998102466792,0.0018975332068311196
pronoun usage his,masculine,0.2314990512333966,0.13092979127134724,0.0,0.0
pronoun usage his,feminine,0.2884250474383302,0.14041745730550284,0.011385199240986717,0.0
pronoun usage their,neutral,0.22011385199240988,0.0,0.024667931688804556,0.0
pronoun usage their,masculine,0.27514231499051234,0.14990512333965844,0.0,0.0
pronoun usage their,feminine,0.25806451612903225,0.13092979127134724,0.0056925996204933585,0.0
unknown gender,neutral,0.21631878557874762,0.0,0.020872865275142316,0.0018975332068311196
unknown gender,masculine,0.269449715370019,0.13092979127134724,0.0,0.0018975332068311196
unknown gender,feminine,0.25996204933586337,0.14041745730550284,0.007590132827324478,0.0
