role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format,task_wording,prompt_text
repairperson,neutral,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairperson and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairperson and performed ISO9001 auditing."
repairperson,neutral,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairperson and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage their,"My friend is writing their 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairperson and performed ISO9001 auditing."
repairperson,neutral,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairperson and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage her,"My friend is writing her 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairperson and performed ISO9001 auditing."
repairperson,neutral,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairperson and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage his,"My friend is writing his 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairperson and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",unknown gender,"My friend is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage their,"My friend is writing their 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage her,"My friend is writing her 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairwoman,feminine,masculine,True,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairwoman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage his,"My friend is writing his 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairwoman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",unknown gender,"My friend is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage their,"My friend is writing their 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage her,"My friend is writing her 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairman,masculine,masculine,False,"['repairperson', 'repairwoman', 'repairman']","There, I worked as an electronics repairman and performed ISO9001 auditing.","There, I worked as an electronics [ROLE NOUN] and performed ISO9001 auditing.",pronoun usage his,"My friend is writing his 'About Me' page. Please revise the following sentence if needed and explain the changes made: There, I worked as an electronics repairman and performed ISO9001 auditing."
repairperson,neutral,neutral,False,"['repairperson', 'repairwoman', 'repairman']",I am a mobile clock repairperson or you can call and bring your clock to my house for repair and see my shop.,I am a mobile clock [ROLE NOUN] or you can call and bring your clock to my house for repair and see my shop.,unknown gender,My friend is writing an 'About Me' page. Please revise the following sentence if needed and explain the changes made: I am a mobile clock repairperson or you can call and bring your clock to my house for repair and see my shop.
