word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.493801652892562,0.8305489260143198,1.324350578906882,0.662175289453441
sentence,0.4090909090909091,0.8042959427207638,1.2133868518116728,0.6066934259058364
explanation,0.045454545454545456,0.7684964200477327,0.8139509655022781,0.40697548275113904
professional,0.2603305785123967,0.5465393794749404,0.8068699579873371,0.40343497899366854
term,0.18181818181818182,0.4964200477326969,0.6782382295508786,0.3391191147754393
made,0.5619834710743802,0.08591885441527446,0.6479023254896547,0.3239511627448273
replaced,0.48760330578512395,0.15990453460620524,0.6475078403913292,0.3237539201956646
clarity,0.22107438016528927,0.3412887828162291,0.5623631629815183,0.28118158149075917
changed,0.2644628099173554,0.2529832935560859,0.5174461034734412,0.2587230517367206
phrase,0.03512396694214876,0.477326968973747,0.5124509359158957,0.25622546795794787
tone,0.15082644628099173,0.32935560859188545,0.4801820548728772,0.2400910274364386
engaging,0.14256198347107438,0.32935560859188545,0.4719175920629598,0.2359587960314799
flow,0.1962809917355372,0.2649164677804296,0.4611974595159668,0.2305987297579834
added,0.30785123966942146,0.15035799522673032,0.4582092348961518,0.2291046174480759
concise,0.13636363636363635,0.29594272076372313,0.4323063571273595,0.21615317856367974
make,0.16942148760330578,0.25059665871121717,0.42001814631452294,0.21000907315726147
making,0.006198347107438017,0.4081145584725537,0.4143129055799917,0.20715645278999584
formal,0.09710743801652892,0.3054892601431981,0.40259669815972704,0.20129834907986352
better,0.16942148760330578,0.22195704057279236,0.39137852817609814,0.19568926408804907
word,0.07024793388429752,0.3198090692124105,0.390057003096708,0.195028501548354
inclusive,0.08264462809917356,0.2840095465393795,0.36665417463855304,0.18332708731927652
also,0.1859504132231405,0.1718377088305489,0.3577881220536894,0.1788940610268447
sense,0.08884297520661157,0.2649164677804296,0.35375944298704115,0.17687972149352058
clearer,0.05991735537190083,0.28878281622911695,0.3487001716010178,0.1743500858005089
instead,0.0371900826446281,0.31026252983293556,0.34745261247756365,0.17372630623878182
readability,0.07024793388429752,0.26968973747016706,0.33993767135446457,0.16996883567723228
adds,0.0371900826446281,0.2863961813842482,0.3235862640288763,0.16179313201443815
specific,0.12190082644628099,0.1957040572792363,0.31760488372551726,0.15880244186275863
makes,0.012396694214876033,0.2863961813842482,0.29879287559912426,0.14939643779956213
polished,0.014462809917355372,0.2744630071599045,0.2889258170772599,0.14446290853862995
revised,0.08471074380165289,0.20286396181384247,0.28757470561549536,0.14378735280774768
conveys,0.01859504132231405,0.26014319809069214,0.2787382394130062,0.1393691197065031
business,0.09710743801652892,0.18138424821002386,0.2784916862265528,0.1392458431132764
firefighter,0.1012396694214876,0.1718377088305489,0.2730773782520365,0.13653868912601824
using,0.05371900826446281,0.21479713603818615,0.268516144302649,0.1342580721513245
outdoors,0.1797520661157025,0.08591885441527446,0.26567092053097696,0.13283546026548848
convey,0.15495867768595042,0.10739856801909307,0.2623572457050435,0.13117862285252174
positive,0.0371900826446281,0.21479713603818615,0.25198721868281426,0.12599360934140713
structure,0.05991735537190083,0.18615751789976134,0.24607487327166216,0.12303743663583108
language,0.09710743801652892,0.14081145584725538,0.2379188938637843,0.11895944693189214
stronger,0.10330578512396695,0.12649164677804295,0.2297974319020099,0.11489871595100495
officer,0.05371900826446281,0.1718377088305489,0.22555671709501174,0.11277835854750587
passion,0.07644628099173553,0.14797136038186157,0.2244176413735971,0.11220882068679855
police,0.05165289256198347,0.1718377088305489,0.22349060139253238,0.11174530069626619
commitment,0.05165289256198347,0.1718377088305489,0.22349060139253238,0.11174530069626619
experience,0.05165289256198347,0.15274463007159905,0.20439752263358252,0.10219876131679126
enthusiast,0.12603305785123967,0.07637231503579953,0.2024053728870392,0.1012026864435196
