word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.4941860465116279,0.8273615635179153,1.3215476100295431,0.6607738050147716
sentence,0.4069767441860465,0.8143322475570033,1.2213089917430497,0.6106544958715249
professional,0.2877906976744186,0.5570032573289903,0.8447939550034089,0.42239697750170446
explanation,0.046511627906976744,0.758957654723127,0.8054692826301038,0.4027346413150519
term,0.21220930232558138,0.5309446254071661,0.7431539277327475,0.37157696386637373
replaced,0.49709302325581395,0.15960912052117263,0.6567021437769865,0.3283510718884933
made,0.563953488372093,0.08794788273615635,0.6519013711082494,0.3259506855541247
clarity,0.2063953488372093,0.3355048859934853,0.5419002348306946,0.2709501174153473
changed,0.26744186046511625,0.25732899022801303,0.5247708506931292,0.2623854253465646
phrase,0.0377906976744186,0.48534201954397393,0.5231327172183925,0.26156635860919625
inclusive,0.11627906976744186,0.38762214983713356,0.5039012196045755,0.25195060980228773
tone,0.15988372093023256,0.3322475570032573,0.4921312779334899,0.24606563896674494
flow,0.18604651162790697,0.28013029315960913,0.4661768047875161,0.23308840239375805
added,0.2761627906976744,0.15309446254071662,0.42925725323839103,0.21462862661919552
concise,0.1308139534883721,0.2931596091205212,0.4239735626088933,0.21198678130444665
making,0.005813953488372093,0.4169381107491857,0.4227520642375578,0.2113760321187789
make,0.15988372093023256,0.254071661237785,0.4139553821680176,0.2069776910840088
formal,0.11337209302325581,0.2964169381107492,0.409789031134005,0.2048945155670025
engaging,0.10174418604651163,0.30618892508143325,0.4079331111279449,0.20396655556397245
instead,0.05232558139534884,0.3289902280130293,0.3813158094083781,0.19065790470418906
firefighter,0.13662790697674418,0.2247557003257329,0.3613836073024771,0.18069180365123855
better,0.14825581395348839,0.21172638436482086,0.35998219831830924,0.17999109915915462
clearer,0.055232558139534885,0.2996742671009772,0.3549068252405121,0.17745341262025605
sense,0.08430232558139535,0.2671009771986971,0.3514033027800924,0.1757016513900462
also,0.1744186046511628,0.1758957654723127,0.3503143701234755,0.17515718506173775
word,0.06395348837209303,0.28013029315960913,0.34408378153170216,0.17204189076585108
readability,0.06686046511627906,0.2768729641693811,0.3437334292856602,0.1718667146428301
adds,0.040697674418604654,0.28013029315960913,0.3208279675782138,0.1604139837891069
specific,0.12790697674418605,0.18241042345276873,0.31031740019695475,0.15515870009847738
makes,0.01744186046511628,0.28664495114006516,0.3040868116051814,0.1520434058025907
revised,0.07848837209302326,0.2182410423452769,0.29672941443830014,0.14836470721915007
officer,0.06395348837209303,0.2280130293159609,0.29196651768805393,0.14598325884402696
police,0.061046511627906974,0.2280130293159609,0.2890595409438679,0.14452977047193394
polished,0.011627906976744186,0.2671009771986971,0.2787288841754413,0.13936444208772064
using,0.055232558139534885,0.22149837133550487,0.27673092947503974,0.13836546473751987
positive,0.040697674418604654,0.2280130293159609,0.26871070373456557,0.13435535186728279
structure,0.05813953488372093,0.20846905537459284,0.2666085902583138,0.1333042951291569
language,0.09011627906976744,0.16938110749185667,0.25949738656162413,0.12974869328081207
conveys,0.023255813953488372,0.23452768729641693,0.2577835012499053,0.12889175062495264
policeman,0.06395348837209303,0.15960912052117263,0.22356260889326565,0.11178130444663283
years,0.055232558139534885,0.16612377850162866,0.22135633664116355,0.11067816832058178
convey,0.12209302325581395,0.09771986970684039,0.21981289296265433,0.10990644648132716
stronger,0.09011627906976744,0.12052117263843648,0.21063745170820392,0.10531872585410196
sound,0.07267441860465117,0.13680781758957655,0.20948223619422773,0.10474111809711387
career,0.08139534883720931,0.1270358306188925,0.20843117945610182,0.10421558972805091
role,0.0436046511627907,0.16286644951140064,0.20647110067419133,0.10323555033709567
use,0.046511627906976744,0.15960912052117263,0.20612074842814937,0.10306037421407468
business,0.06976744186046512,0.13355048859934854,0.20331793045981367,0.10165896522990683
businessman,0.05232558139534884,0.1498371335504886,0.20216271494583746,0.10108135747291873
used,0.05813953488372093,0.14332247557003258,0.2014620104537535,0.10073100522687675
modern,0.014534883720930232,0.18566775244299674,0.20020263616392697,0.10010131808196349
provides,0.020348837209302327,0.1791530944625407,0.19950193167184305,0.09975096583592152
professionalism,0.029069767441860465,0.16938110749185667,0.19845087493371713,0.09922543746685857
experience,0.03488372093023256,0.15960912052117263,0.1944928414514052,0.0972464207257026
commitment,0.05232558139534884,0.14006514657980457,0.1923907279751534,0.0961953639875767
dynamic,0.02616279069767442,0.16286644951140064,0.18902924020907505,0.09451462010453753
passion,0.0755813953488372,0.11074918566775244,0.18633058101658964,0.09316529050829482
personal,0.029069767441860465,0.1563517915309446,0.18542155897280507,0.09271077948640254
adding,0.00872093023255814,0.1758957654723127,0.18461669570487083,0.09230834785243541
clear,0.040697674418604654,0.14332247557003258,0.18402014998863725,0.09201007499431862
original,0.011627906976744186,0.16938110749185667,0.18100901446860085,0.09050450723430042
precise,0.023255813953488372,0.1563517915309446,0.179607605484433,0.0898038027422165
meteorologist,0.08430232558139535,0.09446254071661238,0.17876486629800772,0.08938243314900386
provide,0.11918604651162791,0.05537459283387622,0.17456063934550414,0.08728031967275207
change,0.020348837209302327,0.15309446254071662,0.17344329975001896,0.08672164987500948
active,0.014534883720930232,0.1563517915309446,0.17088667525187484,0.08544333762593742
firewoman,0.07848837209302326,0.09120521172638436,0.16969358381940763,0.08484679190970382
fireman,0.03488372093023256,0.13355048859934854,0.1684342095295811,0.08421710476479055
slightly,0.014534883720930232,0.15309446254071662,0.16762934626164686,0.08381467313082343
impactful,0.02616279069767442,0.14006514657980457,0.16622793727747898,0.08311396863873949
dedicated,0.0377906976744186,0.1270358306188925,0.16482652829331113,0.08241326414665556
emphasizes,0.011627906976744186,0.15309446254071662,0.1647223695174608,0.0823611847587304
statement,0.06686046511627906,0.09771986970684039,0.16458033482311946,0.08229016741155973
outdoors,0.1308139534883721,0.03257328990228013,0.16338724339065225,0.08169362169532612
smoother,0.03197674418604651,0.13029315960912052,0.16226990379516704,0.08113495189758352
become,0.07267441860465117,0.08794788273615635,0.16062230134080752,0.08031115067040376
overall,0.0029069767441860465,0.1563517915309446,0.15925876827513066,0.07962938413756533
improved,0.040697674418604654,0.11400651465798045,0.15470418907658512,0.07735209453829256
comma,0.029069767441860465,0.1237785016286645,0.15284826907052496,0.07642413453526248
compared,0.0029069767441860465,0.1498371335504886,0.15274411029467466,0.07637205514733733
context,0.020348837209302327,0.13029315960912052,0.15064199681842286,0.07532099840921143
page,0.0,0.1498371335504886,0.1498371335504886,0.0749185667752443
weatherwoman,0.07848837209302326,0.06840390879478828,0.14689228088781153,0.07344614044390577
sounds,0.0,0.1465798045602606,0.1465798045602606,0.0732899022801303
clearly,0.011627906976744186,0.13355048859934854,0.14517839557609272,0.07258919778804636
activities,0.09011627906976744,0.048859934853420196,0.13897621392318762,0.06948810696159381
direct,0.01744186046511628,0.11400651465798045,0.13144837512309673,0.06572418756154837
descriptive,0.10174418604651163,0.029315960912052116,0.13106014695856374,0.06553007347928187
entrepreneur,0.055232558139534885,0.0749185667752443,0.1301511249147792,0.0650755624573896
