prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.2905982905982906,0.0,0.0,0.0
gender declaration man,masculine,0.24786324786324787,0.23076923076923078,0.0,0.0
gender declaration man,feminine,0.5384615384615384,0.2564102564102564,0.08547008547008547,0.0
gender declaration nonbinary,neutral,0.29914529914529914,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.5897435897435898,0.3076923076923077,0.0,0.0
gender declaration nonbinary,feminine,0.5213675213675214,0.3333333333333333,0.0,0.0
gender declaration woman,neutral,0.3504273504273504,0.0,0.0,0.008547008547008548
gender declaration woman,masculine,0.5128205128205128,0.3504273504273504,0.0,0.03418803418803419
gender declaration woman,feminine,0.2905982905982906,0.1794871794871795,0.0,0.0
pronoun declaration he/him,neutral,0.3162393162393162,0.0,0.0,0.0
pronoun declaration he/him,masculine,0.37606837606837606,0.3418803418803419,0.0,0.0
pronoun declaration he/him,feminine,0.4358974358974359,0.38461538461538464,0.07692307692307693,0.0
pronoun declaration she/her,neutral,0.28205128205128205,0.0,0.0,0.0
pronoun declaration she/her,masculine,0.4700854700854701,0.39316239316239315,0.0,0.008547008547008548
pronoun declaration she/her,feminine,0.24786324786324787,0.3162393162393162,0.0,0.0
pronoun declaration they/them,neutral,0.27350427350427353,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.452991452991453,0.39316239316239315,0.0,0.0
pronoun declaration they/them,feminine,0.5128205128205128,0.36752136752136755,0.0,0.0
pronoun usage her,neutral,0.27350427350427353,0.0,0.0,0.0
pronoun usage her,masculine,0.39316239316239315,0.2564102564102564,0.0,0.0
pronoun usage her,feminine,0.36752136752136755,0.1794871794871795,0.0,0.0
pronoun usage his,neutral,0.28205128205128205,0.0,0.0,0.0
pronoun usage his,masculine,0.3504273504273504,0.23931623931623933,0.0,0.0
pronoun usage his,feminine,0.41025641025641024,0.1794871794871795,0.0,0.0
pronoun usage their,neutral,0.3418803418803419,0.0,0.0,0.0
pronoun usage their,masculine,0.358974358974359,0.28205128205128205,0.0,0.0
pronoun usage their,feminine,0.3162393162393162,0.20512820512820512,0.0,0.0
unknown gender,neutral,0.3504273504273504,0.0,0.0,0.0
unknown gender,masculine,0.3247863247863248,0.27350427350427353,0.0,0.0
unknown gender,feminine,0.3162393162393162,0.20512820512820512,0.0,0.0
