word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.6069565217391304,0.8211382113821138,1.4280947331212444,0.7140473665606222
sentence,0.44521739130434784,0.7739837398373983,1.219201131141746,0.609600565570873
explanation,0.06782608695652174,0.775609756097561,0.8434358430540827,0.42171792152704135
changed,0.4608695652173913,0.375609756097561,0.8364793213149523,0.41823966065747614
professional,0.27304347826086955,0.5495934959349593,0.8226369741958288,0.4113184870979144
replaced,0.5652173913043478,0.1772357723577236,0.7424531636620714,0.3712265818310357
term,0.19478260869565217,0.5365853658536586,0.7313679745493107,0.36568398727465534
made,0.6191304347826087,0.0959349593495935,0.7150653941322022,0.3575326970661011
clarity,0.2956521739130435,0.39186991869918697,0.6875220926122305,0.34376104630611526
flow,0.24347826086956523,0.26991869918699185,0.5133969600565571,0.25669848002827855
tone,0.17391304347826086,0.3235772357723577,0.49749027925061856,0.24874513962530928
better,0.20869565217391303,0.25691056910569104,0.46560622127960405,0.23280311063980202
added,0.26608695652173914,0.15609756097560976,0.42218451749734887,0.21109225874867443
phrase,0.034782608695652174,0.383739837398374,0.41852244609402617,0.20926122304701308
engaging,0.08869565217391304,0.31382113821138213,0.4025167903852952,0.2012583951926476
make,0.19304347826086957,0.2032520325203252,0.39629551078119474,0.19814775539059737
making,0.006956521739130435,0.375609756097561,0.3825662778366914,0.1912831389183457
concise,0.12869565217391304,0.25365853658536586,0.3823541887592789,0.19117709437963945
word,0.08869565217391304,0.27967479674796747,0.36837044892188053,0.18418522446094027
inclusive,0.11130434782608696,0.23089430894308943,0.3421986567691764,0.1710993283845882
formal,0.08695652173913043,0.24390243902439024,0.33085896076352067,0.16542948038176034
readability,0.07304347826086957,0.24878048780487805,0.3218239660657476,0.1609119830328738
sense,0.10434782608695652,0.216260162601626,0.32060798868858253,0.16030399434429127
gender,0.10782608695652174,0.20650406504065041,0.3143301519971722,0.1571650759985861
convey,0.1791304347826087,0.13008130081300814,0.3092117355956169,0.15460586779780844
specific,0.12869565217391304,0.18048780487804877,0.3091834570519618,0.1545917285259809
clearer,0.04,0.26504065040650404,0.305040650406504,0.152520325203252
language,0.12869565217391304,0.16585365853658537,0.2945493107104984,0.1472746553552492
business,0.12173913043478261,0.16910569105691056,0.29084482149169316,0.14542241074584658
man,0.06956521739130435,0.216260162601626,0.28582537999293034,0.14291268999646517
revised,0.10260869565217391,0.1821138211382114,0.2847225167903853,0.14236125839519265
instead,0.04,0.23739837398373984,0.27739837398373984,0.13869918699186992
structure,0.09043478260869565,0.18536585365853658,0.2758006362672322,0.1379003181336161
conveys,0.019130434782608695,0.2552845528455285,0.27441498762813715,0.13720749381406858
also,0.11652173913043479,0.14959349593495935,0.26611523506539414,0.13305761753269707
makes,0.0017391304347826088,0.24878048780487805,0.2505196182396607,0.12525980911983034
firefighter,0.09739130434782609,0.15121951219512195,0.24861081654294803,0.12430540827147402
adds,0.01391304347826087,0.23252032520325203,0.2464333686815129,0.12321668434075644
polished,0.022608695652173914,0.22276422764227644,0.24537292329445035,0.12268646164722517
officer,0.08,0.15934959349593497,0.239349593495935,0.1196747967479675
police,0.0782608695652174,0.15772357723577235,0.23598444680098973,0.11799222340049487
stronger,0.12347826086956522,0.11219512195121951,0.23567338282078473,0.11783669141039237
passion,0.06782608695652174,0.16585365853658537,0.2336797454931071,0.11683987274655355
outdoorsman,0.10086956521739131,0.13170731707317074,0.23257688229056206,0.11628844114528103
used,0.06260869565217392,0.16260162601626016,0.22521032166843408,0.11260516083421704
businesswoman,0.09043478260869565,0.12682926829268293,0.21726405090137857,0.10863202545068928
career,0.08347826086956522,0.13170731707317074,0.21518557794273596,0.10759278897136798
improved,0.06434782608695652,0.14796747967479676,0.21231530576175328,0.10615765288087664
using,0.034782608695652174,0.1772357723577236,0.21201838105337575,0.10600919052668788
experience,0.07478260869565218,0.13658536585365855,0.21136797454931072,0.10568398727465536
outdoorswoman,0.10608695652173913,0.1040650406504065,0.21015199717214564,0.10507599858607282
use,0.08521739130434783,0.12195121951219512,0.20716861081654295,0.10358430540827147
original,0.022608695652173914,0.18048780487804877,0.20309650053022268,0.10154825026511134
personal,0.04869565217391304,0.14796747967479676,0.19666313184870982,0.09833156592435491
activities,0.0817391304347826,0.11382113821138211,0.19556026864616471,0.09778013432308236
commitment,0.043478260869565216,0.15121951219512195,0.19469777306468716,0.09734888653234358
sound,0.07478260869565218,0.11056910569105691,0.18535171438670908,0.09267585719335454
clear,0.02434782608695652,0.15772357723577235,0.18207140332272886,0.09103570166136443
active,0.04521739130434783,0.13333333333333333,0.17855072463768115,0.08927536231884058
smoother,0.034782608695652174,0.14308943089430895,0.17787203958996112,0.08893601979498056
emphasizes,0.01391304347826087,0.16260162601626016,0.17651466949452102,0.08825733474726051
adding,0.01391304347826087,0.16260162601626016,0.17651466949452102,0.08825733474726051
outdoors,0.09913043478260869,0.07642276422764227,0.17555319901025096,0.08777659950512548
provide,0.12521739130434784,0.04878048780487805,0.17399787910922587,0.08699893955461294
impactful,0.04869565217391304,0.12520325203252033,0.1738989042064334,0.0869494521032167
statement,0.08869565217391304,0.08455284552845528,0.17324849770236833,0.08662424885118417
context,0.04173913043478261,0.12845528455284552,0.17019441498762813,0.08509720749381407
since,0.017391304347826087,0.15121951219512195,0.16861081654294804,0.08430540827147402
policewoman,0.06434782608695652,0.1040650406504065,0.16841286673736303,0.08420643336868151
direct,0.03826086956521739,0.13008130081300814,0.16834217037822552,0.08417108518911276
role,0.05217391304347826,0.11544715447154472,0.16762106751502298,0.08381053375751149
enthusiasm,0.03826086956521739,0.12845528455284552,0.1667161541180629,0.08335807705903145
outdoor,0.06086956521739131,0.10569105691056911,0.1665606221279604,0.0832803110639802
outdoorsperson,0.07130434782608695,0.0943089430894309,0.16561329091551785,0.08280664545775893
professionalism,0.03304347826086956,0.13170731707317074,0.1647507953340403,0.08237539766702015
page,0.006956521739130435,0.15609756097560976,0.1630540827147402,0.0815270413573701
years,0.04173913043478261,0.11869918699186992,0.16043831742665254,0.08021915871332627
description,0.09739130434782609,0.061788617886178863,0.15917992223400496,0.07958996111700248
slightly,0.010434782608695653,0.14634146341463414,0.1567762460233298,0.0783881230116649
emphasize,0.12,0.03414634146341464,0.15414634146341463,0.07707317073170732
maintains,0.01391304347826087,0.13658536585365855,0.1504984093319194,0.0752492046659597
businessman,0.05391304347826087,0.0943089430894309,0.14822198656769175,0.07411099328384588
change,0.020869565217391306,0.12682926829268293,0.14769883351007423,0.07384941675503712
passionate,0.06956521739130435,0.07804878048780488,0.14761399787910923,0.07380699893955461
firewoman,0.06956521739130435,0.07804878048780488,0.14761399787910923,0.07380699893955461
provides,0.01391304347826087,0.13333333333333333,0.1472463768115942,0.0736231884057971
dynamic,0.022608695652173914,0.12032520325203253,0.14293389890420644,0.07146694945210322
avid,0.06260869565217392,0.07804878048780488,0.1406574761399788,0.0703287380699894
reflect,0.08521739130434783,0.055284552845528454,0.14050194414987627,0.07025097207493813
overall,0.0,0.13983739837398373,0.13983739837398373,0.06991869918699187
weatherwoman,0.06260869565217392,0.07642276422764227,0.1390314598798162,0.0695157299399081
consistency,0.0034782608695652175,0.13495934959349593,0.13843761046306113,0.06921880523153057
sounds,0.0034782608695652175,0.13170731707317074,0.13518557794273595,0.06759278897136797
positive,0.02608695652173913,0.10894308943089431,0.13503004595263343,0.06751502297631672
descriptive,0.09043478260869565,0.04227642276422764,0.1327112053729233,0.06635560268646165
expertise,0.05565217391304348,0.07642276422764227,0.13207493814068574,0.06603746907034287
choice,0.02434782608695652,0.1073170731707317,0.13166489925768823,0.06583244962884412
removed,0.036521739130434785,0.09268292682926829,0.1292046659597031,0.06460233297985155
comma,0.02434782608695652,0.1040650406504065,0.12841286673736302,0.06420643336868151
clearly,0.008695652173913044,0.11869918699186992,0.12739483916578295,0.06369741958289148
businessperson,0.05217391304347826,0.07317073170731707,0.12534464475079532,0.06267232237539766
precise,0.022608695652173914,0.1008130081300813,0.12342170378225521,0.061710851891127606
improve,0.04,0.08292682926829269,0.12292682926829268,0.06146341463414634
list,0.043478260869565216,0.07804878048780488,0.1215270413573701,0.06076352067868505
life,0.04173913043478261,0.07967479674796749,0.1214139271827501,0.06070696359137505
meteorologist,0.057391304347826085,0.06341463414634146,0.12080593849416754,0.06040296924708377
nature,0.05391304347826087,0.06666666666666667,0.12057971014492753,0.06028985507246377
commonly,0.020869565217391306,0.0991869918699187,0.12005655708731,0.060028278543655
bit,0.017391304347826087,0.1024390243902439,0.11983032873806998,0.05991516436903499
profession,0.05391304347826087,0.06504065040650407,0.11895369388476494,0.05947684694238247
meaning,0.01217391304347826,0.10569105691056911,0.11786496995404737,0.058932484977023684
dedication,0.036521739130434785,0.08130081300813008,0.11782255213856486,0.05891127606928243
time,0.034782608695652174,0.08292682926829269,0.11770943796394487,0.058854718981972434
field,0.050434782608695654,0.06666666666666667,0.11710144927536231,0.058550724637681156
without,0.006956521739130435,0.10894308943089431,0.11589961117002474,0.05794980558501237
enthusiast,0.04869565217391304,0.06666666666666667,0.11536231884057971,0.057681159420289854
dedicated,0.034782608695652174,0.07804878048780488,0.11283138918345706,0.05641569459172853
modern,0.010434782608695653,0.1008130081300813,0.11124779073877696,0.05562389536938848
individual,0.10608695652173913,0.004878048780487805,0.11096500530222694,0.05548250265111347
additionally,0.08521739130434783,0.024390243902439025,0.10960763520678685,0.05480381760339342
natural,0.022608695652173914,0.08617886178861789,0.1087875574407918,0.0543937787203959
phrasing,0.020869565217391306,0.08617886178861789,0.1070484270060092,0.0535242135030046
interests,0.04521739130434783,0.06016260162601626,0.1053799929303641,0.05268999646518205
weather,0.034782608695652174,0.06991869918699187,0.10470130788264403,0.05235065394132202
help,0.01217391304347826,0.0910569105691057,0.10323082361258396,0.05161541180629198
conciseness,0.036521739130434785,0.06666666666666667,0.10318840579710145,0.051594202898550726
compared,0.0052173913043478265,0.0975609756097561,0.10277836691410393,0.051389183457051964
maintaining,0.0034782608695652175,0.0991869918699187,0.10266525273948392,0.05133262636974196
entrepreneur,0.05565217391304348,0.04552845528455285,0.10118062919759632,0.05059031459879816
rather,0.01217391304347826,0.08780487804878048,0.09997879109225874,0.04998939554612937
mentioned,0.029565217391304348,0.06991869918699187,0.09948391657829622,0.04974195828914811
accurately,0.04,0.05853658536585366,0.09853658536585366,0.04926829268292683
correct,0.01217391304347826,0.08617886178861789,0.09835277483209615,0.04917638741604807
become,0.050434782608695654,0.04715447154471545,0.0975892541534111,0.04879462707670555
emphasis,0.036521739130434785,0.06016260162601626,0.09668434075645105,0.048342170378225524
verb,0.010434782608695653,0.08617886178861789,0.09661364439731354,0.04830682219865677
