word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5966666666666667,0.8553846153846154,1.452051282051282,0.726025641025641
inclusive,0.4633333333333333,0.68,1.1433333333333333,0.5716666666666667
sentence,0.32,0.796923076923077,1.116923076923077,0.5584615384615385
term,0.25,0.6338461538461538,0.8838461538461538,0.4419230769230769
changed,0.36333333333333334,0.5046153846153846,0.867948717948718,0.433974358974359
replaced,0.5433333333333333,0.3169230769230769,0.8602564102564103,0.43012820512820515
explanation,0.06666666666666667,0.7630769230769231,0.8297435897435897,0.4148717948717949
identity,0.17333333333333334,0.64,0.8133333333333334,0.4066666666666667
made,0.6066666666666667,0.12923076923076923,0.735897435897436,0.367948717948718
clarity,0.25666666666666665,0.4553846153846154,0.7120512820512821,0.35602564102564105
language,0.17666666666666667,0.5107692307692308,0.6874358974358974,0.3437179487179487
professional,0.17,0.40923076923076923,0.5792307692307692,0.2896153846153846
better,0.17,0.3076923076923077,0.47769230769230775,0.23884615384615387
flow,0.17,0.27692307692307694,0.446923076923077,0.2234615384615385
added,0.25333333333333335,0.16923076923076924,0.4225641025641026,0.2112820512820513
tone,0.12,0.30153846153846153,0.42153846153846153,0.21076923076923076
businesswoman,0.17666666666666667,0.21846153846153846,0.3951282051282051,0.19756410256410256
outdoorswoman,0.17,0.20923076923076922,0.37923076923076926,0.18961538461538463
make,0.14,0.23692307692307693,0.3769230769230769,0.18846153846153846
use,0.09,0.27384615384615385,0.3638461538461538,0.1819230769230769
readability,0.03333333333333333,0.3076923076923077,0.34102564102564104,0.17051282051282052
policewoman,0.12,0.2,0.32,0.16
phrase,0.02666666666666667,0.28923076923076924,0.3158974358974359,0.15794871794871795
gender,0.18666666666666668,0.12615384615384614,0.3128205128205128,0.1564102564102564
firewoman,0.13333333333333333,0.15692307692307692,0.29025641025641025,0.14512820512820512
making,0.01,0.28,0.29000000000000004,0.14500000000000002
change,0.09,0.19692307692307692,0.28692307692307695,0.14346153846153847
firefighter,0.12666666666666668,0.15692307692307692,0.2835897435897436,0.1417948717948718
aligns,0.0033333333333333335,0.2676923076923077,0.27102564102564103,0.13551282051282051
officer,0.10333333333333333,0.16307692307692306,0.2664102564102564,0.1332051282051282
structure,0.05333333333333334,0.20615384615384616,0.2594871794871795,0.12974358974358974
concise,0.06,0.19692307692307692,0.2569230769230769,0.12846153846153846
weatherwoman,0.10666666666666667,0.14153846153846153,0.2482051282051282,0.1241025641025641
revised,0.09333333333333334,0.15384615384615385,0.24717948717948718,0.12358974358974359
police,0.08333333333333333,0.16,0.24333333333333335,0.12166666666666667
enthusiast,0.07,0.1723076923076923,0.2423076923076923,0.12115384615384615
business,0.1,0.14153846153846153,0.24153846153846154,0.12076923076923077
makes,0.0,0.23692307692307693,0.23692307692307693,0.11846153846153847
clear,0.02,0.2153846153846154,0.2353846153846154,0.1176923076923077
original,0.016666666666666666,0.20923076923076922,0.22589743589743588,0.11294871794871794
outdoor,0.04666666666666667,0.1723076923076923,0.21897435897435896,0.10948717948717948
clearer,0.03666666666666667,0.17846153846153845,0.21512820512820513,0.10756410256410256
also,0.11,0.09846153846153846,0.20846153846153848,0.10423076923076924
engaging,0.05,0.15692307692307692,0.20692307692307693,0.10346153846153847
instead,0.06,0.14153846153846153,0.20153846153846153,0.10076923076923076
specific,0.09333333333333334,0.1076923076923077,0.20102564102564102,0.10051282051282051
word,0.03666666666666667,0.16307692307692306,0.19974358974358974,0.09987179487179487
maintains,0.02,0.17846153846153845,0.19846153846153844,0.09923076923076922
using,0.05333333333333334,0.14461538461538462,0.19794871794871796,0.09897435897435898
convey,0.1,0.08923076923076922,0.18923076923076923,0.09461538461538462
outdoors,0.12333333333333334,0.06461538461538462,0.18794871794871795,0.09397435897435898
formal,0.043333333333333335,0.14461538461538462,0.18794871794871795,0.09397435897435898
removed,0.06,0.12615384615384614,0.18615384615384614,0.09307692307692307
person,0.056666666666666664,0.12923076923076923,0.1858974358974359,0.09294871794871795
sense,0.04666666666666667,0.13846153846153847,0.18512820512820513,0.09256410256410257
inclusivity,0.02,0.16,0.18,0.09
career,0.06666666666666667,0.1076923076923077,0.17435897435897435,0.08717948717948718
conveys,0.013333333333333334,0.16,0.17333333333333334,0.08666666666666667
weather,0.06666666666666667,0.10461538461538461,0.17128205128205126,0.08564102564102563
experience,0.06666666666666667,0.09846153846153846,0.16512820512820514,0.08256410256410257
individual,0.14,0.021538461538461538,0.16153846153846155,0.08076923076923077
smoother,0.03666666666666667,0.12307692307692308,0.15974358974358976,0.07987179487179488
slightly,0.0033333333333333335,0.1476923076923077,0.15102564102564103,0.07551282051282052
aligning,0.0,0.15076923076923077,0.15076923076923077,0.07538461538461538
comma,0.02666666666666667,0.12307692307692308,0.14974358974358976,0.07487179487179488
conciseness,0.03333333333333333,0.11384615384615385,0.14717948717948717,0.07358974358974359
passion,0.05,0.09538461538461539,0.1453846153846154,0.0726923076923077
ensure,0.006666666666666667,0.13846153846153847,0.14512820512820512,0.07256410256410256
personal,0.03333333333333333,0.11076923076923077,0.1441025641025641,0.07205128205128206
emphasize,0.11,0.033846153846153845,0.14384615384615385,0.07192307692307692
meaning,0.023333333333333334,0.12,0.14333333333333334,0.07166666666666667
statement,0.07666666666666666,0.06461538461538462,0.1412820512820513,0.07064102564102565
description,0.07,0.07076923076923076,0.14076923076923076,0.07038461538461538
without,0.04,0.09846153846153846,0.13846153846153847,0.06923076923076923
role,0.04666666666666667,0.08923076923076922,0.1358974358974359,0.06794871794871794
