word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.45,0.6938775510204082,1.1438775510204082,0.5719387755102041
sentence,0.37142857142857144,0.7653061224489796,1.136734693877551,0.5683673469387756
explanation,0.12142857142857143,0.6836734693877551,0.8051020408163265,0.40255102040816326
outdoorsperson,0.32857142857142857,0.37755102040816324,0.7061224489795919,0.35306122448979593
term,0.22142857142857142,0.40816326530612246,0.6295918367346939,0.31479591836734694
replaced,0.4642857142857143,0.15306122448979592,0.6173469387755102,0.3086734693877551
changed,0.32142857142857145,0.25510204081632654,0.576530612244898,0.288265306122449
professional,0.21428571428571427,0.35714285714285715,0.5714285714285714,0.2857142857142857
made,0.4642857142857143,0.09183673469387756,0.5561224489795918,0.2780612244897959
clarity,0.2357142857142857,0.30612244897959184,0.5418367346938775,0.27091836734693875
engaging,0.12142857142857143,0.41836734693877553,0.539795918367347,0.2698979591836735
enthusiast,0.22857142857142856,0.2755102040816326,0.5040816326530612,0.2520408163265306
make,0.22142857142857142,0.2755102040816326,0.49693877551020404,0.24846938775510202
concise,0.1357142857142857,0.3469387755102041,0.4826530612244898,0.2413265306122449
outdoors,0.25,0.20408163265306123,0.45408163265306123,0.22704081632653061
businessperson,0.22142857142857142,0.22448979591836735,0.4459183673469388,0.2229591836734694
tone,0.15714285714285714,0.2857142857142857,0.44285714285714284,0.22142857142857142
flow,0.20714285714285716,0.22448979591836735,0.4316326530612245,0.21581632653061225
better,0.16428571428571428,0.24489795918367346,0.4091836734693878,0.2045918367346939
phrase,0.07142857142857142,0.32653061224489793,0.3979591836734694,0.1989795918367347
inclusive,0.19285714285714287,0.17346938775510204,0.3663265306122449,0.18316326530612245
added,0.2714285714285714,0.09183673469387756,0.36326530612244895,0.18163265306122447
business,0.15714285714285714,0.20408163265306123,0.36122448979591837,0.18061224489795918
clearer,0.07857142857142857,0.2755102040816326,0.3540816326530612,0.1770408163265306
conveys,0.014285714285714285,0.336734693877551,0.3510204081632653,0.17551020408163265
sense,0.08571428571428572,0.25510204081632654,0.3408163265306122,0.1704081632653061
revised,0.1,0.23469387755102042,0.3346938775510204,0.1673469387755102
making,0.007142857142857143,0.3163265306122449,0.32346938775510203,0.16173469387755102
word,0.07142857142857142,0.24489795918367346,0.3163265306122449,0.15816326530612246
outdoor,0.1357142857142857,0.17346938775510204,0.30918367346938774,0.15459183673469387
