word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.6097946287519748,0.8284789644012945,1.4382735931532693,0.7191367965766347
sentence,0.4296998420221169,0.7977346278317152,1.2274344698538322,0.6137172349269161
explanation,0.052132701421800945,0.7831715210355987,0.8353042224573997,0.41765211122869983
term,0.2037914691943128,0.5679611650485437,0.7717526342428565,0.3858763171214282
professional,0.2480252764612954,0.5194174757281553,0.7674427521894507,0.38372137609472534
changed,0.4391785150078989,0.32524271844660196,0.7644212334545009,0.38221061672725043
replaced,0.5718799368088467,0.18284789644012944,0.7547278332489762,0.3773639166244881
made,0.6161137440758294,0.10517799352750809,0.7212917376033375,0.36064586880166877
clarity,0.2938388625592417,0.3705501618122977,0.6643890243715393,0.3321945121857697
flow,0.23222748815165878,0.2686084142394822,0.500835902391141,0.2504179511955705
better,0.2211690363349131,0.2686084142394822,0.48977745057439526,0.24488872528719763
tone,0.1990521327014218,0.2783171521035599,0.4773692848049817,0.23868464240249085
inclusive,0.1358609794628752,0.3300970873786408,0.46595806684151597,0.23297903342075799
phrase,0.04107424960505529,0.3948220064724919,0.4358962560775472,0.2179481280387736
added,0.28751974723538704,0.14401294498381878,0.4315326922192058,0.2157663461096029
make,0.1911532385466035,0.22168284789644013,0.4128360864430436,0.2064180432215218
engaging,0.0995260663507109,0.3122977346278317,0.41182380097854265,0.20591190048927133
concise,0.13428120063191154,0.2540453074433657,0.38832650807527724,0.19416325403763862
making,0.01579778830963665,0.37216828478964403,0.38796607309928066,0.19398303654964033
word,0.052132701421800945,0.2928802588996764,0.3450129603214773,0.17250648016073866
gender,0.1674565560821485,0.16666666666666666,0.3341232227488151,0.16706161137440756
sense,0.10426540284360189,0.21197411003236247,0.31623951287596436,0.15811975643798218
specific,0.12480252764612954,0.1779935275080906,0.30279605515422015,0.15139802757711007
instead,0.044233807266982623,0.255663430420712,0.2998972376876946,0.1499486188438473
also,0.1263823064770932,0.17313915857605178,0.299521465053145,0.1497607325265725
makes,0.007898894154818325,0.28640776699029125,0.29430666114510956,0.14715333057255478
readability,0.052132701421800945,0.23948220064724918,0.2916149020690501,0.14580745103452505
formal,0.08372827804107424,0.20711974110032363,0.2908480191413979,0.14542400957069895
clearer,0.045813586097946286,0.24271844660194175,0.28853203269988803,0.14426601634994402
revised,0.08372827804107424,0.1941747572815534,0.2779030353226276,0.1389515176613138
language,0.09004739336492891,0.18608414239482202,0.2761315357597509,0.13806576787987546
convey,0.1721958925750395,0.09223300970873786,0.26442890228377736,0.13221445114188868
using,0.037914691943127965,0.22168284789644013,0.2595975398395681,0.12979876991978406
firefighter,0.10426540284360189,0.15372168284789645,0.2579870856914983,0.12899354284574915
conveys,0.009478672985781991,0.24757281553398058,0.25705148851976256,0.12852574425988128
adds,0.02527646129541864,0.22815533980582525,0.2534318011012439,0.12671590055062196
enthusiast,0.12164296998420221,0.12944983818770225,0.2510928081719045,0.12554640408595225
businesswoman,0.11690363349131122,0.13268608414239483,0.24958971763370605,0.12479485881685302
structure,0.07109004739336493,0.17475728155339806,0.24584732894676298,0.12292366447338149
personal,0.061611374407582936,0.17313915857605178,0.2347505329836347,0.11737526649181736
polished,0.017377567140600316,0.2168284789644013,0.23420604610500162,0.11710302305250081
passion,0.06951026856240126,0.1634304207119741,0.2329406892743754,0.1164703446371877
police,0.05687203791469194,0.17475728155339806,0.23162931946809,0.115814659734045
officer,0.05845181674565561,0.17313915857605178,0.2315909753217074,0.1157954876608537
businessman,0.09004739336492891,0.13106796116504854,0.22111535452997744,0.11055767726498872
use,0.08846761453396525,0.13106796116504854,0.21953557569901377,0.10976778784950689
positive,0.05055292259083728,0.16019417475728157,0.21074709734811886,0.10537354867405943
change,0.023696682464454975,0.18284789644012944,0.2065445789045844,0.1032722894522922
outdoor,0.07424960505529225,0.13106796116504854,0.2053175662203408,0.1026587831101704
stronger,0.09636650868878358,0.10841423948220065,0.20478074817098424,0.10239037408549212
outdoors,0.13270142180094788,0.07119741100323625,0.20389883280418414,0.10194941640209207
woman,0.045813586097946286,0.156957928802589,0.20277151490053527,0.10138575745026764
outdoorsman,0.09320695102685624,0.10841423948220065,0.20162119050905689,0.10081059525452844
role,0.05845181674565561,0.13754045307443366,0.19599226982008927,0.09799613491004464
smoother,0.030015797788309637,0.1650485436893204,0.19506434147763002,0.09753217073881501
reflect,0.09794628751974724,0.0970873786407767,0.19503366616052392,0.09751683308026196
clear,0.026856240126382307,0.16666666666666666,0.19352290679304895,0.09676145339652448
adding,0.01263823064770932,0.1796116504854369,0.19224988113314623,0.09612494056657311
original,0.01579778830963665,0.17313915857605178,0.18893694688568843,0.09446847344284422
used,0.036334913112164295,0.15210355987055016,0.18843847298271446,0.09421923649135723
career,0.0679304897314376,0.11812297734627832,0.18605346707771592,0.09302673353885796
activities,0.07109004739336493,0.11488673139158576,0.18597677878495067,0.09298838939247533
experience,0.0631911532385466,0.12135922330097088,0.18455037653951747,0.09227518826975874
provide,0.13744075829383887,0.0372168284789644,0.17465758677280327,0.08732879338640163
policeman,0.061611374407582936,0.11003236245954692,0.17164373686712986,0.08582186843356493
business,0.061611374407582936,0.10841423948220065,0.1700256138897836,0.0850128069448918
descriptive,0.13270142180094788,0.0372168284789644,0.16991825027991228,0.08495912513995614
emphasize,0.12164296998420221,0.045307443365695796,0.16695041334989802,0.08347520667494901
accurately,0.06477093206951026,0.10194174757281553,0.16671267964232578,0.08335633982116289
page,0.00315955766192733,0.16019417475728157,0.1633537324192089,0.08167686620960445
emphasizes,0.009478672985781991,0.15210355987055016,0.16158223285633216,0.08079111642816608
slightly,0.01263823064770932,0.14724919093851133,0.15988742158622066,0.07994371079311033
enthusiasm,0.04739336492890995,0.11003236245954692,0.15742572738845687,0.07871286369422843
impactful,0.05055292259083728,0.10517799352750809,0.15573091611834539,0.07786545805917269
years,0.04107424960505529,0.11326860841423948,0.15434285801929476,0.07717142900964738
sound,0.04107424960505529,0.11326860841423948,0.15434285801929476,0.07717142900964738
passionate,0.06635071090047394,0.08737864077669903,0.15372935167717297,0.07686467583858649
outdoorsperson,0.0679304897314376,0.08576051779935275,0.15369100753079035,0.07684550376539517
statement,0.07582938388625593,0.07766990291262135,0.15349928679887728,0.07674964339943864
outdoorswoman,0.08056872037914692,0.07281553398058252,0.15338425435972944,0.07669212717986472
context,0.023696682464454975,0.12944983818770225,0.15314652065215723,0.07657326032607861
improved,0.023696682464454975,0.12944983818770225,0.15314652065215723,0.07657326032607861
professionalism,0.022116903633491312,0.12944983818770225,0.15156674182119356,0.07578337091059678
dedication,0.04897314375987362,0.10194174757281553,0.15091489133268915,0.07545744566634457
clearly,0.004739336492890996,0.14563106796116504,0.15037040445405603,0.07518520222702801
provides,0.004739336492890996,0.14401294498381878,0.14875228147670977,0.07437614073835488
direct,0.020537124802527645,0.127831715210356,0.14836884001288364,0.07418442000644182
active,0.030015797788309637,0.11812297734627832,0.14813877513458795,0.07406938756729398
description,0.09794628751974724,0.05016181229773463,0.14810809981748185,0.07405404990874093
dynamic,0.0315955766192733,0.11488673139158576,0.14648230801085904,0.07324115400542952
sounds,0.004739336492890996,0.1343042071197411,0.13904354361263208,0.06952177180631604
commitment,0.036334913112164295,0.10032362459546926,0.13665853770763356,0.06832926885381678
businessperson,0.061611374407582936,0.07281553398058252,0.13442690838816546,0.06721345419408273
weatherman,0.05687203791469194,0.07605177993527508,0.132923817849967,0.0664619089249835
comma,0.026856240126382307,0.10355987055016182,0.13041611067654413,0.06520805533827206
meteorologist,0.05055292259083728,0.07766990291262135,0.12822282550345865,0.06411141275172932
choice,0.017377567140600316,0.11003236245954692,0.12740992960014724,0.06370496480007362
fireman,0.04897314375987362,0.07766990291262135,0.12664304667249499,0.06332152333624749
life,0.03949447077409163,0.08576051779935275,0.12525498857344436,0.06262749428672218
identity,0.01263823064770932,0.11165048543689321,0.12428871608460253,0.06214435804230126
phrasing,0.026856240126382307,0.0970873786407767,0.12394361876715901,0.061971809383579504
