word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5923566878980892,0.87248322147651,1.4648399093745992,0.7324199546872996
sentence,0.43312101910828027,0.8657718120805369,1.2988928311888173,0.6494464155944086
professional,0.3503184713375796,0.7181208053691275,1.068439276706707,0.5342196383533535
term,0.27388535031847133,0.6040268456375839,0.8779121959560552,0.4389560979780276
explanation,0.05732484076433121,0.7785234899328859,0.8358483306972171,0.41792416534860855
replaced,0.6050955414012739,0.12080536912751678,0.7259009105287907,0.36295045526439534
clarity,0.3248407643312102,0.38926174496644295,0.7141025092976532,0.3570512546488266
made,0.6050955414012739,0.10067114093959731,0.7057666823408711,0.35288334117043557
changed,0.43312101910828027,0.2550335570469799,0.6881545761552601,0.34407728807763005
tone,0.20382165605095542,0.3691275167785235,0.5729491728294789,0.28647458641473944
flow,0.2484076433121019,0.3087248322147651,0.557132475526867,0.2785662377634335
firefighter,0.22929936305732485,0.30201342281879195,0.5313127858761169,0.2656563929380584
inclusive,0.16560509554140126,0.35570469798657717,0.5213097935279785,0.26065489676398923
firewoman,0.21019108280254778,0.28187919463087246,0.49207027743342024,0.24603513871671012
better,0.21656050955414013,0.26174496644295303,0.47830547599709317,0.23915273799854658
concise,0.1910828025477707,0.28187919463087246,0.4729619971786432,0.2364809985893216
make,0.21019108280254778,0.2080536912751678,0.41824477407771554,0.20912238703885777
phrase,0.03184713375796178,0.3825503355704698,0.4143974693284316,0.2071987346642158
instead,0.044585987261146494,0.3422818791946309,0.38686786645577736,0.19343393322788868
engaging,0.050955414012738856,0.3221476510067114,0.37310306501945023,0.18655153250972512
making,0.006369426751592357,0.35570469798657717,0.3620741247381695,0.18103706236908476
makes,0.006369426751592357,0.3422818791946309,0.34865130594622323,0.17432565297311162
formal,0.10191082802547771,0.2348993288590604,0.3368101568845381,0.16840507844226904
using,0.025477707006369428,0.3087248322147651,0.3342025392211345,0.16710126961056726
sense,0.09554140127388536,0.2348993288590604,0.3304407301329457,0.16522036506647286
added,0.24203821656050956,0.087248322147651,0.32928653870816055,0.16464326935408027
also,0.1337579617834395,0.18791946308724833,0.32167742487068784,0.16083871243534392
revised,0.08280254777070063,0.2348993288590604,0.317701876629761,0.1588509383148805
policewoman,0.044585987261146494,0.2684563758389262,0.31304236310007266,0.15652118155003633
specific,0.1337579617834395,0.174496644295302,0.3082546060787415,0.15412730303937075
adds,0.03184713375796178,0.2751677852348993,0.3070149189928611,0.15350745949643055
weatherwoman,0.17197452229299362,0.1342281879194631,0.3062027102124567,0.15310135510622835
clearer,0.03821656050955414,0.26174496644295303,0.29996152695250716,0.14998076347625358
police,0.012738853503184714,0.28187919463087246,0.2946180481340572,0.1473090240670286
word,0.044585987261146494,0.2483221476510067,0.29290813491215323,0.14645406745607661
structure,0.08280254777070063,0.2080536912751678,0.29085623904586844,0.14542811952293422
language,0.08917197452229299,0.20134228187919462,0.2905142564014876,0.1452571282007438
officer,0.012738853503184714,0.2751677852348993,0.28790663873808403,0.14395331936904202
readability,0.044585987261146494,0.24161073825503357,0.2861967255161801,0.14309836275809004
change,0.006369426751592357,0.26174496644295303,0.2681143931945454,0.1340571965972727
outdoorswoman,0.18471337579617833,0.08053691275167785,0.26525028854785615,0.13262514427392808
role,0.044585987261146494,0.2080536912751678,0.2526396785363143,0.12631983926815715
professionalism,0.03184713375796178,0.21476510067114093,0.2466122344291027,0.12330611721455136
smoother,0.06369426751592357,0.18120805369127516,0.24490232120719874,0.12245116060359937
experience,0.06369426751592357,0.18120805369127516,0.24490232120719874,0.12245116060359937
polished,0.01910828025477707,0.2214765100671141,0.24058479032189117,0.12029239516094559
gender,0.09554140127388536,0.14093959731543623,0.2364809985893216,0.1182404992946608
convey,0.14012738853503184,0.09395973154362416,0.234087120078656,0.117043560039328
career,0.07006369426751592,0.1610738255033557,0.2311375197708716,0.1155687598854358
clear,0.03821656050955414,0.18791946308724833,0.22613602359680246,0.11306801179840123
use,0.12101910828025478,0.10067114093959731,0.2216902492198521,0.11084512460992604
used,0.01910828025477707,0.19463087248322147,0.21373915273799854,0.10686957636899927
original,0.006369426751592357,0.20134228187919462,0.20771170863078697,0.10385585431539349
emphasizes,0.006369426751592357,0.20134228187919462,0.20771170863078697,0.10385585431539349
adding,0.006369426751592357,0.20134228187919462,0.20771170863078697,0.10385585431539349
direct,0.012738853503184714,0.19463087248322147,0.20736972598640618,0.10368486299320309
provides,0.012738853503184714,0.18791946308724833,0.20065831659043304,0.10032915829521652
personal,0.025477707006369428,0.174496644295302,0.19997435130167143,0.09998717565083572
impactful,0.03184713375796178,0.16778523489932887,0.19963236865729064,0.09981618432864532
commonly,0.03821656050955414,0.1610738255033557,0.19929038601290983,0.09964519300645491
time,0.03821656050955414,0.1610738255033557,0.19929038601290983,0.09964519300645491
positive,0.044585987261146494,0.15436241610738255,0.19894840336852904,0.09947420168426452
years,0.050955414012738856,0.14093959731543623,0.1918950113281751,0.09594750566408755
meteorologist,0.10828025477707007,0.08053691275167785,0.18881716752874791,0.09440858376437396
statement,0.08280254777070063,0.09395973154362416,0.1767622793143248,0.0883811396571624
sound,0.050955414012738856,0.12080536912751678,0.17176078314025564,0.08588039157012782
passion,0.07006369426751592,0.10067114093959731,0.17073483520711324,0.08536741760355662
weather,0.10828025477707007,0.06040268456375839,0.16868293934082845,0.08434146967041423
widely,0.012738853503184714,0.15436241610738255,0.16710126961056726,0.08355063480528363
slightly,0.01910828025477707,0.14093959731543623,0.1600478775702133,0.08002393878510665
improved,0.01910828025477707,0.14093959731543623,0.1600478775702133,0.08002393878510665
dedication,0.025477707006369428,0.1342281879194631,0.1597058949258325,0.07985294746291625
context,0.025477707006369428,0.1342281879194631,0.1597058949258325,0.07985294746291625
active,0.025477707006369428,0.1342281879194631,0.1597058949258325,0.07985294746291625
rephrased,0.07006369426751592,0.087248322147651,0.15731201641516693,0.07865600820758346
outdoors,0.11464968152866242,0.040268456375838924,0.15491813790450135,0.07745906895225067
maintains,0.0,0.15436241610738255,0.15436241610738255,0.07718120805369127
conveys,0.006369426751592357,0.1476510067114094,0.15402043346300176,0.07701021673150088
help,0.01910828025477707,0.1342281879194631,0.15333646817424015,0.07666823408712008
provide,0.1464968152866242,0.006711409395973154,0.15320822468259734,0.07660411234129867
phrasing,0.03821656050955414,0.11409395973154363,0.15231052024109776,0.07615526012054888
page,0.0,0.1476510067114094,0.1476510067114094,0.0738255033557047
comma,0.01910828025477707,0.12751677852348994,0.146625058778267,0.0733125293891335
work,0.05732484076433121,0.087248322147651,0.14457316291198222,0.07228658145599111
activities,0.08280254777070063,0.06040268456375839,0.14320523233445903,0.07160261616722952
descriptive,0.11464968152866242,0.026845637583892617,0.14149531911255503,0.07074765955627751
description,0.11464968152866242,0.026845637583892617,0.14149531911255503,0.07074765955627751
clarifies,0.0,0.14093959731543623,0.14093959731543623,0.07046979865771812
served,0.006369426751592357,0.1342281879194631,0.14059761467105544,0.07029880733552772
roles,0.012738853503184714,0.12751677852348994,0.14025563202667465,0.07012781601333733
touch,0.012738853503184714,0.12751677852348994,0.14025563202667465,0.07012781601333733
dynamic,0.025477707006369428,0.11409395973154363,0.13957166673791305,0.06978583336895652
confident,0.050955414012738856,0.087248322147651,0.13820373616038986,0.06910186808019493
overall,0.0,0.1342281879194631,0.1342281879194631,0.06711409395973154
field,0.03821656050955414,0.09395973154362416,0.1321762920531783,0.06608814602658915
expertise,0.050955414012738856,0.08053691275167785,0.1314923267644167,0.06574616338220834
removed,0.050955414012738856,0.08053691275167785,0.1314923267644167,0.06574616338220834
stronger,0.06369426751592357,0.06711409395973154,0.1308083614756551,0.06540418073782756
businesswoman,0.06369426751592357,0.06711409395973154,0.1308083614756551,0.06540418073782756
become,0.06369426751592357,0.06711409395973154,0.1308083614756551,0.06540418073782756
smoothly,0.006369426751592357,0.12080536912751678,0.12717479587910915,0.06358739793955458
accepted,0.012738853503184714,0.11409395973154363,0.12683281323472834,0.06341640661736417
additionally,0.08280254777070063,0.040268456375838924,0.12307100414653956,0.06153550207326978
emphasizing,0.0,0.12080536912751678,0.12080536912751678,0.06040268456375839
avoids,0.0,0.12080536912751678,0.12080536912751678,0.06040268456375839
becomes,0.0,0.12080536912751678,0.12080536912751678,0.06040268456375839
helps,0.006369426751592357,0.11409395973154363,0.12046338648313598,0.06023169324156799
meaning,0.006369426751592357,0.11409395973154363,0.12046338648313598,0.06023169324156799
natural,0.012738853503184714,0.10738255033557047,0.12012140383875518,0.06006070191937759
sounds,0.012738853503184714,0.10738255033557047,0.12012140383875518,0.06006070191937759
inclusivity,0.01910828025477707,0.10067114093959731,0.11977942119437437,0.05988971059718719
could,0.01910828025477707,0.10067114093959731,0.11977942119437437,0.05988971059718719
life,0.03821656050955414,0.08053691275167785,0.11875347326123198,0.05937673663061599
profession,0.05732484076433121,0.06040268456375839,0.11772752532808961,0.058863762664044805
love,0.07006369426751592,0.04697986577181208,0.117043560039328,0.058521780019664
nature,0.07006369426751592,0.04697986577181208,0.117043560039328,0.058521780019664
flows,0.0,0.11409395973154363,0.11409395973154363,0.05704697986577181
redundancy,0.0,0.11409395973154363,0.11409395973154363,0.05704697986577181
precise,0.0,0.11409395973154363,0.11409395973154363,0.05704697986577181
changing,0.0,0.11409395973154363,0.11409395973154363,0.05704697986577181
often,0.006369426751592357,0.10738255033557047,0.11375197708716282,0.05687598854358141
