cond,itm,sentence,form,antecedent
"gnoun",1,"The janitor heard the stewardess say that they forgot to mail the letters.","they","the stewardess"
"ngnoun",1,"The janitor heard the dentist say that they forgot to mail the letters.","they","the dentist"
"gfamily",1,"The janitor heard my sister say that they forgot to mail the letters.","they","my sister"
"gname",1,"The janitor heard Amanda say that they forgot to mail the letters.","they","Amanda"
"ngname",1,"The janitor heard Dakota say that they forgot to mail the letters.","they","Dakota"
"spkknows",1,"The janitor heard my cousin say that they forgot to mail the letters.","they","my cousin"
"quantifier",1,"The janitor heard many dentists say that they forgot to mail the letters.","they","many dentists"
"plural",1,"The janitor heard the dentists say that they forgot to mail the letters.","they","the dentists"
"gnoun",2,"I would have liked the waitress more if they had been really funny.","they","the waitress"
"ngnoun",2,"I would have liked the comedian more if they had been really funny.","they","the comedian"
"gfamily",2,"I would have liked my ex-girlfriend more if they had been really funny.","they","my ex-girlfriend"
"gname",2,"I would have liked Bridget more if they had been really funny.","they","Bridget"
"ngname",2,"I would have liked Morgan more if they had been really funny.","they","Morgan"
"spkknows",2,"I would have liked my classmate more if they had been really funny.","they","my classmate"
"quantifier",2,"I would have liked each comedian more if they had been really funny.","they","each comedian"
"plural",2,"I would have liked the comedians more if they had been really funny.","they","the comedians"
"gnoun",3,"The saleswoman emailed to say that they would be joining the conference call.","they","the saleswoman"
"ngnoun",3,"The salesperson emailed to say that they would be joining the conference call.","they","the salesperson"
"gfamily",3,"My nephew emailed to say that they would be joining the conference call.","they","my nephew"
"gname",3,"Robert emailed to say that they would be joining the conference call.","they","Robert"
"ngname",3,"Remi emailed to say that they would be joining the conference call.","they","Remi"
"spkknows",3,"My assistant emailed to say that they would be joining the conference call.","they","my assistant"
"quantifier",3,"Every salesperson emailed to say that they would be joining the conference call.","they","each salesperson"
"plural",3,"The salespeople emailed to say that they would be joining the conference call.","they","the salespeople"
"gnoun",4,"Bill overheard the housewife say that they would make dinner tonight.","they","the housewife"
"ngnoun",4,"Bill overheard the cashier say that they would make dinner tonight.","they","the cashier"
"gfamily",4,"Bill overheard my niece say that they would make dinner tonight.","they","my niece"
"gname",4,"Bill overheard Daniel say that they would make dinner tonight.","they","Daniel"
"ngname",4,"Bill overheard Pat say that they would make dinner tonight.","they","Pat"
"spkknows",4,"Bill overheard my friend say that they would make dinner tonight.","they","my friend"
"quantifier",4,"Bill overheard one cashier say that they would make dinner tonight.","they","one cashier"
"plural",4,"Bill overheard my colleagues say that they would make dinner tonight.","they","my colleagues"
"gnoun",5,"The bride said they would be coming late to dinner.","they","the bride"
"ngnoun",5,"The guest speaker said they would be coming late to dinner.","they","the guest speaker"
"gfamily",5,"My aunt said they would be coming late to dinner.","they","my aunt"
"gname",5,"Zach said they would be coming late to dinner.","they","Zach"
"ngname",5,"Casey said they would be coming late to dinner.","they","Casey"
"spkknows",5,"My guest said they would be coming late to dinner.","they","my guest"
"quantifier",5,"Everyone said they would be coming late to dinner.","they","everyone"
"plural",5,"The Johnsons said they would be coming late to dinner.","they","the Johnsons"
"gnoun",6,"I heard that the groom plays the guitar and that they are really talented.","they","the groom"
"ngnoun",6,"I heard that the art teacher plays the guitar and that they are really talented.","they","the art teacher"
"gfamily",6,"I heard that my uncle plays the guitar and that they are really talented.","they","my uncle"
"gname",6,"I heard that Molly plays the guitar and that they are really talented.","they","Molly"
"ngname",6,"I heard that Dakota plays the guitar and that they are really talented.","they","Dakota"
"spkknows",6,"I heard that my business partner plays the guitar and that they are really talented.","they","my business partner"
"quantifier",6,"I heard that each art teacher plays the guitar and that they are really talented.","they","each art teacher"
