index,role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format,task_wording,prompt_text
0,actor,masculine,masculine,False,"['actor', 'actress']","I’m an artist, actor, and writer whose motto is to live your life out loud.","I’m an artist, [ROLE NOUN], and writer whose motto is to live your life out loud.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m an artist, actor, and writer whose motto is to live your life out loud."
1,actress,feminine,masculine,True,"['actor', 'actress']","I’m an artist, actress, and writer whose motto is to live your life out loud.","I’m an artist, [ROLE NOUN], and writer whose motto is to live your life out loud.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m an artist, actress, and writer whose motto is to live your life out loud."
2,actor,masculine,masculine,False,"['actor', 'actress']",I have been a full time actor for the last five years.,I have been a full time [ROLE NOUN] for the last five years.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I have been a full time actor for the last five years.
3,actress,feminine,masculine,True,"['actor', 'actress']",I have been a full time actress for the last five years.,I have been a full time [ROLE NOUN] for the last five years.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I have been a full time actress for the last five years.
4,actor,masculine,masculine,False,"['actor', 'actress']","Since then I have been an actor, and in 2017, following a bout of painfully serious training and eating for a part, became a personal trainer as well.","Since then I have been an [ROLE NOUN], and in 2017, following a bout of painfully serious training and eating for a part, became a personal trainer as well.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Since then I have been an actor, and in 2017, following a bout of painfully serious training and eating for a part, became a personal trainer as well."
5,actress,feminine,masculine,True,"['actor', 'actress']","Since then I have been an actress, and in 2017, following a bout of painfully serious training and eating for a part, became a personal trainer as well.","Since then I have been an [ROLE NOUN], and in 2017, following a bout of painfully serious training and eating for a part, became a personal trainer as well.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Since then I have been an actress, and in 2017, following a bout of painfully serious training and eating for a part, became a personal trainer as well."
6,actor,masculine,masculine,False,"['actor', 'actress']","I was a professional actor in my mid 20’s the first time I heard the words “brand ambassador"".","I was a professional [ROLE NOUN] in my mid 20’s the first time I heard the words “brand ambassador"".",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I was a professional actor in my mid 20’s the first time I heard the words “brand ambassador""."
7,actress,feminine,masculine,True,"['actor', 'actress']","I was a professional actress in my mid 20’s the first time I heard the words “brand ambassador"".","I was a professional [ROLE NOUN] in my mid 20’s the first time I heard the words “brand ambassador"".",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I was a professional actress in my mid 20’s the first time I heard the words “brand ambassador""."
8,actor,masculine,masculine,False,"['actor', 'actress']","When I moved here in 2004—yes, of course, to chase the dreams of being an actor, it’s Hollywood!—I made my “other job” working in high schools.","When I moved here in 2004—yes, of course, to chase the dreams of being an [ROLE NOUN], it’s Hollywood!—I made my “other job” working in high schools.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: When I moved here in 2004—yes, of course, to chase the dreams of being an actor, it’s Hollywood!—I made my “other job” working in high schools."
9,actress,feminine,masculine,True,"['actor', 'actress']","When I moved here in 2004—yes, of course, to chase the dreams of being an actress, it’s Hollywood!—I made my “other job” working in high schools.","When I moved here in 2004—yes, of course, to chase the dreams of being an [ROLE NOUN], it’s Hollywood!—I made my “other job” working in high schools.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: When I moved here in 2004—yes, of course, to chase the dreams of being an actress, it’s Hollywood!—I made my “other job” working in high schools."
10,actor,masculine,masculine,False,"['actor', 'actress']",I’m an actor and a musician.,I’m an [ROLE NOUN] and a musician.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m an actor and a musician.
11,actress,feminine,masculine,True,"['actor', 'actress']",I’m an actress and a musician.,I’m an [ROLE NOUN] and a musician.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m an actress and a musician.
12,actor,masculine,masculine,False,"['actor', 'actress']","And while I have not stopped pursuing my life as an actor and performer, I would be remiss if I never seized an opportunity like this.","And while I have not stopped pursuing my life as an [ROLE NOUN] and performer, I would be remiss if I never seized an opportunity like this.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: And while I have not stopped pursuing my life as an actor and performer, I would be remiss if I never seized an opportunity like this."
13,actress,feminine,masculine,True,"['actor', 'actress']","And while I have not stopped pursuing my life as an actress and performer, I would be remiss if I never seized an opportunity like this.","And while I have not stopped pursuing my life as an [ROLE NOUN] and performer, I would be remiss if I never seized an opportunity like this.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: And while I have not stopped pursuing my life as an actress and performer, I would be remiss if I never seized an opportunity like this."
14,actor,masculine,masculine,False,"['actor', 'actress']","Being an actor who refuses to be upstaged, I survived three.","Being an [ROLE NOUN] who refuses to be upstaged, I survived three.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Being an actor who refuses to be upstaged, I survived three."
15,actress,feminine,masculine,True,"['actor', 'actress']","Being an actress who refuses to be upstaged, I survived three.","Being an [ROLE NOUN] who refuses to be upstaged, I survived three.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Being an actress who refuses to be upstaged, I survived three."
16,actor,masculine,masculine,False,"['actor', 'actress']","Primarily an actor, I am also a writer, director, teacher and community herbalist/plant witch.","Primarily an [ROLE NOUN], I am also a writer, director, teacher and community herbalist/plant witch.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Primarily an actor, I am also a writer, director, teacher and community herbalist/plant witch."
17,actress,feminine,masculine,True,"['actor', 'actress']","Primarily an actress, I am also a writer, director, teacher and community herbalist/plant witch.","Primarily an [ROLE NOUN], I am also a writer, director, teacher and community herbalist/plant witch.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Primarily an actress, I am also a writer, director, teacher and community herbalist/plant witch."
18,actor,masculine,masculine,False,"['actor', 'actress']","Being an actor, I get to morph into another human, to see the world through their eyes.","Being an [ROLE NOUN], I get to morph into another human, to see the world through their eyes.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Being an actor, I get to morph into another human, to see the world through their eyes."
19,actress,feminine,masculine,True,"['actor', 'actress']","Being an actress, I get to morph into another human, to see the world through their eyes.","Being an [ROLE NOUN], I get to morph into another human, to see the world through their eyes.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Being an actress, I get to morph into another human, to see the world through their eyes."
20,actor,masculine,feminine,True,"['actor', 'actress']","I am an actor, musician, and director.","I am an [ROLE NOUN], musician, and director.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am an actor, musician, and director."
21,actress,feminine,feminine,False,"['actor', 'actress']","I am an actress, musician, and director.","I am an [ROLE NOUN], musician, and director.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am an actress, musician, and director."
22,actor,masculine,feminine,True,"['actor', 'actress']","I am an actor, acting teacher, writer and coach.","I am an [ROLE NOUN], acting teacher, writer and coach.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am an actor, acting teacher, writer and coach."
23,actress,feminine,feminine,False,"['actor', 'actress']","I am an actress, acting teacher, writer and coach.","I am an [ROLE NOUN], acting teacher, writer and coach.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am an actress, acting teacher, writer and coach."
24,actor,masculine,feminine,True,"['actor', 'actress']",I am a very lucky and happy actor.,I am a very lucky and happy [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a very lucky and happy actor.
25,actress,feminine,feminine,False,"['actor', 'actress']",I am a very lucky and happy actress.,I am a very lucky and happy [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a very lucky and happy actress.
26,actor,masculine,feminine,True,"['actor', 'actress']","Then in acting, I thought that if I became a famous actor people would love me and that I would finally find myself.","Then in acting, I thought that if I became a famous [ROLE NOUN] people would love me and that I would finally find myself.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Then in acting, I thought that if I became a famous actor people would love me and that I would finally find myself."
27,actress,feminine,feminine,False,"['actor', 'actress']","Then in acting, I thought that if I became a famous actress people would love me and that I would finally find myself.","Then in acting, I thought that if I became a famous [ROLE NOUN] people would love me and that I would finally find myself.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Then in acting, I thought that if I became a famous actress people would love me and that I would finally find myself."
28,actor,masculine,feminine,True,"['actor', 'actress']","I'm a former actor who helps other actors get their financial situation together, so their can pursue their passions.","I'm a former [ROLE NOUN] who helps other actors get their financial situation together, so their can pursue their passions.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm a former actor who helps other actors get their financial situation together, so their can pursue their passions."
29,actress,feminine,feminine,False,"['actor', 'actress']","I'm a former actress who helps other actors get their financial situation together, so their can pursue their passions.","I'm a former [ROLE NOUN] who helps other actors get their financial situation together, so their can pursue their passions.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm a former actress who helps other actors get their financial situation together, so their can pursue their passions."
30,actor,masculine,feminine,True,"['actor', 'actress']","So I have been an actor, a model, a presenter in my young age.","So I have been an [ROLE NOUN], a model, a presenter in my young age.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: So I have been an actor, a model, a presenter in my young age."
