word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5131578947368421,0.7894736842105263,1.3026315789473686,0.6513157894736843
sentence,0.3684210526315789,0.8596491228070176,1.2280701754385965,0.6140350877192983
professional,0.2894736842105263,0.6140350877192983,0.9035087719298246,0.4517543859649123
explanation,0.013157894736842105,0.7631578947368421,0.7763157894736843,0.38815789473684215
term,0.23684210526315788,0.5087719298245614,0.7456140350877193,0.37280701754385964
made,0.5657894736842105,0.08771929824561403,0.6535087719298245,0.32675438596491224
replaced,0.4868421052631579,0.14035087719298245,0.6271929824561404,0.3135964912280702
inclusive,0.1513157894736842,0.42105263157894735,0.5723684210526315,0.28618421052631576
changed,0.27631578947368424,0.2719298245614035,0.5482456140350878,0.2741228070175439
phrase,0.02631578947368421,0.5,0.5263157894736842,0.2631578947368421
tone,0.17105263157894737,0.3508771929824561,0.5219298245614035,0.26096491228070173
clarity,0.20394736842105263,0.2894736842105263,0.493421052631579,0.2467105263157895
concise,0.11842105263157894,0.34210526315789475,0.4605263157894737,0.23026315789473684
firefighter,0.19078947368421054,0.23684210526315788,0.4276315789473684,0.2138157894736842
added,0.2565789473684211,0.16666666666666666,0.42324561403508776,0.21162280701754388
firewoman,0.17763157894736842,0.24561403508771928,0.4232456140350877,0.21162280701754385
making,0.0,0.40350877192982454,0.40350877192982454,0.20175438596491227
formal,0.10526315789473684,0.2894736842105263,0.39473684210526316,0.19736842105263158
instead,0.05263157894736842,0.3333333333333333,0.38596491228070173,0.19298245614035087
makes,0.03289473684210526,0.3508771929824561,0.3837719298245614,0.1918859649122807
flow,0.14473684210526316,0.22807017543859648,0.37280701754385964,0.18640350877192982
make,0.14473684210526316,0.21929824561403508,0.36403508771929827,0.18201754385964913
weatherwoman,0.17763157894736842,0.18421052631578946,0.36184210526315785,0.18092105263157893
also,0.13815789473684212,0.21929824561403508,0.3574561403508772,0.1787280701754386
better,0.13815789473684212,0.19298245614035087,0.33114035087719296,0.16557017543859648
engaging,0.09210526315789473,0.23684210526315788,0.3289473684210526,0.1644736842105263
readability,0.046052631578947366,0.2807017543859649,0.32675438596491224,0.16337719298245612
language,0.10526315789473684,0.21929824561403508,0.32456140350877194,0.16228070175438597
revised,0.07236842105263158,0.24561403508771928,0.31798245614035087,0.15899122807017543
sense,0.05263157894736842,0.2543859649122807,0.30701754385964913,0.15350877192982457
clearer,0.03289473684210526,0.2719298245614035,0.3048245614035088,0.1524122807017544
specific,0.08552631578947369,0.21052631578947367,0.29605263157894735,0.14802631578947367
structure,0.07236842105263158,0.21929824561403508,0.29166666666666663,0.14583333333333331
using,0.07236842105263158,0.21929824561403508,0.29166666666666663,0.14583333333333331
word,0.046052631578947366,0.23684210526315788,0.28289473684210525,0.14144736842105263
adds,0.03289473684210526,0.24561403508771928,0.27850877192982454,0.13925438596491227
conveys,0.02631578947368421,0.24561403508771928,0.27192982456140347,0.13596491228070173
use,0.05921052631578947,0.20175438596491227,0.26096491228070173,0.13048245614035087
polished,0.006578947368421052,0.24561403508771928,0.25219298245614036,0.12609649122807018
policewoman,0.05921052631578947,0.18421052631578946,0.24342105263157893,0.12171052631578946
meteorologist,0.1118421052631579,0.13157894736842105,0.24342105263157893,0.12171052631578946
outdoorswoman,0.17105263157894737,0.07017543859649122,0.2412280701754386,0.1206140350877193
original,0.013157894736842105,0.22807017543859648,0.24122807017543857,0.12061403508771928
police,0.03289473684210526,0.20175438596491227,0.23464912280701752,0.11732456140350876
passion,0.09210526315789473,0.13157894736842105,0.22368421052631576,0.11184210526315788
officer,0.019736842105263157,0.20175438596491227,0.22149122807017543,0.11074561403508772
stronger,0.07894736842105263,0.14035087719298245,0.21929824561403508,0.10964912280701754
used,0.05263157894736842,0.16666666666666666,0.21929824561403508,0.10964912280701754
active,0.02631578947368421,0.19298245614035087,0.21929824561403508,0.10964912280701754
sound,0.05263157894736842,0.16666666666666666,0.21929824561403508,0.10964912280701754
positive,0.03289473684210526,0.18421052631578946,0.21710526315789472,0.10855263157894736
businesswoman,0.05263157894736842,0.15789473684210525,0.21052631578947367,0.10526315789473684
slightly,0.0,0.21052631578947367,0.21052631578947367,0.10526315789473684
years,0.03289473684210526,0.17543859649122806,0.20833333333333331,0.10416666666666666
convey,0.1118421052631579,0.09649122807017543,0.20833333333333331,0.10416666666666666
change,0.006578947368421052,0.19298245614035087,0.1995614035087719,0.09978070175438596
career,0.05263157894736842,0.14035087719298245,0.19298245614035087,0.09649122807017543
direct,0.02631578947368421,0.16666666666666666,0.19298245614035087,0.09649122807017543
weather,0.08552631578947369,0.10526315789473684,0.1907894736842105,0.09539473684210525
become,0.07236842105263158,0.11403508771929824,0.18640350877192982,0.09320175438596491
provide,0.13157894736842105,0.05263157894736842,0.18421052631578946,0.09210526315789473
commonly,0.03289473684210526,0.14912280701754385,0.1820175438596491,0.09100877192982455
adding,0.006578947368421052,0.17543859649122806,0.1820175438596491,0.09100877192982455
clearly,0.006578947368421052,0.17543859649122806,0.1820175438596491,0.09100877192982455
impactful,0.019736842105263157,0.15789473684210525,0.17763157894736842,0.08881578947368421
outdoors,0.13157894736842105,0.043859649122807015,0.17543859649122806,0.08771929824561403
personal,0.02631578947368421,0.14912280701754385,0.17543859649122806,0.08771929824561403
comma,0.03289473684210526,0.14035087719298245,0.1732456140350877,0.08662280701754385
clear,0.019736842105263157,0.14912280701754385,0.16885964912280702,0.08442982456140351
improved,0.05263157894736842,0.11403508771929824,0.16666666666666666,0.08333333333333333
emphasizes,0.006578947368421052,0.15789473684210525,0.1644736842105263,0.08223684210526315
dynamic,0.013157894736842105,0.14912280701754385,0.16228070175438597,0.08114035087719298
context,0.02631578947368421,0.13157894736842105,0.15789473684210525,0.07894736842105263
expertise,0.05921052631578947,0.09649122807017543,0.1557017543859649,0.07785087719298245
provides,0.006578947368421052,0.14912280701754385,0.1557017543859649,0.07785087719298245
experience,0.019736842105263157,0.13157894736842105,0.1513157894736842,0.0756578947368421
commitment,0.02631578947368421,0.12280701754385964,0.14912280701754385,0.07456140350877193
business,0.05263157894736842,0.09649122807017543,0.14912280701754385,0.07456140350877193
