word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.6241379310344828,0.8390092879256966,1.4631472189601795,0.7315736094800898
sentence,0.43448275862068964,0.7801857585139319,1.2146685171346214,0.6073342585673107
changed,0.5827586206896552,0.4613003095975232,1.0440589302871786,0.5220294651435893
explanation,0.08620689655172414,0.7894736842105263,0.8756805807622505,0.43784029038112526
term,0.20344827586206896,0.6377708978328174,0.8412191736948863,0.42060958684744315
professional,0.23793103448275862,0.5882352941176471,0.8261663286004057,0.41308316430020287
clarity,0.30689655172413793,0.4520123839009288,0.7589089356250667,0.37945446781253334
made,0.6206896551724138,0.1238390092879257,0.7445286644603395,0.37226433223016975
replaced,0.5241379310344828,0.2043343653250774,0.7284722963595602,0.3642361481797801
gender,0.20689655172413793,0.34674922600619196,0.5536457777303299,0.27682288886516493
flow,0.2206896551724138,0.28792569659442724,0.508615351766841,0.2543076758834205
man,0.13448275862068965,0.3498452012383901,0.4843279598590797,0.24216397992953986
better,0.2206896551724138,0.25386996904024767,0.47455962421266146,0.23727981210633073
tone,0.14482758620689656,0.3157894736842105,0.4606170598911071,0.23030852994555354
inclusive,0.16551724137931034,0.28173374613003094,0.4472509875093413,0.22362549375467064
make,0.22758620689655173,0.21052631578947367,0.4381125226860254,0.2190562613430127
businesswoman,0.1793103448275862,0.24148606811145512,0.42079641293904135,0.21039820646952068
outdoorswoman,0.2103448275862069,0.19814241486068113,0.40848724244688805,0.20424362122344403
added,0.22758620689655173,0.17337461300309598,0.4009608198996477,0.20048040994982386
phrase,0.020689655172413793,0.3622291021671827,0.38291875733959646,0.19145937866979823
making,0.0034482758620689655,0.37770897832817335,0.3811572541902423,0.19057862709512116
concise,0.11724137931034483,0.24458204334365324,0.3618234226539981,0.18091171132699904
word,0.07931034482758621,0.2786377708978328,0.357948115725419,0.1789740578627095
language,0.15517241379310345,0.17956656346749225,0.3347389772605957,0.16736948863029785
clearer,0.04827586206896552,0.2786377708978328,0.3269136329667983,0.16345681648339916
policewoman,0.12758620689655173,0.19814241486068113,0.32572862175723283,0.16286431087861641
readability,0.06206896551724138,0.25696594427244585,0.31903490978968724,0.15951745489484362
officer,0.1103448275862069,0.19504643962848298,0.3053912672146899,0.15269563360734495
police,0.10689655172413794,0.19195046439628483,0.29884701612042275,0.14942350806021137
