word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency
changes,0.6129753914988815,0.8432203389830508,1.4561957304819324
sentence,0.44742729306487694,0.7860169491525424,1.2334442422174194
changed,0.48769574944071586,0.4046610169491525,0.8923567663898684
explanation,0.07158836689038031,0.7860169491525424,0.8576053160429227
professional,0.24608501118568232,0.576271186440678,0.8223561976263603
term,0.20134228187919462,0.5953389830508474,0.7966812649300421
made,0.6263982102908278,0.11228813559322035,0.7386863458840481
replaced,0.5302013422818792,0.1906779661016949,0.7208793083835741
clarity,0.2975391498881432,0.4173728813559322,0.7149120312440753
flow,0.2348993288590604,0.2754237288135593,0.5103230576726197
better,0.2214765100671141,0.2627118644067797,0.4841883744738938
tone,0.14988814317673377,0.326271186440678,0.47615932961741175
inclusive,0.14093959731543623,0.288135593220339,0.42907519053577525
phrase,0.03355704697986577,0.3877118644067797,0.42126891138664546
added,0.25279642058165547,0.1652542372881356,0.41805065786979106
make,0.203579418344519,0.2076271186440678,0.4112065369885868
concise,0.1297539149888143,0.2627118644067797,0.392465779395594
gender,0.13870246085011187,0.2457627118644068,0.38446517271451863
making,0.0022371364653243847,0.3813559322033898,0.3835930686687142
word,0.08501118568232663,0.2775423728813559,0.36255355856368254
language,0.14541387024608501,0.1906779661016949,0.33609183634777995
engaging,0.05592841163310962,0.2733050847457627,0.32923349637887234
formal,0.0738255033557047,0.2542372881355932,0.3280627914912979
man,0.087248322147651,0.23940677966101695,0.32665510180866797
clearer,0.042505592841163314,0.2775423728813559,0.32004796572251926
