word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5507246376811594,0.8485254691689008,1.3992501068500602,0.6996250534250301
sentence,0.3530961791831357,0.7788203753351206,1.1319165545182563,0.5659582772591282
inclusive,0.3675889328063241,0.6541554959785523,1.0217444287848765,0.5108722143924382
term,0.25559947299077734,0.6246648793565683,0.8802643523473457,0.44013217617367284
explanation,0.08168642951251646,0.7412868632707775,0.822973292783294,0.411486646391647
replaced,0.5230566534914362,0.289544235924933,0.8126008894163692,0.4063004447081846
changed,0.35177865612648224,0.42761394101876676,0.779392597145249,0.3896962985726245
made,0.5638998682476943,0.13002680965147453,0.6939266778991688,0.3469633389495844
clarity,0.2516469038208169,0.40482573726541554,0.6564726410862325,0.32823632054311624
language,0.17918313570487485,0.4450402144772118,0.6242233501820866,0.3121116750910433
identity,0.14492753623188406,0.46648793565683644,0.6114154718887205,0.30570773594436024
professional,0.19235836627140976,0.4128686327077748,0.6052269989791845,0.30261349948959226
tone,0.15019762845849802,0.2949061662198391,0.44510379467833716,0.22255189733916858
better,0.14361001317523056,0.29892761394101874,0.44253762711624933,0.22126881355812467
flow,0.16205533596837945,0.2774798927613941,0.4395352287297736,0.2197676143648868
make,0.1712779973649539,0.25067024128686327,0.4219482386518172,0.2109741193259086
added,0.2595520421607378,0.15683646112600536,0.41638850328674315,0.20819425164337158
phrase,0.034255599472990776,0.32171581769436997,0.35597141716736075,0.17798570858368037
readability,0.04084321475625823,0.30563002680965146,0.3464732415659097,0.17323662078295485
concise,0.10408432147562582,0.21447721179624665,0.3185615332718725,0.15928076663593624
use,0.08563899868247694,0.2292225201072386,0.3148615187897155,0.15743075939485776
making,0.010540184453227932,0.2975871313672922,0.3081273158205201,0.15406365791026005
enthusiast,0.11067193675889328,0.17158176943699732,0.28225370619589063,0.14112685309794532
revised,0.10013175230566534,0.17158176943699732,0.27171352174266267,0.13585676087133133
engaging,0.06060606060606061,0.20509383378016086,0.26569989438622144,0.13284994719311072
word,0.048748353096179184,0.21447721179624665,0.2632255648924258,0.1316127824462129
officer,0.09881422924901186,0.1581769436997319,0.25699117294874374,0.12849558647437187
