word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5735056542810986,0.8719135802469136,1.4454192345280121,0.7227096172640061
inclusive,0.407108239095315,0.7268518518518519,1.1339600909471668,0.5669800454735834
sentence,0.34894991922455576,0.7808641975308642,1.12981411675542,0.56490705837771
term,0.2633279483037157,0.6574074074074074,0.9207353557111231,0.46036767785556154
replaced,0.5363489499192245,0.3101851851851852,0.8465341351044098,0.4232670675522049
explanation,0.07269789983844911,0.75,0.8226978998384491,0.41134894991922455
changed,0.35864297253634897,0.4537037037037037,0.8123466762400526,0.4061733381200263
made,0.5864297253634895,0.13580246913580246,0.722232194499292,0.361116097249646
language,0.18578352180936994,0.4984567901234568,0.6842403119328268,0.3421201559664134
identity,0.1518578352180937,0.529320987654321,0.6811788228724147,0.34058941143620736
clarity,0.2552504038772213,0.41975308641975306,0.6750034902969744,0.3375017451484872
professional,0.18739903069466882,0.4212962962962963,0.6086953269909651,0.30434766349548253
better,0.13893376413570274,0.30709876543209874,0.4460325295678015,0.22301626478390074
tone,0.14862681744749595,0.2962962962962963,0.44492311374379223,0.22246155687189612
flow,0.1518578352180937,0.2854938271604938,0.4373516623785875,0.21867583118929376
added,0.2568659127625202,0.16666666666666666,0.4235325794291869,0.21176628971459344
make,0.15993537964458804,0.24691358024691357,0.4068489598915016,0.2034244799457508
readability,0.0420032310177706,0.3148148148148148,0.3568180458325854,0.1784090229162927
use,0.10177705977382875,0.25308641975308643,0.3548634795269152,0.1774317397634576
phrase,0.025848142164781908,0.32098765432098764,0.34683579648576957,0.17341789824288478
making,0.011308562197092083,0.29475308641975306,0.30606164861684515,0.15303082430842257
concise,0.09693053311793215,0.19444444444444445,0.2913749775623766,0.1456874887811883
officer,0.11308562197092084,0.17746913580246915,0.29055475777339,0.145277378886695
gender,0.15347334410339256,0.12191358024691358,0.27538692435030615,0.13769346217515308
police,0.09854604200323101,0.1712962962962963,0.2698423382995273,0.13492116914976365
revised,0.10016155088852989,0.16203703703703703,0.26219858792556694,0.13109929396278347
structure,0.048465266558966075,0.21141975308641975,0.2598850196453858,0.1299425098226929
change,0.07431340872374798,0.18364197530864199,0.25795538403238993,0.12897769201619497
firefighter,0.10016155088852989,0.1558641975308642,0.2560257484193941,0.12801287420969704
word,0.04361873990306947,0.20987654320987653,0.253495283112946,0.126747641556473
instead,0.06462035541195477,0.18055555555555555,0.24517591096751032,0.12258795548375516
original,0.01615508885298869,0.22530864197530864,0.24146373082829733,0.12073186541414867
enthusiast,0.0840064620355412,0.1558641975308642,0.2398706595664054,0.1199353297832027
also,0.1147011308562197,0.12191358024691358,0.23661471110313329,0.11830735555156664
business,0.08723747980613894,0.14660493827160495,0.2338424180777439,0.11692120903887195
makes,0.0,0.23148148148148148,0.23148148148148148,0.11574074074074074
aligns,0.0016155088852988692,0.22530864197530864,0.22692415086060752,0.11346207543030376
formal,0.05492730210016155,0.16666666666666666,0.22159396876682821,0.11079698438341411
specific,0.10662358642972536,0.11419753086419752,0.2208211172939229,0.11041055864696145
engaging,0.046849757673667204,0.1728395061728395,0.2196892638465067,0.10984463192325335
clear,0.024232633279483037,0.19444444444444445,0.21867707772392747,0.10933853886196374
clearer,0.03877221324717286,0.17901234567901234,0.2177845589261852,0.1088922794630926
outdoor,0.051696284329563816,0.16203703703703703,0.21373332136660084,0.10686666068330042
using,0.05815831987075929,0.15123456790123457,0.20939288777199386,0.10469644388599693
