word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5517241379310345,0.8885448916408669,1.4402690295719014,0.7201345147859507
sentence,0.3761755485893417,0.7647058823529411,1.1408814309422828,0.5704407154711414
inclusive,0.3542319749216301,0.7739938080495357,1.1282257829711657,0.5641128914855829
term,0.27586206896551724,0.6811145510835913,0.9569766200491086,0.4784883100245543
replaced,0.5297805642633229,0.30340557275541796,0.8331861370187408,0.4165930685093704
explanation,0.07836990595611286,0.7368421052631579,0.8152120112192707,0.40760600560963534
changed,0.3542319749216301,0.4024767801857585,0.7567087551073886,0.3783543775536943
made,0.567398119122257,0.14241486068111456,0.7098129798033715,0.3549064899016858
language,0.19435736677115986,0.48606811145510836,0.6804254782262682,0.3402127391131341
clarity,0.25391849529780564,0.38390092879256965,0.6378194240903753,0.31890971204518764
professional,0.20376175548589343,0.43343653250773995,0.6371982879936333,0.31859914399681666
identity,0.13166144200626959,0.4179566563467492,0.5496180983530188,0.2748090491765094
tone,0.1755485893416928,0.29102167182662536,0.4665702611683181,0.23328513058415906
make,0.1786833855799373,0.25696594427244585,0.43564932985238314,0.21782466492619157
flow,0.13479623824451412,0.29411764705882354,0.4289138853033376,0.2144569426516688
added,0.2601880877742947,0.16408668730650156,0.42427477508079625,0.21213738754039813
better,0.109717868338558,0.3065015479876161,0.4162194163261741,0.20810970816308705
phrase,0.025078369905956112,0.35294117647058826,0.3780195463765444,0.1890097731882722
businessman,0.1536050156739812,0.21981424148606812,0.3734192571600493,0.18670962858002466
readability,0.050156739811912224,0.3219814241486068,0.372138163960519,0.1860690819802595
outdoorsman,0.15987460815047022,0.19814241486068113,0.35801702301115135,0.17900851150557567
use,0.11285266457680251,0.23219814241486067,0.3450508069916632,0.1725254034958316
policeman,0.12539184952978055,0.21362229102167182,0.3390141405514524,0.1695070702757262
concise,0.13166144200626959,0.19195046439628483,0.32361190640255444,0.16180595320127722
making,0.012539184952978056,0.30959752321981426,0.32213670817279233,0.16106835408639616
officer,0.12225705329153605,0.19195046439628483,0.31420751768782085,0.15710375884391042
word,0.050156739811912224,0.25696594427244585,0.30712268408435806,0.15356134204217903
police,0.11285266457680251,0.1826625386996904,0.29551520327649294,0.14775760163824647
instead,0.06896551724137931,0.21981424148606812,0.28877975872744743,0.14438987936372372
revised,0.10658307210031348,0.17027863777089783,0.2768617098712113,0.13843085493560564
also,0.11912225705329153,0.14551083591331268,0.2646330929666042,0.1323165464833021
structure,0.0438871473354232,0.21671826625386997,0.2606054135892932,0.1303027067946466
original,0.01567398119122257,0.24148606811145512,0.25716004930267766,0.12858002465133883
formal,0.06583072100313479,0.18885448916408668,0.25468521016722145,0.12734260508361073
weatherman,0.09717868338557993,0.14551083591331268,0.2426895192988926,0.1213447596494463
gender,0.12225705329153605,0.11764705882352941,0.23990411211506546,0.11995205605753273
specific,0.11912225705329153,0.12074303405572756,0.2398652911090191,0.11993264555450955
enthusiast,0.09717868338557993,0.1393188854489164,0.23649756883449635,0.11824878441724818
engaging,0.0438871473354232,0.18885448916408668,0.23274163649950988,0.11637081824975494
firefighter,0.07523510971786834,0.15479876160990713,0.23003387132777547,0.11501693566388774
change,0.05956112852664577,0.17027863777089783,0.2298397662975436,0.1149198831487718
business,0.07523510971786834,0.15170278637770898,0.22693789609557732,0.11346894804778866
fireman,0.07210031347962383,0.15479876160990713,0.22689907508953094,0.11344953754476547
makes,0.0,0.2260061919504644,0.2260061919504644,0.1130030959752322
using,0.06269592476489028,0.15789473684210525,0.22059066160699553,0.11029533080349777
clearer,0.04075235109717868,0.17956656346749225,0.22031891456467093,0.11015945728233546
outdoor,0.05642633228840126,0.15170278637770898,0.20812911866611022,0.10406455933305511
inclusivity,0.02821316614420063,0.17956656346749225,0.2077797296116929,0.10388986480584644
personal,0.05642633228840126,0.14551083591331268,0.20193716820171392,0.10096858410085696
clear,0.02821316614420063,0.17337461300309598,0.20158777914729661,0.10079388957364831
maintains,0.0219435736677116,0.17956656346749225,0.20151013713520385,0.10075506856760193
individual,0.16300940438871472,0.034055727554179564,0.1970651319428943,0.09853256597144715
conveys,0.012539184952978056,0.17956656346749225,0.19210574842047032,0.09605287421023516
page,0.009404388714733543,0.17956656346749225,0.1889709521822258,0.0944854760911129
weather,0.09090909090909091,0.09597523219814241,0.18688432310723332,0.09344216155361666
experience,0.050156739811912224,0.13622291021671826,0.1863796500286305,0.09318982501431525
removed,0.07210031347962383,0.11145510835913312,0.18355542183875695,0.09177771091937847
aligns,0.0,0.1826625386996904,0.1826625386996904,0.0913312693498452
outdoors,0.10658307210031348,0.07120743034055728,0.17779050244087075,0.08889525122043537
sense,0.05642633228840126,0.12074303405572756,0.17716936634412883,0.08858468317206442
career,0.08150470219435736,0.09287925696594428,0.17438395916030164,0.08719197958015082
slightly,0.012539184952978056,0.1609907120743034,0.17352989702728147,0.08676494851364074
convey,0.10031347962382445,0.07120743034055728,0.17152090996438174,0.08576045498219087
positive,0.0438871473354232,0.12693498452012383,0.17082213185554704,0.08541106592777352
passion,0.06269592476489028,0.10526315789473684,0.1679590826596271,0.08397954132981356
used,0.0438871473354232,0.1238390092879257,0.1677261566233489,0.08386307831167444
context,0.034482758620689655,0.13312693498452013,0.16760969360520978,0.08380484680260489
emphasize,0.12225705329153605,0.043343653250773995,0.16560070654231004,0.08280035327115502
meaning,0.01567398119122257,0.14860681114551083,0.1642807923367334,0.0821403961683667
polished,0.009404388714733543,0.15479876160990713,0.16420315032464067,0.08210157516232033
without,0.01567398119122257,0.14241486068111456,0.15808884187233713,0.07904442093616856
role,0.05329153605015674,0.1021671826625387,0.15545871871269545,0.07772935935634773
improved,0.050156739811912224,0.10526315789473684,0.15541989770664905,0.07770994885332452
