word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency
changes,0.5735056542810986,0.8719135802469136,1.4454192345280121
inclusive,0.407108239095315,0.7268518518518519,1.1339600909471668
sentence,0.34894991922455576,0.7808641975308642,1.12981411675542
term,0.2633279483037157,0.6574074074074074,0.9207353557111231
replaced,0.5363489499192245,0.3101851851851852,0.8465341351044098
explanation,0.07269789983844911,0.75,0.8226978998384491
changed,0.35864297253634897,0.4537037037037037,0.8123466762400526
made,0.5864297253634895,0.13580246913580246,0.722232194499292
language,0.18578352180936994,0.4984567901234568,0.6842403119328268
identity,0.1518578352180937,0.529320987654321,0.6811788228724147
clarity,0.2552504038772213,0.41975308641975306,0.6750034902969744
professional,0.18739903069466882,0.4212962962962963,0.6086953269909651
better,0.13893376413570274,0.30709876543209874,0.4460325295678015
tone,0.14862681744749595,0.2962962962962963,0.44492311374379223
flow,0.1518578352180937,0.2854938271604938,0.4373516623785875
added,0.2568659127625202,0.16666666666666666,0.4235325794291869
make,0.15993537964458804,0.24691358024691357,0.4068489598915016
readability,0.0420032310177706,0.3148148148148148,0.3568180458325854
use,0.10177705977382875,0.25308641975308643,0.3548634795269152
phrase,0.025848142164781908,0.32098765432098764,0.34683579648576957
making,0.011308562197092083,0.29475308641975306,0.30606164861684515
concise,0.09693053311793215,0.19444444444444445,0.2913749775623766
officer,0.11308562197092084,0.17746913580246915,0.29055475777339
gender,0.15347334410339256,0.12191358024691358,0.27538692435030615
police,0.09854604200323101,0.1712962962962963,0.2698423382995273
