index,role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format,task_wording,prompt_text
0,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",unknown gender,"My friend is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
1,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
2,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
3,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
4,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
5,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
6,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
7,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage their,"My friend is writing their 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
8,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage her,"My friend is writing her 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
9,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage his,"My friend is writing his 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessperson and mentor."
10,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",unknown gender,"My friend is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
11,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
12,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
13,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
14,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
15,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
16,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
17,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage their,"My friend is writing their 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
18,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage her,"My friend is writing her 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
19,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage his,"My friend is writing his 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businessman and mentor."
20,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",unknown gender,"My friend is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
21,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
22,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
23,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
24,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
25,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
26,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
27,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage their,"My friend is writing their 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
28,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage her,"My friend is writing her 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
29,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor.","The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful [ROLE NOUN] and mentor.",pronoun usage his,"My friend is writing his 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: The business, leadership, and mentorship lessons I learned along the way helped build my reputation as a successful businesswoman and mentor."
30,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",unknown gender,"My friend is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
31,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
32,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
33,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
34,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
35,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
36,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
37,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun usage their,"My friend is writing their 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
38,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun usage her,"My friend is writing her 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
39,businessperson,neutral,neutral,False,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun usage his,"My friend is writing his 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessperson and artist!”"
40,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",unknown gender,"My friend is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
41,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
42,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
43,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
44,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
45,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
46,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
47,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun usage their,"My friend is writing their 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
48,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun usage her,"My friend is writing her 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
49,businessman,masculine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun usage his,"My friend is writing his 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businessman and artist!”"
50,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",unknown gender,"My friend is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
51,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration nonbinary,"My friend who is a nonbinary person is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
52,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration woman,"My friend who is a woman is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
53,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",gender declaration man,"My friend who is a man is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
54,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration they/them,"My friend who uses they/them pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
55,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration she/her,"My friend who uses she/her pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
56,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun declaration he/him,"My friend who uses he/him pronouns is writing an 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
57,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun usage their,"My friend is writing their 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
58,businesswoman,feminine,neutral,True,"['businessperson', 'businessman', 'businesswoman']","And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”","And as a result, I saw an increase in my business – but I also gained confidence as a [ROLE NOUN] and artist!”",pronoun usage her,"My friend is writing her 'About Me' page. Please suggest revisions for this sentence if needed and explain the changes made: And as a result, I saw an increase in my business – but I also gained confidence as a businesswoman and artist!”"
