prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.3076923076923077,0.0,0.0,0.0
gender declaration man,masculine,0.3247863247863248,0.26495726495726496,0.0,0.0
gender declaration man,feminine,0.5128205128205128,0.3162393162393162,0.1282051282051282,0.0
gender declaration nonbinary,neutral,0.3418803418803419,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.6068376068376068,0.3076923076923077,0.0,0.0
gender declaration nonbinary,feminine,0.5470085470085471,0.37606837606837606,0.0,0.0
gender declaration woman,neutral,0.37606837606837606,0.0,0.0,0.017094017094017096
gender declaration woman,masculine,0.5982905982905983,0.3247863247863248,0.0,0.02564102564102564
gender declaration woman,feminine,0.3504273504273504,0.2905982905982906,0.0,0.0
pronoun declaration he/him,neutral,0.20512820512820512,0.0,0.0,0.0
pronoun declaration he/him,masculine,0.2905982905982906,0.37606837606837606,0.0,0.0
pronoun declaration he/him,feminine,0.3504273504273504,0.452991452991453,0.13675213675213677,0.0
pronoun declaration she/her,neutral,0.20512820512820512,0.0,0.0,0.0
pronoun declaration she/her,masculine,0.4017094017094017,0.452991452991453,0.0,0.06837606837606838
pronoun declaration she/her,feminine,0.27350427350427353,0.3418803418803419,0.0,0.0
pronoun declaration they/them,neutral,0.1452991452991453,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.4444444444444444,0.39316239316239315,0.0,0.0
pronoun declaration they/them,feminine,0.41025641025641024,0.5042735042735043,0.0,0.0
pronoun usage her,neutral,0.3076923076923077,0.0,0.0,0.0
pronoun usage her,masculine,0.4017094017094017,0.3162393162393162,0.0,0.0
pronoun usage her,feminine,0.3162393162393162,0.23076923076923078,0.0,0.0
pronoun usage his,neutral,0.27350427350427353,0.0,0.0,0.0
pronoun usage his,masculine,0.3162393162393162,0.2222222222222222,0.0,0.0
pronoun usage his,feminine,0.27350427350427353,0.23931623931623933,0.0,0.0
pronoun usage their,neutral,0.3504273504273504,0.0,0.0,0.0
pronoun usage their,masculine,0.3504273504273504,0.29914529914529914,0.0,0.0
pronoun usage their,feminine,0.3247863247863248,0.20512820512820512,0.0,0.0
unknown gender,neutral,0.3076923076923077,0.0,0.0,0.0
unknown gender,masculine,0.37606837606837606,0.27350427350427353,0.0,0.0
unknown gender,feminine,0.3418803418803419,0.2222222222222222,0.0,0.0
