word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.6189473684210526,0.8361344537815126,1.4550818222025652,0.7275409111012826
sentence,0.4126315789473684,0.8214285714285714,1.2340601503759399,0.6170300751879699
explanation,0.05263157894736842,0.7962184873949579,0.8488500663423264,0.4244250331711632
term,0.22105263157894736,0.6113445378151261,0.8323971693940735,0.41619858469703674
changed,0.45473684210526316,0.35714285714285715,0.8118796992481203,0.40593984962406016
professional,0.2673684210526316,0.5399159663865546,0.8072843874391862,0.4036421937195931
replaced,0.5810526315789474,0.20378151260504201,0.7848341441839894,0.3924170720919947
made,0.6252631578947369,0.10504201680672269,0.7303051747014595,0.36515258735072975
clarity,0.30105263157894735,0.39705882352941174,0.6981114551083591,0.3490557275541796
inclusive,0.18105263157894738,0.4264705882352941,0.6075232198142415,0.30376160990712076
flow,0.2294736842105263,0.27521008403361347,0.5046837682441397,0.25234188412206987
better,0.21473684210526317,0.2815126050420168,0.49624944714728,0.24812472357364
tone,0.2,0.29411764705882354,0.49411764705882355,0.24705882352941178
phrase,0.03368421052631579,0.38445378151260506,0.4181379920389209,0.20906899601946044
make,0.19157894736842104,0.21218487394957983,0.40376382131800087,0.20188191065900044
concise,0.13894736842105262,0.2605042016806723,0.39945157010172494,0.19972578505086247
added,0.2631578947368421,0.13445378151260504,0.39761167624944715,0.19880583812472358
gender,0.1831578947368421,0.19327731092436976,0.37643520566121186,0.18821760283060593
making,0.01263157894736842,0.3487394957983193,0.36137107474568775,0.18068553737284387
engaging,0.07368421052631578,0.2668067226890756,0.3404909332153914,0.1702454666076957
word,0.05473684210526316,0.2773109243697479,0.33204776647501105,0.16602388323750553
firefighter,0.13473684210526315,0.19327731092436976,0.3280141530296329,0.16400707651481644
sense,0.10105263157894737,0.2184873949579832,0.3195400265369306,0.1597700132684653
also,0.11578947368421053,0.1953781512605042,0.3111676249447147,0.15558381247235736
language,0.08421052631578947,0.22478991596638656,0.30900044228217605,0.15450022114108802
instead,0.04631578947368421,0.2605042016806723,0.3068199911543565,0.15340999557717824
readability,0.05263157894736842,0.24579831932773108,0.29842989827509947,0.14921494913754973
makes,0.008421052631578947,0.28991596638655465,0.2983370190181336,0.1491685095090668
formal,0.09052631578947369,0.20378151260504201,0.2943078283945157,0.14715391419725785
officer,0.06947368421052631,0.22268907563025211,0.29216275984077844,0.14608137992038922
police,0.06736842105263158,0.22478991596638656,0.29215833701901817,0.14607916850950908
businessman,0.12,0.17016806722689076,0.29016806722689076,0.14508403361344538
revised,0.08421052631578947,0.18907563025210083,0.2732861565678903,0.13664307828394515
clearer,0.042105263157894736,0.22899159663865545,0.2710968597965502,0.1355484298982751
specific,0.12,0.14915966386554622,0.26915966386554624,0.13457983193277312
outdoorsman,0.12421052631578948,0.1407563025210084,0.2649668288367979,0.13248341441839895
use,0.11368421052631579,0.14705882352941177,0.2607430340557276,0.1303715170278638
structure,0.07578947368421053,0.18067226890756302,0.25646174259177357,0.12823087129588678
reflect,0.12631578947368421,0.11764705882352941,0.24396284829721362,0.12198142414860681
using,0.031578947368421054,0.21218487394957983,0.2437638213180009,0.12188191065900045
convey,0.15368421052631578,0.08823529411764706,0.24191950464396283,0.12095975232198142
change,0.023157894736842106,0.21218487394957983,0.23534276868642193,0.11767138434321096
conveys,0.008421052631578947,0.22478991596638656,0.2332109685979655,0.11660548429898275
polished,0.016842105263157894,0.21428571428571427,0.23112781954887218,0.11556390977443609
businesswoman,0.08842105263157894,0.1407563025210084,0.22917735515258736,0.11458867757629368
woman,0.056842105263157895,0.1722689075630252,0.2291110128261831,0.11455550641309155
adds,0.023157894736842106,0.20588235294117646,0.22904024767801856,0.11452012383900928
policeman,0.08210526315789474,0.14285714285714285,0.22496240601503759,0.11248120300751879
role,0.06315789473684211,0.15756302521008403,0.22072091994692614,0.11036045997346307
accurately,0.08421052631578947,0.1323529411764706,0.21656346749226008,0.10828173374613004
smoother,0.031578947368421054,0.17436974789915966,0.2059486952675807,0.10297434763379035
clear,0.02526315789473684,0.18067226890756302,0.20593542680229987,0.10296771340114994
career,0.07157894736842105,0.13025210084033614,0.2018310482087572,0.1009155241043786
passion,0.06736842105263158,0.13445378151260504,0.2018222025652366,0.1009111012826183
enthusiast,0.09473684210526316,0.10084033613445378,0.19557717823971693,0.09778858911985847
experience,0.06526315789473684,0.12815126050420167,0.19341441839893853,0.09670720919946926
personal,0.04842105263157895,0.1407563025210084,0.18917735515258735,0.09458867757629368
original,0.016842105263157894,0.1722689075630252,0.1891110128261831,0.09455550641309154
positive,0.042105263157894736,0.1407563025210084,0.18286156567890313,0.09143078283945157
professionalism,0.02526315789473684,0.15546218487394958,0.18072534276868643,0.09036267138434322
outdoor,0.07157894736842105,0.10714285714285714,0.17872180451127817,0.08936090225563909
stronger,0.07789473684210527,0.09873949579831932,0.1766342326404246,0.0883171163202123
used,0.02526315789473684,0.15126050420168066,0.1765236620964175,0.08826183104820876
weatherman,0.07578947368421053,0.09873949579831932,0.17452896948252986,0.08726448474126493
adding,0.01263157894736842,0.15966386554621848,0.17229544449358689,0.08614772224679344
years,0.04421052631578947,0.12605042016806722,0.1702609464838567,0.08513047324192835
emphasizes,0.01263157894736842,0.15546218487394958,0.168093763821318,0.084046881910659
fireman,0.06526315789473684,0.10084033613445378,0.1661034940291906,0.0830517470145953
context,0.023157894736842106,0.14285714285714285,0.16601503759398495,0.08300751879699247
provide,0.12842105263157894,0.03361344537815126,0.1620344980097302,0.0810172490048651
activities,0.06526315789473684,0.09663865546218488,0.16190181335692172,0.08095090667846086
firewoman,0.07157894736842105,0.08823529411764706,0.1598142414860681,0.07990712074303405
slightly,0.014736842105263158,0.14285714285714285,0.157593984962406,0.078796992481203
page,0.002105263157894737,0.15336134453781514,0.15546660769570989,0.07773330384785494
improved,0.018947368421052633,0.13445378151260504,0.15340114993365767,0.07670057496682883
weather,0.0863157894736842,0.06512605042016807,0.1514418398938523,0.07572091994692615
direct,0.016842105263157894,0.13445378151260504,0.15129588677576294,0.07564794338788147
modern,0.008421052631578947,0.14285714285714285,0.1512781954887218,0.0756390977443609
clearly,0.004210526315789474,0.14495798319327732,0.1491685095090668,0.0745842547545334
provides,0.004210526315789474,0.14285714285714285,0.14706766917293232,0.07353383458646616
outdoors,0.09894736842105263,0.046218487394957986,0.1451658558160106,0.0725829279080053
outdoorswoman,0.09263157894736843,0.052521008403361345,0.14515258735072978,0.07257629367536489
statement,0.06736842105263158,0.07773109243697479,0.14509951348960637,0.07254975674480318
