word,frequency_gpt-3.5-turbo,frequency_gpt-4o,total_frequency,average_frequency
changes,0.5822784810126582,0.8028169014084507,1.385095382421109,0.6925476912105545
sentence,0.4810126582278481,0.7183098591549296,1.1993225173827777,0.5996612586913889
explanation,0.05063291139240506,0.7394366197183099,0.790069531110715,0.3950347655553575
made,0.5886075949367089,0.1056338028169014,0.6942413977536103,0.34712069887680513
replaced,0.5443037974683544,0.11267605633802817,0.6569798538063826,0.3284899269031913
outdoorsperson,0.2721518987341772,0.3732394366197183,0.6453913353538956,0.3226956676769478
engaging,0.17721518987341772,0.4647887323943662,0.6420039222677839,0.32100196113389196
professional,0.189873417721519,0.4507042253521127,0.6405776430736316,0.3202888215368158
changed,0.3924050632911392,0.21830985915492956,0.6107149224460688,0.3053574612230344
term,0.1518987341772152,0.4225352112676056,0.5744339454448208,0.2872169727224104
businessperson,0.2468354430379747,0.30985915492957744,0.5566945979675522,0.2783472989837761
clarity,0.2721518987341772,0.28169014084507044,0.5538420395792476,0.2769210197896238
added,0.36075949367088606,0.176056338028169,0.536815831699055,0.2684079158495275
phrase,0.06329113924050633,0.4295774647887324,0.4928686040292387,0.24643430201461936
flow,0.24050632911392406,0.24647887323943662,0.4869852023533607,0.24349260117668034
making,0.02531645569620253,0.4507042253521127,0.47602068104831524,0.23801034052415762
better,0.24050632911392406,0.22535211267605634,0.46585844178998037,0.23292922089499019
make,0.189873417721519,0.2535211267605634,0.4433945444820824,0.2216972722410412
enthusiast,0.20253164556962025,0.22535211267605634,0.4278837582456766,0.2139418791228383
tone,0.1962025316455696,0.22535211267605634,0.4215546443216259,0.21077732216081296
specific,0.13924050632911392,0.2746478873239437,0.41388839365305763,0.20694419682652881
word,0.04430379746835443,0.34507042253521125,0.3893742200035657,0.19468711000178285
outdoors,0.23417721518987342,0.15492957746478872,0.38910679265466214,0.19455339632733107
personal,0.10126582278481013,0.28169014084507044,0.38295596362988055,0.19147798181494027
concise,0.12025316455696203,0.2323943661971831,0.3526475307541451,0.17632376537707256
clearer,0.056962025316455694,0.2887323943661972,0.3456944196826529,0.17284720984132645
conveys,0.012658227848101266,0.323943661971831,0.3366018898199323,0.16830094490996614
passion,0.0759493670886076,0.2605633802816901,0.33651274737029774,0.16825637368514887
adds,0.03164556962025317,0.3028169014084507,0.33446247102870386,0.16723123551435193
convey,0.22784810126582278,0.1056338028169014,0.33348190408272416,0.16674095204136208
passionate,0.13291139240506328,0.19718309859154928,0.3300944909966126,0.1650472454983063
