index,word,stem,suffix,frequency,frequency_in_a_million
0,chairman,chair,man,32865,3154.6395374385593
1,actress,actr,ess,15136,1452.8715666718404
2,business,busin,ess,14133,1356.5957883042495
3,human,hu,man,7143,685.6409619937207
4,chairperson,chair,person,5098,489.34588047654876
5,businessman,business,man,3963,380.3997105391453
6,spokesperson,spokes,person,3481,334.1335837463449
7,witness,witn,ess,3219,308.98477623656544
8,salesperson,sales,person,3188,306.00915397395795
9,craftsman,crafts,man,2955,283.6439930969403
10,salesman,sales,man,2665,255.80752676932178
11,freshman,fresh,man,2429,233.15440244753572
12,fisherman,fisher,man,2164,207.71763149298775
13,sideman,side,man,2034,195.23921555302084
14,seamstress,seamstr,ess,2018,193.7034105142557
15,cameraman,camera,man,1831,175.7536891236879
16,businesswoman,business,woman,1713,164.42712696279483
17,waitress,waitr,ess,1548,148.58913750052915
18,outdoorsman,outdoors,man,1537,147.5332715363781
19,foreman,fore,man,1386,133.0391114830319
20,handyman,handy,man,1344,129.00762325627335
21,hostess,host,ess,1213,116.4332195013836
22,priestess,priest,ess,1208,115.9532804267695
23,shaman,sha,man,1082,103.85881574649387
24,sportsman,sports,man,1013,97.23565651681912
25,sales person,sales ,person,1006,96.56374181235937
26,goddess,godd,ess,985,94.5479976989801
27,princess,princ,ess,951,91.28441199160413
28,frontman,front,man,931,89.3646556931477
29,real estate salesperson,real estate sales,person,915,87.82885065438253
30,gentleman,gentle,man,853,81.87760612916755
31,draftsman,drafts,man,818,78.51803260686876
32,spokesman,spokes,man,718,68.9192511145865
33,front man,front ,man,658,63.159982219217156
34,chairwoman,chair,woman,634,60.85627466106942
35,songstress,songstr,ess,611,58.64855491784451
36,vice-chairman,vice-chair,man,598,57.40071332384782
37,councilman,council,man,593,56.92077424923371
38,mess,m,ess,588,56.44083517461959
39,co-chairman,co-chair,man,571,54.80904232093161
40,congressman,congress,man,476,45.69019990326348
41,horseman,horse,man,401,38.4911137840518
42,showman,show,man,385,36.95530874528664
43,tradesman,trades,man,380,36.47536967067252
44,german,ger,man,364,34.939564631907366
45,repairman,repair,man,362,34.74758900206172
46,fireman,fire,man,353,33.88369866775632
47,infantryman,infantry,man,317,30.42813733053471
48,draughtsman,draughts,man,314,30.140173885766245
49,baseman,base,man,294,28.220417587309797
50,lineman,line,man,292,28.028441957464153
51,stuntman,stunt,man,291,27.932454142541328
52,horsewoman,horse,woman,289,27.740478512695685
53,congresswoman,congress,woman,281,26.972575993313107
54,englishman,english,man,275,26.39664910377617
55,statesman,states,man,251,24.09294154562843
56,craftsperson,crafts,person,249,23.900965915782788
57,stewardess,steward,ess,246,23.61300247101432
58,ironman,iron,man,240,23.037075581477385
59,alderman,alder,man,231,22.173185247171983
60,people-person,people-,person,228,21.885221802403517
61,freeman,free,man,207,19.869477689024244
62,policeman,police,man,205,19.6775020591786
63,businessperson,business,person,203,19.485526429332953
64,committeeman,committee,man,201,19.29355079948731
65,city councilman,city council,man,199,19.101575169641666
66,airman,air,man,196,18.813611724873198
67,superwoman,super,woman,190,18.23768483533626
68,success,succ,ess,187,17.949721390567795
69,craftswoman,crafts,woman,186,17.85373357564497
70,ombudsman,ombuds,man,186,17.85373357564497
71,spokeswoman,spokes,woman,184,17.66175794579933
72,commercial fisherman,commercial fisher,man,181,17.37379450103086
73,letterman,letter,man,180,17.27780668610804
74,seaman,sea,man,173,16.60589198164828
75,shop foreman,shop fore,man,168,16.12595290703417
76,contact person,contact ,person,165,15.837989462265703
77,sportswoman,sports,woman,165,15.837989462265703
78,poetess,poet,ess,163,15.646013832420058
79,oklahoman,oklaho,man,161,15.454038202574413
80,hospital corpsman,hospital corps,man,156,14.9740991279603
81,marksman,marks,man,148,14.206196608577722
82,landman,land,man,141,13.534281904117963
83,layman,lay,man,140,13.438294089195141
84,councilwoman,council,woman,140,13.438294089195141
85,irishman,irish,man,138,13.246318459349496
86,patrolman,patrol,man,131,12.57440375488974
87,car salesman,car sales,man,131,12.57440375488974
88,saleswoman,sales,woman,128,12.286440310121272
89,barman,bar,man,128,12.286440310121272
90,waterman,water,man,128,12.286440310121272
91,sportsperson,sports,person,128,12.286440310121272
92,prophetess,prophet,ess,121,11.614525605661516
93,headmistress,headmistr,ess,117,11.230574345970226
94,bluesman,blues,man,114,10.942610901201759
95,key person,key ,person,112,10.750635271356114
96,clergyman,clergy,man,112,10.750635271356114
97,co-chairperson,co-chair,person,111,10.65464745643329
98,assemblyman,assembly,man,111,10.65464745643329
99,frontwoman,front,woman,110,10.558659641510468
100,yorkshireman,yorkshire,man,107,10.270696196742
101,front-man,front-,man,107,10.270696196742
102,draftsperson,drafts,person,104,9.982732751973534
103,directress,directr,ess,102,9.79075712212789
104,sorceress,sorcer,ess,102,9.79075712212789
105,postman,post,man,100,9.598781492282244
106,rifleman,rifle,man,95,9.11884241766813
107,vice-chairperson,vice-chair,person,90,8.63890334305402
108,liveryman,livery,man,90,8.63890334305402
109,skilled craftsman,skilled crafts,man,90,8.63890334305402
110,camerawoman,camera,woman,88,8.446927713208375
111,dutchman,dutch,man,88,8.446927713208375
112,outdoorswoman,outdoors,woman,87,8.350939898285553
113,watchman,watch,man,87,8.350939898285553
114,batsman,bats,man,87,8.350939898285553
115,webmistress,webmistr,ess,87,8.350939898285553
116,madman,mad,man,86,8.25495208336273
117,doorman,door,man,83,7.966988638594262
118,test man,test ,man,79,7.583037378902973
119,layperson,lay,person,78,7.48704956398015
120,crewman,crew,man,78,7.48704956398015
121,selectman,select,man,78,7.48704956398015
122,sculptress,sculptr,ess,78,7.48704956398015
123,scotsman,scots,man,76,7.295073934134505
124,cocktail waitress,cocktail waitr,ess,76,7.295073934134505
125,handy man,handy ,man,75,7.199086119211683
126,proprietress,proprietr,ess,74,7.103098304288861
127,newspaperman,newspaper,man,74,7.103098304288861
128,weatherman,weather,man,73,7.007110489366038
129,empress,empr,ess,73,7.007110489366038
130,authoress,author,ess,73,7.007110489366038
131,strongman,strong,man,73,7.007110489366038
132,maintenance man,maintenance ,man,72,6.911122674443216
133,frenchman,french,man,71,6.815134859520393
134,small-business,small-busin,ess,71,6.815134859520393
135,wingman,wing,man,67,6.431183599829104
136,deaconess,deacon,ess,66,6.335195784906281
137,groundsman,grounds,man,65,6.239207969983458
138,soundman,sound,man,65,6.239207969983458
139,yachtsman,yachts,man,65,6.239207969983458
140,defenseman,defense,man,65,6.239207969983458
141,lioness,lion,ess,64,6.143220155060636
142,stuntwoman,stunt,woman,64,6.143220155060636
143,fisherwoman,fisher,woman,62,5.951244525214991
144,side-man,side-,man,61,5.855256710292168
145,seductress,seductr,ess,61,5.855256710292168
146,shepherdess,shepherd,ess,60,5.759268895369346
147,anchorman,anchor,man,60,5.759268895369346
148,architectural draftsman,architectural drafts,man,60,5.759268895369346
149,newsman,news,man,60,5.759268895369346
150,tradesperson,trades,person,57,5.471305450600879
