index,word,stem,suffix,frequency,frequency_in_a_million
0,man,,man,897501,2409.7425878246486
1,woman,,woman,284471,763.7895486479299
2,person,,person,113953,305.95776172993925
3,human,hu,man,97479,261.7259453956697
4,german,ger,man,56404,151.4417487263652
5,gentleman,gentle,man,54374,145.9913063833661
6,chairman,chair,man,23521,63.152637610680735
7,roman,ro,man,21578,57.935785653810164
8,policeman,police,man,12083,32.44221420219613
9,englishman,english,man,8422,22.612623356028788
10,statesman,states,man,8363,22.454211484976103
11,norman,nor,man,8222,22.075633962629862
12,spokesman,spokes,man,7845,21.063408956072884
13,workman,work,man,6849,18.389201776946233
14,truman,tru,man,6739,18.09385761057682
15,frenchman,french,man,6290,16.88831642239623
16,sherman,sher,man,6139,16.482889430380045
17,countryman,country,man,5648,15.16458046958568
18,clergyman,clergy,man,5471,14.68934485642763
19,fisherman,fisher,man,5336,14.326877015883355
20,businessman,business,man,5200,13.961724228372084
21,salesman,sales,man,4633,12.439359298086128
22,seaman,sea,man,3890,10.444443701609117
23,horseman,horse,man,3736,10.030961868691943
24,foreman,fore,man,3541,9.507397210127989
25,fireman,fire,man,3501,9.399999331448205
26,congressman,congress,man,3319,8.911338983455183
27,herman,her,man,2826,7.587660128726829
28,irishman,irish,man,2687,7.214452500314574
29,freeman,free,man,2636,7.07752020499785
30,newman,new,man,2495,6.698942682651605
31,whitman,whit,man,2441,6.553955546433896
32,freshman,fresh,man,2270,6.094829615077813
33,alderman,alder,man,2263,6.076034986308851
34,hoffman,hoff,man,2084,5.595429479216812
35,newsman,news,man,2052,5.509511176272984
36,layman,lay,man,1897,5.093344396388816
37,chapman,chap,man,1862,4.9993712525440035
38,coleman,cole,man,1755,4.7120819270755785
39,kinsman,kins,man,1712,4.59662920749481
40,watchman,watch,man,1666,4.473121647013056
41,craftsman,crafts,man,1662,4.4623818591450775
42,coachman,coach,man,1662,4.4623818591450775
43,harriman,harri,man,1650,4.430162495541142
44,nobleman,noble,man,1617,4.341559245630319
45,lehman,leh,man,1600,4.295915147191411
46,patrolman,patrol,man,1598,4.290545253257421
47,madman,mad,man,1586,4.258325889653485
48,sportsman,sports,man,1581,4.244901154818513
49,footman,foot,man,1380,3.7052268144525913
50,goodman,good,man,1314,3.528020314630946
51,inhuman,inhu,man,1298,3.485061163159032
52,lyman,ly,man,1255,3.369608443578263
53,pullman,pull,man,1241,3.3320191860403376
54,goldman,gold,man,1240,3.329334239073343
55,gunman,gun,man,1204,3.2326761482615365
56,ottoman,otto,man,1157,3.106483640812789
57,waterman,water,man,1138,3.0554696484398907
58,tradesman,trades,man,1114,2.99103092123202
59,churchman,church,man,1112,2.9856610272980304
60,airman,air,man,1056,2.835303997146331
61,assemblyman,assembly,man,1034,2.776235163872449
62,dutchman,dutch,man,1018,2.7332760124005353
63,newspaperman,newspaper,man,999,2.682262020027637
64,chinaman,china,man,973,2.6124533988857763
65,doorman,door,man,970,2.604398557984793
66,tillman,till,man,949,2.5480146716779055
67,ackerman,acker,man,867,2.327849020384346
68,committeeman,committee,man,850,2.282204921945437
69,superhuman,superhu,man,847,2.274150081044453
70,kaufman,kauf,man,826,2.2177661947375653
71,friedman,fried,man,797,2.1399027326947215
72,eastman,east,man,795,2.134532838760732
73,cattleman,cattle,man,795,2.134532838760732
74,councilman,council,man,763,2.048614535816904
75,rodman,rod,man,763,2.048614535816904
76,boatman,boat,man,760,2.04055969491592
