index,stem,words,total_frequency
0,hu,['human'],97479
1,ger,['german'],56404
2,ro,['roman'],21578
3,nor,['norman'],8222
4,tru,['truman'],6739
5,sher,['sherman'],6139
6,clergy,['clergyman'],5471
7,sea,['seaman'],3890
8,fire,['fireman'],3501
9,her,['herman'],2826
10,new,['newman'],2495
11,whit,['whitman'],2441
12,fresh,['freshman'],2270
13,alder,['alderman'],2263
14,hoff,['hoffman'],2084
15,chap,['chapman'],1862
16,cole,['coleman'],1755
17,watch,['watchman'],1666
18,coach,['coachman'],1662
19,harri,['harriman'],1650
20,leh,['lehman'],1600
21,patrol,['patrolman'],1598
22,foot,['footman'],1380
23,good,['goodman'],1314
24,inhu,['inhuman'],1298
25,ly,['lyman'],1255
26,pull,['pullman'],1241
27,gold,['goldman'],1240
28,gun,['gunman'],1204
29,otto,['ottoman'],1157
30,water,['waterman'],1138
31,air,['airman'],1056
32,china,['chinaman'],973
33,door,['doorman'],970
34,till,['tillman'],949
35,acker,['ackerman'],867
36,superhu,['superhuman'],847
37,kauf,['kaufman'],826
38,fried,['friedman'],797
39,east,['eastman'],795
40,cattle,['cattleman'],795
41,rod,['rodman'],763
42,boat,['boatman'],760
43,hol,['holman'],755
44,base,['baseman'],732
45,longshore,['longshoreman'],708
46,ma,['maman'],693
47,talis,['talisman'],678
48,midship,['midshipman'],655
49,sted,['stedman'],651
50,hunts,['huntsman'],650
51,guz,['guzman'],639
52,post,['postman'],638
53,hench,['henchman'],611
54,wood,['woodman'],592
55,bow,['bowman'],584
56,hart,['hartman'],575
57,gor,['gorman'],569
58,ber,['berman'],559
59,brake,['brakeman'],558
60,still,['stillman'],558
61,is,['isman'],544
62,sha,['shaman'],543
63,gil,['gilman'],540
64,freed,['freedman'],523
65,berg,['bergman'],515
66,merchant,['merchantman'],511
67,line,['lineman'],510
68,yeo,['yeoman'],509
69,hell,['hellman'],508
70,zimmer,['zimmerman'],487
71,brah,['brahman'],479
72,herds,['herdsman'],466
73,hang,['hangman'],465
74,stock,['stockman'],463
75,helms,['helmsman'],449
76,infantry,['infantryman'],445
77,toy,['toyman'],440
78,show,['showman'],439
79,thur,['thurman'],431
80,militia,['militiaman'],431
81,husband,['husbandman'],425
82,park,['parkman'],417
83,cavalry,['cavalryman'],412
84,o,['oman'],399
85,vani,['vaniman'],397
86,shed,['shedman'],389
87,col,['colman'],383
88,gar,['garman'],380
89,hill,['hillman'],377
90,lieber,['lieberman'],372
91,silver,['silverman'],367
92,bush,['bushman'],361
93,tol,['tolman'],358
94,ehrlich,['ehrlichman'],345
95,journey,['journeyman'],344
96,wy,['wyman'],344
97,gross,['grossman'],342
98,board,['boardman'],338
99,jury,['juryman'],336
100,motor,['motorman'],328
101,head,['headman'],326
102,berk,['berkman'],321
103,backwoods,['backwoodsman'],317
104,mail,['mailman'],301
105,ranch,['ranchman'],299
106,clans,['clansman'],299
107,flax,['flaxman'],298
108,am,['amman'],290
109,alt,['altman'],290
110,hy,['hyman'],288
111,middle,['middleman'],288
112,feld,['feldman'],288
113,stone,['stoneman'],287
114,guards,['guardsman'],284
115,big,['bigman'],282
116,halde,['haldeman'],277
117,foe,['foeman'],276
118,os,['osman'],272
119,wise,['wiseman'],272
120,minute,['minuteman'],272
121,highway,['highwayman'],263
122,dil,['dilman'],260
123,glass,['glassman'],252
124,far,['farman'],252
125,lang,['langman'],249
126,schu,['schuman'],246
127,cab,['cabman'],243
128,ferry,['ferryman'],243
129,spike,['spikeman'],241
130,lands,['landsman'],241
131,draughts,['draughtsman'],238
132,repair,['repairman'],236
133,hard,['hardman'],234
134,bar,['barman'],233
135,oil,['oilman'],232
136,spell,['spellman'],226
137,hick,['hickman'],225
138,yachts,['yachtsman'],225
139,swords,['swordsman'],224
140,steers,['steersman'],224
141,handy,['handyman'],222
142,beek,['beekman'],219
143,artillery,['artilleryman'],218
144,edel,['edelman'],215
145,strong,['strongman'],214
146,rifle,['rifleman'],211
147,dairy,['dairyman'],210
148,letter,['letterman'],204
149,true,['trueman'],200
150,sel,['selman'],199
151,cay,['cayman'],198
152,ha,['haman'],196
153,mer,['merman'],195
154,tub,['tubman'],193
155,dor,['dorman'],193
156,pitt,['pittman'],193
157,hack,['hackman'],190
158,for,['forman'],189
159,cush,['cushman'],188
160,cow,['cowman'],186
161,plow,['plowman'],186
162,perl,['perlman'],185
163,lumber,['lumberman'],182
164,jack,['jackman'],175
165,port,['portman'],175
166,pat,['patman'],173
167,ice,['iceman'],171
168,banner,['bannerman'],171
169,heads,['headsman'],170
170,honey,['honeyman'],169
171,kal,['kalman'],169
