index,stem,words,total_frequency
0,gentle,"['gentleman', 'gentlewoman']",54791
1,police,"['policeman', 'policewoman']",12305
2,english,"['englishman', 'englishwoman']",8753
3,states,"['statesman', 'stateswoman']",8376
4,work,"['workman', 'workwoman']",6862
5,french,"['frenchman', 'frenchwoman']",6558
6,country,"['countryman', 'countrywoman']",5756
7,fisher,"['fisherman', 'fisherwoman']",5343
8,horse,"['horseman', 'horsewoman']",3840
9,fore,"['foreman', 'forewoman']",3603
10,irish,"['irishman', 'irishwoman']",2795
11,free,"['freeman', 'freewoman']",2640
12,kins,"['kinsman', 'kinswoman']",1909
13,mad,"['madman', 'madwoman']",1684
14,noble,"['nobleman', 'noblewoman']",1665
15,sports,"['sportsman', 'sportswoman']",1610
16,church,"['churchman', 'churchwoman']",1127
17,trades,"['tradesman', 'tradeswoman']",1118
18,assembly,"['assemblyman', 'assemblywoman']",1051
19,newspaper,"['newspaperman', 'newspaperwoman']",1019
20,committee,"['committeeman', 'committeewoman']",892
21,council,"['councilman', 'councilwoman']",810
22,bat,"['batman', 'batwoman']",728
23,super,"['superman', 'superwoman']",709
24,woods,"['woodsman', 'woodswoman']",673
25,tribes,"['tribesman', 'tribeswoman']",660
26,working,"['workingman', 'workingwoman']",630
27,towns,"['townsman', 'townswoman']",626
28,service,"['serviceman', 'servicewoman']",608
29,crew,"['crewman', 'crewwoman']",598
30,marks,"['marksman', 'markswoman']",578
31,scotch,"['scotchman', 'scotchwoman']",560
32,oars,"['oarsman', 'oarswoman']",552
33,camera,"['cameraman', 'camerawoman']",469
34,frontiers,"['frontiersman', 'frontierswoman']",441
35,milk,"['milkman', 'milkwoman']",338
36,bonds,"['bondsman', 'bondswoman']",325
37,washer,"['washerwoman', 'washerman']",321
38,cat,"['catwoman', 'catman']",301
39,scots,"['scotsman', 'scotswoman']",280
40,welsh,"['welshman', 'welshwoman']",259
41,every,"['everyman', 'everywoman']",242
42,bond,"['bondman', 'bondwoman']",201
43,earth,"['earthman', 'earthwoman']",186
44,shop,"['shopman', 'shopwoman']",148
45,snow,"['snowman', 'snowwoman']",148
46,young,"['youngman', 'youngwoman']",134
47,cave,"['caveman', 'cavewoman']",131
48,char,"['charwoman', 'charman']",122
49,club,"['clubman', 'clubwoman']",111
50,laundry,"['laundryman', 'laundrywoman']",99
51,river,"['riverman', 'riverwoman']",98
52,ad,"['adman', 'adwoman']",95
53,needle,"['needlewoman', 'needleman']",88
54,a,"['aman', 'awoman']",82
55,fish,"['fishman', 'fishwoman']",76
56,spider,"['spiderman', 'spiderwoman']",32
57,old,"['oldman', 'oldwoman']",28
58,witch,"['witchman', 'witchwoman']",25
59,the,"['theman', 'thewoman']",24
60,stunt,"['stuntman', 'stuntwoman']",24
61,war,"['warman', 'warwoman']",20
62,middleaged,"['middleagedwoman', 'middleagedman']",20
63,beads,"['beadsman', 'beadswoman']",18
64,god,"['godman', 'godwoman']",18
