prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.11965811965811966,0.0,0.11965811965811966,0.0
gender declaration man,masculine,0.05982905982905983,0.3247863247863248,0.0,0.0
gender declaration man,feminine,0.20512820512820512,0.41025641025641024,0.358974358974359,0.0
gender declaration nonbinary,neutral,0.1623931623931624,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.5555555555555556,0.42735042735042733,0.0,0.0
gender declaration nonbinary,feminine,0.6068376068376068,0.38461538461538464,0.0,0.0
gender declaration woman,neutral,0.21367521367521367,0.0,0.0,0.09401709401709402
gender declaration woman,masculine,0.23076923076923078,0.452991452991453,0.0,0.28205128205128205
gender declaration woman,feminine,0.08547008547008547,0.3504273504273504,0.0,0.0
pronoun declaration he/him,neutral,0.07692307692307693,0.0,0.05982905982905983,0.0
pronoun declaration he/him,masculine,0.05128205128205128,0.27350427350427353,0.0,0.0
pronoun declaration he/him,feminine,0.24786324786324787,0.47863247863247865,0.27350427350427353,0.0
pronoun declaration she/her,neutral,0.11965811965811966,0.0,0.0,0.03418803418803419
pronoun declaration she/her,masculine,0.26495726495726496,0.42735042735042733,0.0,0.2905982905982906
pronoun declaration she/her,feminine,0.05128205128205128,0.358974358974359,0.0,0.0
pronoun declaration they/them,neutral,0.08547008547008547,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.4188034188034188,0.5726495726495726,0.0,0.0
pronoun declaration they/them,feminine,0.5299145299145299,0.46153846153846156,0.0,0.0
pronoun usage her,neutral,0.21367521367521367,0.0,0.0,0.0
pronoun usage her,masculine,0.3247863247863248,0.4358974358974359,0.0,0.017094017094017096
pronoun usage her,feminine,0.042735042735042736,0.18803418803418803,0.0,0.0
pronoun usage his,neutral,0.2222222222222222,0.0,0.0,0.0
pronoun usage his,masculine,0.1452991452991453,0.28205128205128205,0.0,0.0
pronoun usage his,feminine,0.06837606837606838,0.19658119658119658,0.0,0.0
pronoun usage their,neutral,0.18803418803418803,0.0,0.0,0.0
pronoun usage their,masculine,0.15384615384615385,0.3504273504273504,0.0,0.0
pronoun usage their,feminine,0.10256410256410256,0.1794871794871795,0.0,0.0
unknown gender,neutral,0.17094017094017094,0.0,0.0,0.0
unknown gender,masculine,0.1623931623931624,0.3247863247863248,0.0,0.0
unknown gender,feminine,0.05128205128205128,0.20512820512820512,0.0,0.0
