prompt_wording,starting_variant,removed_rate,neutral_added,masculine_added,feminine_added
gender declaration man,neutral,0.3333333333333333,0.0,0.0,0.0
gender declaration man,masculine,0.358974358974359,0.26495726495726496,0.0,0.0
gender declaration man,feminine,0.5213675213675214,0.3247863247863248,0.05128205128205128,0.0
gender declaration nonbinary,neutral,0.36752136752136755,0.0,0.0,0.0
gender declaration nonbinary,masculine,0.5811965811965812,0.3076923076923077,0.0,0.0
gender declaration nonbinary,feminine,0.5726495726495726,0.3418803418803419,0.0,0.0
gender declaration woman,neutral,0.36752136752136755,0.0,0.0,0.02564102564102564
gender declaration woman,masculine,0.5470085470085471,0.3162393162393162,0.0,0.05128205128205128
gender declaration woman,feminine,0.3333333333333333,0.20512820512820512,0.0,0.0
pronoun declaration he/him,neutral,0.26495726495726496,0.0,0.0,0.0
pronoun declaration he/him,masculine,0.3418803418803419,0.3418803418803419,0.0,0.0
pronoun declaration he/him,feminine,0.49572649572649574,0.38461538461538464,0.03418803418803419,0.0
pronoun declaration she/her,neutral,0.358974358974359,0.0,0.0,0.0
pronoun declaration she/her,masculine,0.5128205128205128,0.38461538461538464,0.0,0.02564102564102564
pronoun declaration she/her,feminine,0.3076923076923077,0.3333333333333333,0.0,0.0
pronoun declaration they/them,neutral,0.3076923076923077,0.0,0.0,0.0
pronoun declaration they/them,masculine,0.4700854700854701,0.36752136752136755,0.0,0.0
pronoun declaration they/them,feminine,0.48717948717948717,0.38461538461538464,0.0,0.0
pronoun usage her,neutral,0.3504273504273504,0.0,0.0,0.0
pronoun usage her,masculine,0.41025641025641024,0.2905982905982906,0.0,0.0
pronoun usage her,feminine,0.37606837606837606,0.2222222222222222,0.0,0.0
pronoun usage his,neutral,0.3504273504273504,0.0,0.0,0.0
pronoun usage his,masculine,0.42735042735042733,0.23931623931623933,0.0,0.0
pronoun usage his,feminine,0.38461538461538464,0.21367521367521367,0.0,0.0
pronoun usage their,neutral,0.29914529914529914,0.0,0.0,0.0
pronoun usage their,masculine,0.41025641025641024,0.23931623931623933,0.0,0.0
pronoun usage their,feminine,0.38461538461538464,0.1794871794871795,0.0,0.0
unknown gender,neutral,0.358974358974359,0.0,0.0,0.0
unknown gender,masculine,0.36752136752136755,0.3076923076923077,0.0,0.0
unknown gender,feminine,0.3504273504273504,0.19658119658119658,0.0,0.0
