task_wording,role_noun_gender,cat_gender-specific,cat_inclusivity,cat_positive,cat_negative,count
unknown gender,neutral,0.0,0.0,0.5494505494505495,0.016483516483516484,182
unknown gender,feminine,0.1167192429022082,0.4637223974763407,0.6593059936908517,0.15457413249211358,317
unknown gender,masculine,0.04279279279279279,0.3918918918918919,0.6058558558558559,0.12837837837837837,444
gender declaration nonbinary,neutral,0.03763440860215054,0.23655913978494625,0.45161290322580644,0.021505376344086023,186
gender declaration nonbinary,feminine,0.5794392523364486,0.6845794392523364,0.19742990654205608,0.0397196261682243,856
gender declaration nonbinary,masculine,0.4486094316807739,0.6420798065296252,0.2551390568319226,0.04836759371221282,827
gender declaration woman,neutral,0.13127413127413126,0.07722007722007722,0.5057915057915058,0.015444015444015444,259
gender declaration woman,feminine,0.10952380952380952,0.5071428571428571,0.7119047619047619,0.12142857142857143,420
gender declaration woman,masculine,0.37514654161781946,0.4548651817116061,0.41617819460726846,0.09730363423212192,853
gender declaration man,neutral,0.2524752475247525,0.17326732673267325,0.5099009900990099,0.0297029702970297,202
gender declaration man,feminine,0.6106604866743917,0.3928157589803013,0.39165701042873696,0.056778679026651215,863
gender declaration man,masculine,0.04859335038363171,0.3452685421994885,0.6317135549872123,0.13554987212276215,391
pronoun declaration they/them,neutral,0.0,0.07086614173228346,0.4330708661417323,0.015748031496062992,127
pronoun declaration they/them,feminine,0.45433255269320844,0.7072599531615925,0.20843091334894615,0.06791569086651054,854
pronoun declaration they/them,masculine,0.3399503722084367,0.6774193548387096,0.2518610421836228,0.08684863523573201,806
pronoun declaration she/her,neutral,0.0755813953488372,0.06976744186046512,0.4186046511627907,0.029069767441860465,172
pronoun declaration she/her,feminine,0.2159090909090909,0.6090909090909091,0.5840909090909091,0.18636363636363637,440
pronoun declaration she/her,masculine,0.3545347467608952,0.4829210836277974,0.37691401648998824,0.127208480565371,849
pronoun declaration he/him,neutral,0.14906832298136646,0.13664596273291926,0.40993788819875776,0.006211180124223602,161
pronoun declaration he/him,feminine,0.5720771850170261,0.47446083995459704,0.32122587968217936,0.07037457434733257,881
pronoun declaration he/him,masculine,0.09907834101382489,0.44930875576036866,0.6405529953917051,0.1912442396313364,434
pronoun usage their,neutral,0.005434782608695652,0.02717391304347826,0.5652173913043478,0.005434782608695652,184
pronoun usage their,feminine,0.09937888198757763,0.4161490683229814,0.65527950310559,0.12422360248447205,322
pronoun usage their,masculine,0.04434589800443459,0.4190687361419069,0.5942350332594235,0.11751662971175167,451
pronoun usage her,neutral,0.0,0.005376344086021506,0.5268817204301075,0.016129032258064516,186
pronoun usage her,feminine,0.10263929618768329,0.4340175953079179,0.6510263929618768,0.1436950146627566,341
pronoun usage her,masculine,0.10615384615384615,0.44769230769230767,0.536923076923077,0.11076923076923077,650
pronoun usage his,neutral,0.0,0.022598870056497175,0.5649717514124294,0.01694915254237288,177
pronoun usage his,feminine,0.14689265536723164,0.4632768361581921,0.6271186440677966,0.12429378531073447,354
pronoun usage his,masculine,0.04987531172069826,0.3541147132169576,0.6109725685785536,0.11471321695760599,401
