task_wording,role_noun_gender,KW_inclusive,KW_gender-neutral,KW_formal,KW_professional,KW_gender-specific,KW_neutral,KW_accurate,KW_modern,KW_gender,KW_common,KW_engaging,KW_pronouns,KW_concise,KW_informal,KW_conversational,count
unknown gender,feminine,0.4368421052631579,0.3368421052631579,0.12105263157894737,0.2736842105263158,0.042105263157894736,0.4105263157894737,0.1,0.18947368421052632,0.46842105263157896,0.07368421052631578,0.010526315789473684,0.0,0.05789473684210526,0.031578947368421054,0.0,190
unknown gender,masculine,0.3238434163701068,0.27402135231316727,0.13167259786476868,0.19572953736654805,0.03202846975088968,0.2918149466192171,0.08540925266903915,0.2775800711743772,0.33807829181494664,0.03558718861209965,0.014234875444839857,0.0,0.028469750889679714,0.0711743772241993,0.0,281
gender declaration nonbinary,feminine,0.6022099447513812,0.45027624309392267,0.03314917127071823,0.08011049723756906,0.10773480662983426,0.6464088397790055,0.0856353591160221,0.024861878453038673,0.6740331491712708,0.011049723756906077,0.0055248618784530384,0.0055248618784530384,0.022099447513812154,0.0055248618784530384,0.0,362
gender declaration nonbinary,masculine,0.5792349726775956,0.4426229508196721,0.03825136612021858,0.09562841530054644,0.12295081967213115,0.5792349726775956,0.10109289617486339,0.09289617486338798,0.6092896174863388,0.01639344262295082,0.00273224043715847,0.0,0.01092896174863388,0.01912568306010929,0.0,366
gender declaration woman,feminine,0.36666666666666664,0.48148148148148145,0.1037037037037037,0.34814814814814815,0.03333333333333333,0.5777777777777777,0.08148148148148149,0.2111111111111111,0.5888888888888889,0.04814814814814815,0.014814814814814815,0.0,0.014814814814814815,0.014814814814814815,0.003703703703703704,270
gender declaration woman,masculine,0.4223433242506812,0.47411444141689374,0.08991825613079019,0.2016348773841962,0.09536784741144415,0.5340599455040872,0.10899182561307902,0.22343324250681199,0.5504087193460491,0.01907356948228883,0.01907356948228883,0.0,0.04087193460490463,0.0653950953678474,0.005449591280653951,367
gender declaration man,feminine,0.34626865671641793,0.49850746268656715,0.03283582089552239,0.191044776119403,0.056716417910447764,0.6328358208955224,0.12238805970149254,0.14328358208955225,0.5940298507462687,0.05373134328358209,0.0,0.0,0.03582089552238806,0.0029850746268656717,0.005970149253731343,335
gender declaration man,masculine,0.3114754098360656,0.30327868852459017,0.1598360655737705,0.24180327868852458,0.03278688524590164,0.3155737704918033,0.04918032786885246,0.2827868852459016,0.3524590163934426,0.03278688524590164,0.01639344262295082,0.0,0.040983606557377046,0.07377049180327869,0.004098360655737705,244
pronoun declaration they/them,feminine,0.5059101654846335,0.41843971631205673,0.014184397163120567,0.0591016548463357,0.07092198581560284,0.624113475177305,0.06855791962174941,0.0591016548463357,0.6453900709219859,0.01182033096926714,0.004728132387706856,0.41134751773049644,0.014184397163120567,0.0,0.004728132387706856,423
pronoun declaration they/them,masculine,0.5241228070175439,0.4649122807017544,0.04824561403508772,0.07675438596491228,0.09868421052631579,0.6008771929824561,0.08114035087719298,0.1162280701754386,0.6096491228070176,0.019736842105263157,0.0043859649122807015,0.31798245614035087,0.015350877192982455,0.02850877192982456,0.0043859649122807015,456
